"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L129","ApplicationTest()","com.githug.florent37.materialviewpager.ApplicationTest.<init>()V","L120","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\androidTest\java\com\githug\florent37\materialviewpager\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L503","MaterialViewPager(Context context)","com.github.florent37.materialviewpager.MaterialViewPager.<init>(Landroid/content/Context;)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","77","5","79","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L507","MaterialViewPager(Context context, AttributeSet attrs)","com.github.florent37.materialviewpager.MaterialViewPager.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","81","5","84","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L515","MaterialViewPager(Context context, AttributeSet attrs, int defStyleAttr)","com.github.florent37.materialviewpager.MaterialViewPager.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","86","5","89","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L521","MaterialViewPager(Context context, AttributeSet attrs, int defStyleAttr, int defStyleRes)","com.github.florent37.materialviewpager.MaterialViewPager.<init>(Landroid/content/Context;Landroid/util/AttributeSet;II)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","93","5","97","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.166667","1","1","0.166667","1","5","5","2","4","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L530","void onRestoreInstanceState(Parcelable state)","com.github.florent37.materialviewpager.MaterialViewPager.onRestoreInstanceState(Landroid/os/Parcelable;)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","99","5","114","6","0","0","0","0","0","0","0","0","2","1","1","0","3","0.0769231","1","0","0.0769231","1","12","16","8","1","12","16","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L555","Parcelable onSaveInstanceState()","com.github.florent37.materialviewpager.MaterialViewPager.onSaveInstanceState()Landroid/os/Parcelable;","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","116","5","126","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0.111111","1","0","0.111111","1","8","11","5","0","8","11","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L562","ViewPager getViewPager()","com.github.florent37.materialviewpager.MaterialViewPager.getViewPager()Landroid/support/v4/view/ViewPager;","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","135","5","137","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.7","7","7","0.7","7","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L565","PagerSlidingTabStrip getPagerTitleStrip()","com.github.florent37.materialviewpager.MaterialViewPager.getPagerTitleStrip()LPagerSlidingTabStrip;","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","144","5","146","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L570","Toolbar getToolbar()","com.github.florent37.materialviewpager.MaterialViewPager.getToolbar()LToolbar;","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","153","5","155","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L573","void setToolbar(Toolbar toolbar)","com.github.florent37.materialviewpager.MaterialViewPager.setToolbar(LToolbar;)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","160","5","162","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.5","3","3","0.5","3","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L576","void setImageUrl(String imageUrl, int fadeDuration)","com.github.florent37.materialviewpager.MaterialViewPager.setImageUrl(Ljava/lang/String;I)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","168","5","178","6","1","1","3","1","1","1","11","10","3","2","2","2","2","0.333333","5","4","0.333333","5","10","11","6","2","10","11","6","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L585","void setImageUrl(String imageUrl, int fadeDuration, OnImageLoadListener imageLoadListener)","com.github.florent37.materialviewpager.MaterialViewPager.setImageUrl(Ljava/lang/String;ILcom/github/florent37/materialviewpager/MaterialViewPager$OnImageLoadListener;)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","184","5","189","6","0","0","0","0","0","0","0","0","2","1","1","0","2","0.4","4","4","0.4","4","6","6","3","3","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L592","void setImageDrawable(Drawable drawable, int fadeDuration)","com.github.florent37.materialviewpager.MaterialViewPager.setImageDrawable(Landroid/graphics/drawable/Drawable;I)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","195","5","205","6","1","1","3","1","1","1","11","10","3","2","2","1","2","0.333333","5","4","0.333333","5","10","11","6","2","10","11","6","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L583","void setImageHeaderDarkLayerAlpha()","com.github.florent37.materialviewpager.MaterialViewPager.setImageHeaderDarkLayerAlpha()V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","210","5","217","6","0","0","0","0","0","0","0","0","2","1","1","2","0","0.363636","4","3","0.363636","4","7","8","4","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L606","void setColor(int color, int fadeDuration)","com.github.florent37.materialviewpager.MaterialViewPager.setColor(II)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","222","5","226","6","0","0","0","0","0","0","0","0","2","1","1","1","2","0.375","3","3","0.375","3","5","5","2","2","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L612","ViewGroup getHeaderBackgroundContainer()","com.github.florent37.materialviewpager.MaterialViewPager.getHeaderBackgroundContainer()Landroid/view/ViewGroup;","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","228","5","230","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L614","void onPageScrolled(int position, float positionOffset, int positionOffsetPixels)","com.github.florent37.materialviewpager.MaterialViewPager.onPageScrolled(IFI)V","L362","L103","D:\PR_assignment_src\MaterialViewPager\materialviewpager\src\main\java\com\github\florent37\materialviewpager\MaterialViewPager.java","232","5","243","6","0","0","0","0","0","0","0","0","4","3","2","0","1","0","0","0","0","0","12","12","6","3","12","12","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
