"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L135","void postOnAnimation(View view, Runnable runnable)","uk.co.senab.photoview.Compat.postOnAnimation(Landroid/view/View;Ljava/lang/Runnable;)V","L124","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\Compat.java","29","5","35","6","0","0","0","0","0","0","0","0","2","1","1","2","1","0","0","0","0","0","7","7","3","2","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","void postOnAnimationJellyBean(View view, Runnable runnable)","uk.co.senab.photoview.Compat.postOnAnimationJellyBean(Landroid/view/View;Ljava/lang/Runnable;)V","L124","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\Compat.java","37","5","40","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L163","int getPointerIndex(int action)","uk.co.senab.photoview.Compat.getPointerIndex(I)I","L124","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\Compat.java","42","5","47","6","0","0","0","0","0","0","0","0","2","1","1","1","2","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","int getPointerIndexEclair(int action)","uk.co.senab.photoview.Compat.getPointerIndexEclair(I)I","L124","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\Compat.java","49","5","53","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","5","5","1","1","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","int getPointerIndexHoneyComb(int action)","uk.co.senab.photoview.Compat.getPointerIndexHoneyComb(I)I","L124","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\Compat.java","55","5","58","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","DefaultOnDoubleTapListener(PhotoViewAttacher photoViewAttacher)","uk.co.senab.photoview.DefaultOnDoubleTapListener.<init>(Luk/co/senab/photoview/PhotoViewAttacher;)V","L186","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\DefaultOnDoubleTapListener.java","22","5","24","6","0","0","0","0","0","0","0","0","1","0","0","2","1","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L198","void setPhotoViewAttacher(PhotoViewAttacher newPhotoViewAttacher)","uk.co.senab.photoview.DefaultOnDoubleTapListener.setPhotoViewAttacher(Luk/co/senab/photoview/PhotoViewAttacher;)V","L186","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\DefaultOnDoubleTapListener.java","31","5","33","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L203","boolean onSingleTapConfirmed(MotionEvent e)","uk.co.senab.photoview.DefaultOnDoubleTapListener.onSingleTapConfirmed(Landroid/view/MotionEvent;)Z","L186","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\DefaultOnDoubleTapListener.java","35","5","68","6","0","0","0","0","0","0","0","0","6","3","3","0","7","0.037037","1","0","0.037037","1","26","34","17","1","26","34","17","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","boolean onDoubleTap(MotionEvent ev)","uk.co.senab.photoview.DefaultOnDoubleTapListener.onDoubleTap(Landroid/view/MotionEvent;)Z","L186","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\DefaultOnDoubleTapListener.java","70","5","92","6","0","0","0","0","0","0","0","0","6","3","2","0","5","0.05","1","0","0.05","1","19","23","12","1","19","23","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","boolean onDoubleTapEvent(MotionEvent e)","uk.co.senab.photoview.DefaultOnDoubleTapListener.onDoubleTapEvent(Landroid/view/MotionEvent;)Z","L186","L103","D:\PR_assignment_src\PhotoView\library\src\main\java\uk\co\senab\photoview\DefaultOnDoubleTapListener.java","94","5","98","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.2","1","0","0.2","1","4","5","1","1","4","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
