"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2051","Repository repoFrom(Intent intent)","com.github.pockethub.android.Intents.repoFrom(Landroid/content/Intent;)LRepository;","L1994","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\Intents.java","189","5","193","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.545455","6","6","0.545455","6","5","5","3","1","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2481","void onCreate()","com.github.pockethub.android.PocketHub.onCreate()V","L2476","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHub.java","27","5","33","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2497","void configure()","com.github.pockethub.android.PocketHubModule.configure()V","L2482","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","47","5","53","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","7","3","0","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2498","Account account(Context context)","com.github.pockethub.android.PocketHubModule.account(Landroid/content/Context;)Landroid/accounts/Account;","L2482","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","55","5","60","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2500","File cacheDir(Context context)","com.github.pockethub.android.PocketHubModule.cacheDir(Landroid/content/Context;)Ljava/io/File;","L2482","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","62","5","66","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","1","1","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2502","IssueStore issueStore(Context context)","com.github.pockethub.android.PocketHubModule.issueStore(Landroid/content/Context;)Lcom/github/pockethub/android/core/issue/IssueStore;","L2482","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","68","5","76","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2504","GistStore gistStore(Context context)","com.github.pockethub.android.PocketHubModule.gistStore(Landroid/content/Context;)Lcom/github/pockethub/android/core/gist/GistStore;","L2482","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","78","5","86","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2506","CommitStore commitStore(Context context)","com.github.pockethub.android.PocketHubModule.commitStore(Landroid/content/Context;)Lcom/github/pockethub/android/core/commit/CommitStore;","L2482","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\PocketHubModule.java","88","5","96","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2547","void success(V response)","com.github.pockethub.android.RequestFuture.success(Ljava/lang/Object;)V","L2298","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\RequestFuture.java","31","5","31","30","0","0","0","0","0","0","0","0","1","0","0","0","0","0.833333","5","5","0.833333","5","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2558","RequestReader(File file, int formatVersion)","com.github.pockethub.android.RequestReader.<init>(Ljava/io/File;I)V","L2553","L103","D:\PR_assignment_src\PocketHub\app\src\main\java\com\github\pockethub\android\RequestReader.java","45","5","48","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.6","6","6","0.6","6","4","4","2","2","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
