"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L301","BrokerController(BrokerConfig brokerConfig, NettyServerConfig nettyServerConfig, NettyClientConfig nettyClientConfig, MessageStoreConfig messageStoreConfig)","com.alibaba.rocketmq.broker.BrokerController.<init>(Lcom/alibaba/rocketmq/common/BrokerConfig;Lcom/alibaba/rocketmq/remoting/netty/NettyServerConfig;Lcom/alibaba/rocketmq/remoting/netty/NettyClientConfig;Lcom/alibaba/rocketmq/store/config/MessageStoreConfig;)V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","109","5","148","6","0","0","0","0","0","0","0","0","2","1","1","4","26","0.0285714","1","0","0.0285714","1","34","40","26","4","34","40","26","0","0","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L390","BrokerConfig getBrokerConfig()","com.alibaba.rocketmq.broker.BrokerController.getBrokerConfig()Lcom/alibaba/rocketmq/common/BrokerConfig;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","150","5","152","6","0","0","0","0","0","0","0","0","1","0","0","26","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L394","NettyServerConfig getNettyServerConfig()","com.alibaba.rocketmq.broker.BrokerController.getNettyServerConfig()Lcom/alibaba/rocketmq/remoting/netty/NettyServerConfig;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","154","5","156","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L399","BlockingQueue<Runnable> getPullThreadPoolQueue()","com.alibaba.rocketmq.broker.BrokerController.getPullThreadPoolQueue()Ljava/util/concurrent/BlockingQueue;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","158","5","160","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L400","boolean initialize()","com.alibaba.rocketmq.broker.BrokerController.initialize()Z","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","162","5","330","6","0.335958","7","26","13","0.39645","0.447552","67","64","13","3","3","4","25","0.150538","14","0","0.089172","14","79","101","42","0","143","169","66","0","0","115","0","0","0","0","0","67","0","1","0","1","0","42","0","0","0","0","0","0","4","0","0","0","0","0"
"L463","void registerProcessor()","com.alibaba.rocketmq.broker.BrokerController.registerProcessor()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","332","5","392","6","0","0","0","0","0","0","0","0","1","0","0","1","10","0.346154","18","0","0.346154","18","34","61","32","0","34","61","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L487","BrokerStats getBrokerStats()","com.alibaba.rocketmq.broker.BrokerController.getBrokerStats()Lcom/alibaba/rocketmq/store/stats/BrokerStats;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","394","5","396","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L622","void setBrokerStats(BrokerStats brokerStats)","com.alibaba.rocketmq.broker.BrokerController.setBrokerStats(Lcom/alibaba/rocketmq/store/stats/BrokerStats;)V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","398","5","400","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L504","void protectBroker()","com.alibaba.rocketmq.broker.BrokerController.protectBroker()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","402","5","416","6","0","0","0","0","0","0","0","0","4","3","3","1","7","0","0","0","0","0","15","15","10","0","15","15","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L676","long headSlowTimeMills(BlockingQueue<Runnable> q)","com.alibaba.rocketmq.broker.BrokerController.headSlowTimeMills(Ljava/util/concurrent/BlockingQueue;)J","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","418","5","429","6","0","0","0","0","0","0","0","0","3","1","1","2","3","0","0","0","0","0","10","12","8","1","10","12","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L689","long headSlowTimeMills4SendThreadPoolQueue()","com.alibaba.rocketmq.broker.BrokerController.headSlowTimeMills4SendThreadPoolQueue()J","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","431","5","433","6","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L691","long headSlowTimeMills4PullThreadPoolQueue()","com.alibaba.rocketmq.broker.BrokerController.headSlowTimeMills4PullThreadPoolQueue()J","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","435","5","437","6","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L515","void printWaterMark()","com.alibaba.rocketmq.broker.BrokerController.printWaterMark()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","439","5","442","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L525","MessageStore getMessageStore()","com.alibaba.rocketmq.broker.BrokerController.getMessageStore()Lcom/alibaba/rocketmq/store/MessageStore;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","444","5","446","6","0","0","0","0","0","0","0","0","1","0","0","32","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L697","void setMessageStore(MessageStore messageStore)","com.alibaba.rocketmq.broker.BrokerController.setMessageStore(Lcom/alibaba/rocketmq/store/MessageStore;)V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","448","5","450","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L556","void printMasterAndSlaveDiff()","com.alibaba.rocketmq.broker.BrokerController.printMasterAndSlaveDiff()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","452","5","457","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.2","1","0","0.2","1","4","6","2","0","4","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L701","Broker2Client getBroker2Client()","com.alibaba.rocketmq.broker.BrokerController.getBroker2Client()Lcom/alibaba/rocketmq/broker/client/net/Broker2Client;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","459","5","461","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L702","String getConfigDataVersion()","com.alibaba.rocketmq.broker.BrokerController.getConfigDataVersion()Ljava/lang/String;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","463","5","465","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L706","ConsumerManager getConsumerManager()","com.alibaba.rocketmq.broker.BrokerController.getConsumerManager()Lcom/alibaba/rocketmq/broker/client/ConsumerManager;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","467","5","469","6","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L707","ConsumerOffsetManager getConsumerOffsetManager()","com.alibaba.rocketmq.broker.BrokerController.getConsumerOffsetManager()Lcom/alibaba/rocketmq/broker/offset/ConsumerOffsetManager;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","471","5","473","6","0","0","0","0","0","0","0","0","1","0","0","12","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L708","MessageStoreConfig getMessageStoreConfig()","com.alibaba.rocketmq.broker.BrokerController.getMessageStoreConfig()Lcom/alibaba/rocketmq/store/config/MessageStoreConfig;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","475","5","477","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L709","ProducerManager getProducerManager()","com.alibaba.rocketmq.broker.BrokerController.getProducerManager()Lcom/alibaba/rocketmq/broker/client/ProducerManager;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","479","5","481","6","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L710","void setFastRemotingServer(RemotingServer fastRemotingServer)","com.alibaba.rocketmq.broker.BrokerController.setFastRemotingServer(Lcom/alibaba/rocketmq/remoting/RemotingServer;)V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","483","5","485","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L712","PullMessageProcessor getPullMessageProcessor()","com.alibaba.rocketmq.broker.BrokerController.getPullMessageProcessor()Lcom/alibaba/rocketmq/broker/processor/PullMessageProcessor;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","487","5","489","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L713","PullRequestHoldService getPullRequestHoldService()","com.alibaba.rocketmq.broker.BrokerController.getPullRequestHoldService()Lcom/alibaba/rocketmq/broker/longpolling/PullRequestHoldService;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","491","5","493","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L714","SubscriptionGroupManager getSubscriptionGroupManager()","com.alibaba.rocketmq.broker.BrokerController.getSubscriptionGroupManager()Lcom/alibaba/rocketmq/broker/subscription/SubscriptionGroupManager;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","495","5","497","6","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L715","void shutdown()","com.alibaba.rocketmq.broker.BrokerController.shutdown()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","499","5","557","6","0.748858","5","45","9","0.711864","0.711111","42","32","14","1","1","5","10","0","0","0","0","0","45","59","29","0","45","59","29","0","0","10","0","0","0","0","0","7","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L733","void unregisterBrokerAll()","com.alibaba.rocketmq.broker.BrokerController.unregisterBrokerAll()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","559","5","565","6","0","0","0","0","0","0","0","0","1","0","0","1","5","0.363636","4","0","0.363636","4","7","7","1","0","7","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L743","String getBrokerAddr()","com.alibaba.rocketmq.broker.BrokerController.getBrokerAddr()Ljava/lang/String;","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","567","5","570","6","0","0","0","0","0","0","0","0","1","0","0","7","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L749","void start()","com.alibaba.rocketmq.broker.BrokerController.start()V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","572","5","622","6","0.466321","4","26","5","0.45098","0.45","23","18","10","1","1","4","9","0","0","0","0","0","32","42","20","0","40","51","23","0","0","14","0","0","0","0","0","7","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L762","void registerBrokerAll(boolean checkOrderConfig, boolean oneway)","com.alibaba.rocketmq.broker.BrokerController.registerBrokerAll(ZZ)V","L122","L103","D:\PR_assignment_src\RocketMQ\rocketmq-broker\src\main\java\com\alibaba\rocketmq\broker\BrokerController.java","624","5","661","6","0","0","0","0","0","0","0","0","8","2","2","8","26","0.214286","9","0","0.214286","9","33","38","14","2","33","38","14","0","0","3","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
