"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L131","void verifyMainThread()","rx.android.MainThreadSubscription.verifyMainThread()V","L121","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\MainThreadSubscription.java","56","3","61","4","0","0","0","0","0","0","0","0","2","1","1","2","0","0.571429","8","8","0.571429","8","6","6","2","0","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","boolean isUnsubscribed()","rx.android.MainThreadSubscription.isUnsubscribed()Z","L121","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\MainThreadSubscription.java","65","3","67","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L163","void unsubscribe()","rx.android.MainThreadSubscription.unsubscribe()V","L121","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\MainThreadSubscription.java","69","3","81","4","0","0","0","0","0","0","0","0","3","2","2","3","2","0","0","0","0","0","10","10","4","0","13","13","5","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","void onUnsubscribe()","rx.android.MainThreadSubscription.onUnsubscribe()V","L121","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\MainThreadSubscription.java","83","3","83","43","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L484","void verifyDoesNotThrowOnMainThread()","rx.android.MainThreadSubscriptionTest.verifyDoesNotThrowOnMainThread()V","L482","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\MainThreadSubscriptionTest.java","34","3","37","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.25","1","0","0.25","1","3","4","1","0","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L489","void verifyThrowsOffMainThread()","rx.android.MainThreadSubscriptionTest.verifyThrowsOffMainThread()V","L482","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\MainThreadSubscriptionTest.java","39","3","54","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","7","3","0","15","16","8","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L509","void onUnsubscribeRunsSyncOnMainThread()","rx.android.MainThreadSubscriptionTest.onUnsubscribeRunsSyncOnMainThread()V","L482","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\MainThreadSubscriptionTest.java","56","3","67","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","7","9","4","0","10","12","5","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L522","void unsubscribeTwiceDoesNotRunTwice()","rx.android.MainThreadSubscriptionTest.unsubscribeTwiceDoesNotRunTwice()V","L482","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\MainThreadSubscriptionTest.java","69","3","83","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","9","12","6","0","12","15","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L534","void onUnsubscribePostsOffMainThread()","rx.android.MainThreadSubscriptionTest.onUnsubscribePostsOffMainThread()V","L482","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\MainThreadSubscriptionTest.java","85","3","106","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.0833333","1","0","0.05","1","11","14","8","0","19","22","11","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","RxAndroidPlugins getInstance()","rx.android.plugins.RxAndroidPlugins.getInstance()Lrx/android/plugins/RxAndroidPlugins;","L179","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidPlugins.java","30","5","32","6","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","RxAndroidPlugins()","rx.android.plugins.RxAndroidPlugins.<init>()V","L179","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidPlugins.java","36","5","37","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L197","void reset()","rx.android.plugins.RxAndroidPlugins.reset()V","L179","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidPlugins.java","44","5","47","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0.555556","5","5","0.555556","5","4","4","1","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L202","RxAndroidSchedulersHook getSchedulersHook()","rx.android.plugins.RxAndroidPlugins.getSchedulersHook()Lrx/android/plugins/RxAndroidSchedulersHook;","L179","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidPlugins.java","57","5","64","6","0","0","0","0","0","0","0","0","2","1","1","3","1","0.625","10","8","0.625","10","6","8","3","0","6","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","void registerSchedulersHook(RxAndroidSchedulersHook impl)","rx.android.plugins.RxAndroidPlugins.registerSchedulersHook(Lrx/android/plugins/RxAndroidSchedulersHook;)V","L179","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidPlugins.java","73","5","78","6","0","0","0","0","0","0","0","0","2","1","1","6","0","0.538462","7","7","0.538462","7","6","6","2","1","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","RxAndroidSchedulersHook getDefaultInstance()","rx.android.plugins.RxAndroidSchedulersHook.getDefaultInstance()Lrx/android/plugins/RxAndroidSchedulersHook;","L189","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidSchedulersHook.java","23","5","25","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","Scheduler getMainThreadScheduler()","rx.android.plugins.RxAndroidSchedulersHook.getMainThreadScheduler()LScheduler;","L189","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidSchedulersHook.java","33","5","35","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.666667","6","6","0.666667","6","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","Action0 onSchedule(Action0 action)","rx.android.plugins.RxAndroidSchedulersHook.onSchedule(LAction0;)LAction0;","L189","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\plugins\RxAndroidSchedulersHook.java","44","5","46","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0.7","7","7","0.7","7","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","void registeredSchedulersHookIsUsed()","rx.android.plugins.RxAndroidPluginsTest.registeredSchedulersHookIsUsed()V","L221","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\plugins\RxAndroidPluginsTest.java","23","5","29","6","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L228","void registerSchedulersHookTwiceFails()","rx.android.plugins.RxAndroidPluginsTest.registerSchedulersHookTwiceFails()V","L221","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\test\java\rx\android\plugins\RxAndroidPluginsTest.java","31","5","42","6","0","0","0","0","0","0","0","0","2","1","1","0","2","0","0","0","0","0","12","12","7","0","12","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L252","AndroidSchedulers getInstance()","rx.android.schedulers.AndroidSchedulers.getInstance()Lrx/android/schedulers/AndroidSchedulers;","L243","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\AndroidSchedulers.java","31","5","42","6","0","0","0","0","0","0","0","0","4","2","2","1","1","0","0","0","0","0","12","12","7","0","12","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L254","AndroidSchedulers()","rx.android.schedulers.AndroidSchedulers.<init>()V","L243","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\AndroidSchedulers.java","44","5","53","6","0","0","0","0","0","0","0","0","2","1","1","1","4","0","0","0","0","0","9","10","5","0","9","10","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","Scheduler mainThread()","rx.android.schedulers.AndroidSchedulers.mainThread()LScheduler;","L243","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\AndroidSchedulers.java","56","5","58","6","0","0","0","0","0","0","0","0","1","0","0","4","1","0.25","1","1","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","Scheduler from(Looper looper)","rx.android.schedulers.AndroidSchedulers.from(LLooper;)LScheduler;","L243","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\AndroidSchedulers.java","61","5","64","6","0","0","0","0","0","0","0","0","2","1","1","3","1","0.2","1","1","0.2","1","4","4","3","1","4","4","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L277","void reset()","rx.android.schedulers.AndroidSchedulers.reset()V","L243","L103","D:\PR_assignment_src\RxAndroid\rxandroid\src\main\java\rx\android\schedulers\AndroidSchedulers.java","71","5","74","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.555556","5","5","0.555556","5","4","4","1","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
