"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L155","String buildEmailBody(String emailAddress)","com.netflix.simianarmy.AbstractEmailBuilder.buildEmailBody(Ljava/lang/String;)Ljava/lang/String;","L144","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","23","5","39","6","0","0","0","0","0","0","0","0","4","1","1","2","3","0","0","0","0","0","17","17","11","1","17","17","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","String getHeader()","com.netflix.simianarmy.AbstractEmailBuilder.getHeader()Ljava/lang/String;","L144","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","44","5","44","43","0","0","0","0","0","0","0","0","1","0","0","1","0","0.75","3","3","0.75","3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","String getEntryTable(String emailAddress)","com.netflix.simianarmy.AbstractEmailBuilder.getEntryTable(Ljava/lang/String;)Ljava/lang/String;","L144","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","52","5","52","66","0","0","0","0","0","0","0","0","1","0","0","1","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","String getFooter()","com.netflix.simianarmy.AbstractEmailBuilder.getFooter()Ljava/lang/String;","L144","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","57","5","57","43","0","0","0","0","0","0","0","0","1","0","0","1","0","0.75","3","3","0.75","3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L182","String getHtmlCell(String value)","com.netflix.simianarmy.AbstractEmailBuilder.getHtmlCell(Ljava/lang/String;)Ljava/lang/String;","L144","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","64","5","66","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L185","String getHtmlTableHeader(String[] columns)","com.netflix.simianarmy.AbstractEmailBuilder.getHtmlTableHeader([Ljava/lang/String;)Ljava/lang/String;","L144","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\AbstractEmailBuilder.java","72","5","82","6","0","0","0","0","0","0","0","0","2","1","1","2","1","0.266667","4","4","0.266667","4","11","11","7","1","11","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7047","void terminateInstance(String instanceId)","com.netflix.simianarmy.CloudClient.terminateInstance(Ljava/lang/String;)V","L4840","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\CloudClient.java","43","5","43","47","0","0","0","0","0","0","0","0","1","0","0","1","0","0.909091","10","10","0.909091","10","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7946","void deleteAutoScalingGroup(String asgName)","com.netflix.simianarmy.CloudClient.deleteAutoScalingGroup(Ljava/lang/String;)V","L4840","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\CloudClient.java","51","5","51","49","0","0","0","0","0","0","0","0","1","0","0","0","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7949","void deleteLaunchConfiguration(String launchConfigName)","com.netflix.simianarmy.CloudClient.deleteLaunchConfiguration(Ljava/lang/String;)V","L4840","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\CloudClient.java","59","5","59","61","0","0","0","0","0","0","0","0","1","0","0","0","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7952","void deleteVolume(String volumeId)","com.netflix.simianarmy.CloudClient.deleteVolume(Ljava/lang/String;)V","L4840","L103","D:\PR_assignment_src\SimianArmy\src\main\java\com\netflix\simianarmy\CloudClient.java","67","5","67","40","0","0","0","0","0","0","0","0","1","0","0","0","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
