"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L253","void onCreate(Bundle savedInstanceState)","com.jeremyfeinstein.slidingmenu.example.AttachExample.onCreate(Landroid/os/Bundle;)V","L245","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\AttachExample.java","12","2","38","3","0","0","0","0","0","0","0","0","1","0","0","0","8","0.0833333","2","0","0.0833333","2","22","27","13","1","22","27","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L282","void onBackPressed()","com.jeremyfeinstein.slidingmenu.example.AttachExample.onBackPressed()V","L245","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\AttachExample.java","40","2","47","3","0","0","0","0","0","0","0","0","2","1","1","0","2","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","BaseActivity(int titleRes)","com.jeremyfeinstein.slidingmenu.example.BaseActivity.<init>(I)V","L134","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\BaseActivity.java","24","2","26","3","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L161","void onCreate(Bundle savedInstanceState)","com.jeremyfeinstein.slidingmenu.example.BaseActivity.onCreate(Landroid/os/Bundle;)V","L134","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\BaseActivity.java","28","2","54","3","0","0","0","0","0","0","0","0","2","1","1","7","8","0.0869565","2","0","0.0869565","2","21","27","16","1","21","27","16","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L316","boolean onOptionsItemSelected(MenuItem item)","com.jeremyfeinstein.slidingmenu.example.BaseActivity.onOptionsItemSelected(LMenuItem;)Z","L134","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\BaseActivity.java","56","2","67","3","0","0","0","0","0","0","0","0","3","1","1","0","2","0","0","0","0","0","12","12","6","1","12","12","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L331","boolean onCreateOptionsMenu(Menu menu)","com.jeremyfeinstein.slidingmenu.example.BaseActivity.onCreateOptionsMenu(LMenu;)Z","L134","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\BaseActivity.java","69","2","73","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L335","void onCreate(Bundle savedInstanceState)","com.jeremyfeinstein.slidingmenu.example.ExampleListActivity.onCreate(Landroid/os/Bundle;)V","L333","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\ExampleListActivity.java","33","2","40","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.142857","1","0","0.142857","1","6","8","3","1","6","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L337","boolean onPreferenceTreeClick(PreferenceScreen screen, Preference pref)","com.jeremyfeinstein.slidingmenu.example.ExampleListActivity.onPreferenceTreeClick(Landroid/preference/PreferenceScreen;Landroid/preference/Preference;)Z","L333","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\ExampleListActivity.java","42","2","72","3","0","0","0","0","0","0","0","0","12","11","1","0","0","0","0","0","0","0","31","31","27","2","31","31","27","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L393","boolean onOptionsItemSelected(MenuItem item)","com.jeremyfeinstein.slidingmenu.example.ExampleListActivity.onOptionsItemSelected(LMenuItem;)Z","L333","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\ExampleListActivity.java","74","2","105","3","0","0","0","0","0","0","0","0","6","2","2","0","0","0","0","0","0","0","32","32","13","1","32","32","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L418","boolean onCreateOptionsMenu(Menu menu)","com.jeremyfeinstein.slidingmenu.example.ExampleListActivity.onCreateOptionsMenu(LMenu;)Z","L333","L103","D:\PR_assignment_src\SlidingMenu\example\src\com\jeremyfeinstein\slidingmenu\example\ExampleListActivity.java","107","2","111","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
