"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L197","AdapterWrapper(Context context, StickyListHeadersAdapter delegate)","se.emilsjolander.stickylistheaders.AdapterWrapper.<init>(Landroid/content/Context;Lse/emilsjolander/stickylistheaders/StickyListHeadersAdapter;)V","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","52","2","57","3","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","6","6","3","2","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","void setDivider(Drawable divider, int dividerHeight)","se.emilsjolander.stickylistheaders.AdapterWrapper.setDivider(Landroid/graphics/drawable/Drawable;I)V","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","59","2","63","3","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","5","5","3","2","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L214","boolean areAllItemsEnabled()","se.emilsjolander.stickylistheaders.AdapterWrapper.areAllItemsEnabled()Z","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","65","2","68","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L220","boolean isEnabled(int position)","se.emilsjolander.stickylistheaders.AdapterWrapper.isEnabled(I)Z","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","70","2","73","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L224","int getCount()","se.emilsjolander.stickylistheaders.AdapterWrapper.getCount()I","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","75","2","78","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","Object getItem(int position)","se.emilsjolander.stickylistheaders.AdapterWrapper.getItem(I)Ljava/lang/Object;","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","80","2","83","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L234","long getItemId(int position)","se.emilsjolander.stickylistheaders.AdapterWrapper.getItemId(I)J","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","85","2","88","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L238","boolean hasStableIds()","se.emilsjolander.stickylistheaders.AdapterWrapper.hasStableIds()Z","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","90","2","93","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","int getItemViewType(int position)","se.emilsjolander.stickylistheaders.AdapterWrapper.getItemViewType(I)I","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","95","2","98","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","int getViewTypeCount()","se.emilsjolander.stickylistheaders.AdapterWrapper.getViewTypeCount()I","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","100","2","103","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L248","boolean isEmpty()","se.emilsjolander.stickylistheaders.AdapterWrapper.isEmpty()Z","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","105","2","108","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","void recycleHeaderIfExists(WrapperView wv)","se.emilsjolander.stickylistheaders.AdapterWrapper.recycleHeaderIfExists(Lse/emilsjolander/stickylistheaders/WrapperView;)V","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","113","2","120","3","0","0","0","0","0","0","0","0","2","1","1","1","0","0.363636","4","3","0.363636","4","7","8","4","1","7","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L265","View configureHeader(WrapperView wv, int position)","se.emilsjolander.stickylistheaders.AdapterWrapper.configureHeader(Lse/emilsjolander/stickylistheaders/WrapperView;I)Landroid/view/View;","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","126","2","145","3","0","0","0","0","0","0","0","0","3","1","1","1","2","0.3125","5","4","0.217391","5","11","12","7","2","18","20","10","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L269","View popHeader()","se.emilsjolander.stickylistheaders.AdapterWrapper.popHeader()Landroid/view/View;","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","147","2","152","3","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L300","boolean previousPositionHasSameHeader(int position)","se.emilsjolander.stickylistheaders.AdapterWrapper.previousPositionHasSameHeader(I)Z","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","155","2","159","3","0","0","0","0","0","0","0","0","2","0","0","1","1","0.166667","1","1","0.166667","1","5","5","1","1","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L303","WrapperView getView(int position, View convertView, ViewGroup parent)","se.emilsjolander.stickylistheaders.AdapterWrapper.getView(ILandroid/view/View;Landroid/view/ViewGroup;)Lse/emilsjolander/stickylistheaders/WrapperView;","L126","L103","D:\PR_assignment_src\StickyListHeaders\library\src\se\emilsjolander\stickylistheaders\AdapterWrapper.java","161","2","179","3","0","0","0","0","0","0","0","0","7","2","1","0","6","0.0526316","1","0","0.0526316","1","18","19","12","3","18","19","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
