"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L860","Test suite()","com.example.android.sunshine.app.FullTestSuite.suite()LTest;","L857","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\androidTest\java\com\example\android\sunshine\app\FullTestSuite.java","24","5","27","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L872","FullTestSuite()","com.example.android.sunshine.app.FullTestSuite.<init>()V","L857","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\androidTest\java\com\example\android\sunshine\app\FullTestSuite.java","29","5","31","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L911","void onCreate(Bundle savedInstanceState)","com.example.android.sunshine.app.DetailActivity.onCreate(Landroid/os/Bundle;)V","L909","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailActivity.java","27","5","46","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0.125","2","0","0.125","2","14","20","8","1","14","20","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L929","boolean onCreateOptionsMenu(Menu menu)","com.example.android.sunshine.app.DetailActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L909","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailActivity.java","48","5","53","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L934","boolean onOptionsItemSelected(MenuItem item)","com.example.android.sunshine.app.DetailActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L909","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailActivity.java","55","5","66","6","1","1","2","1","1","1","12","9","2","1","1","0","0","0.25","3","0","0.25","3","9","12","5","1","9","12","5","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L925","DetailFragment()","com.example.android.sunshine.app.DetailFragment.<init>()V","L922","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailFragment.java","95","5","97","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L993","View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)","com.example.android.sunshine.app.DetailFragment.onCreateView(Landroid/view/LayoutInflater;Landroid/view/ViewGroup;Landroid/os/Bundle;)Landroid/view/View;","L922","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailFragment.java","99","5","119","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","19","21","14","3","19","21","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1022","void onCreateOptionsMenu(Menu menu, MenuInflater inflater)","com.example.android.sunshine.app.DetailFragment.onCreateOptionsMenu(Landroid/view/Menu;Landroid/view/MenuInflater;)V","L922","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailFragment.java","121","5","136","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0.307692","4","0","0.307692","4","9","16","5","2","9","16","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1036","Intent createShareForecastIntent()","com.example.android.sunshine.app.DetailFragment.createShareForecastIntent()Landroid/content/Intent;","L922","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailFragment.java","138","5","144","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","7","7","5","0","7","7","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1053","void onActivityCreated(Bundle savedInstanceState)","com.example.android.sunshine.app.DetailFragment.onActivityCreated(Landroid/os/Bundle;)V","L922","L103","D:\PR_assignment_src\Sunshine-Version-2\app\src\main\java\com\example\android\sunshine\app\DetailFragment.java","146","5","150","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
