"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2080","void onCreate(Bundle savedInstanceState)","com.survivingwithandroid.CookieActivity.onCreate(Landroid/os/Bundle;)V","L2067","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\CookieActivity.java","65","2","86","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8","12","4","1","15","22","8","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L2099","boolean onCreateOptionsMenu(Menu menu)","com.survivingwithandroid.CookieActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L2067","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\CookieActivity.java","91","2","96","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2137","void onCreate(Bundle savedInstanceState)","com.survivingwithandroid.DownloadActivity.onCreate(Landroid/os/Bundle;)V","L2131","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\DownloadActivity.java","57","2","67","3","1","1","1","1","1","1","11","9","1","0","0","0","0","0","0","0","0","0","9","11","6","1","9","11","6","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2149","boolean onCreateOptionsMenu(Menu menu)","com.survivingwithandroid.DownloadActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L2131","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\DownloadActivity.java","72","2","77","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2178","void onCreate(Bundle savedInstanceState)","com.survivingwithandroid.MainActivity.onCreate(Landroid/os/Bundle;)V","L2173","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\MainActivity.java","54","2","108","3","0.738197","2","2","2","0.672727","0.690476","37","29","1","0","0","0","0","0","0","0","0","0","19","27","12","1","42","55","23","0","0","59","0","0","0","0","0","37","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0"
"L2222","boolean onCreateOptionsMenu(Menu menu)","com.survivingwithandroid.MainActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L2173","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\MainActivity.java","113","2","118","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2226","String sendHttpRequest(String url, String name)","com.survivingwithandroid.MainActivity.sendHttpRequest(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","L2173","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\MainActivity.java","145","2","177","3","0.45","1","1","1","0.393939","0.384615","13","10","3","2","2","1","0","0.133333","4","0","0.133333","4","26","33","20","2","26","33","20","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2244","void onCreate(Bundle savedInstanceState)","com.survivingwithandroid.UploadActivity.onCreate(Landroid/os/Bundle;)V","L2219","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\UploadActivity.java","55","2","80","3","1","1","1","1","1","1","26","19","1","0","0","0","0","0","0","0","0","0","10","14","6","1","19","26","12","0","0","24","0","0","0","0","0","17","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L2262","boolean onCreateOptionsMenu(Menu menu)","com.survivingwithandroid.UploadActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L2219","L103","D:\PR_assignment_src\Surviving-with-android\ApacheHttpTestClient\src\com\survivingwithandroid\UploadActivity.java","85","2","90","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3309","void onCreate(Bundle savedInstanceState)","com.survivingwithandroid.DownloadActivity.onCreate(Landroid/os/Bundle;)V","L3303","L103","D:\PR_assignment_src\Surviving-with-android\HttpTestClient\src\com\survivingwithandroid\DownloadActivity.java","46","2","56","3","1","1","1","1","1","1","11","9","1","0","0","0","0","0","0","0","0","0","9","11","6","1","9","11","6","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
