"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4131","ApplicationTest()","com.marshalchen.ultimaterecyclerview.ApplicationTest.<init>()V","L4129","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\androidTest\java\com\marshalchen\ultimaterecyclerview\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4573","CustomUltimateRecyclerview(Context context)","com.marshalchen.ultimaterecyclerview.CustomUltimateRecyclerview.<init>(Landroid/content/Context;)V","L1765","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\CustomUltimateRecyclerview.java","22","5","24","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4577","CustomUltimateRecyclerview(Context context, AttributeSet attrs)","com.marshalchen.ultimaterecyclerview.CustomUltimateRecyclerview.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L1765","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\CustomUltimateRecyclerview.java","26","5","28","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4582","CustomUltimateRecyclerview(Context context, AttributeSet attrs, int defStyleAttr)","com.marshalchen.ultimaterecyclerview.CustomUltimateRecyclerview.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L1765","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\CustomUltimateRecyclerview.java","30","5","32","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","3","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4588","void initViews()","com.marshalchen.ultimaterecyclerview.CustomUltimateRecyclerview.initViews()V","L1765","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\CustomUltimateRecyclerview.java","34","5","71","6","0.743169","2","8","2","0.736842","0.75","28","21","5","2","2","0","1","0.0344828","1","0","0.0344828","1","28","38","21","0","28","38","21","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1784","void setCustomSwipeToRefresh()","com.marshalchen.ultimaterecyclerview.CustomUltimateRecyclerview.setCustomSwipeToRefresh()V","L1765","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\CustomUltimateRecyclerview.java","73","5","81","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","9","9","7","0","9","9","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4655","DragDropTouchListener(RecyclerView recyclerView, Activity activity)","com.marshalchen.ultimaterecyclerview.DragDropTouchListener.<init>(LRecyclerView;LActivity;)V","L1563","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\DragDropTouchListener.java","72","5","79","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","7","8","5","2","7","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4663","DragDropTouchListener(RecyclerView recyclerView, Activity activity, Drawable dragHighlight)","com.marshalchen.ultimaterecyclerview.DragDropTouchListener.<init>(LRecyclerView;LActivity;LDrawable;)V","L1563","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\DragDropTouchListener.java","81","5","84","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4668","boolean onInterceptTouchEvent(RecyclerView recyclerView, MotionEvent event)","com.marshalchen.ultimaterecyclerview.DragDropTouchListener.onInterceptTouchEvent(LRecyclerView;LMotionEvent;)Z","L1563","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\DragDropTouchListener.java","86","5","105","6","0","0","0","0","0","0","0","0","7","1","1","0","4","0","0","0","0","0","15","20","8","2","15","20","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4685","void onTouchEvent(RecyclerView view, MotionEvent event)","com.marshalchen.ultimaterecyclerview.DragDropTouchListener.onTouchEvent(LRecyclerView;LMotionEvent;)V","L1563","L103","D:\PR_assignment_src\UltimateRecyclerView\UltimateRecyclerView\ultimaterecyclerview\src\main\java\com\marshalchen\ultimaterecyclerview\DragDropTouchListener.java","107","5","125","6","0","0","0","0","0","0","0","0","5","1","1","0","3","0","0","0","0","0","15","19","9","2","15","19","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
