"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L169","CirclePageIndicator(Context context)","com.viewpagerindicator.CirclePageIndicator.<init>(Landroid/content/Context;)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","67","5","69","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","CirclePageIndicator(Context context, AttributeSet attrs)","com.viewpagerindicator.CirclePageIndicator.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","71","5","73","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L181","CirclePageIndicator(Context context, AttributeSet attrs, int defStyle)","com.viewpagerindicator.CirclePageIndicator.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","75","5","114","6","0.483108","5","7","5","0.475","0.4375","19","14","3","1","1","1","0","0.0588235","2","0","0.0588235","2","32","40","30","3","32","40","30","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L250","void setCentered(boolean centered)","com.viewpagerindicator.CirclePageIndicator.setCentered(Z)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","117","5","120","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","boolean isCentered()","com.viewpagerindicator.CirclePageIndicator.isCentered()Z","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","122","5","124","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","void setPageColor(int pageColor)","com.viewpagerindicator.CirclePageIndicator.setPageColor(I)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","126","5","129","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L260","int getPageColor()","com.viewpagerindicator.CirclePageIndicator.getPageColor()I","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","131","5","133","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L263","void setFillColor(int fillColor)","com.viewpagerindicator.CirclePageIndicator.setFillColor(I)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","135","5","138","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L265","int getFillColor()","com.viewpagerindicator.CirclePageIndicator.getFillColor()I","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","140","5","142","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","void setOrientation(int orientation)","com.viewpagerindicator.CirclePageIndicator.setOrientation(I)V","L122","L103","D:\PR_assignment_src\ViewPagerIndicator\library\src\com\viewpagerindicator\CirclePageIndicator.java","144","5","155","6","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","0","0","0","11","12","5","1","11","12","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
