"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1095","EGL()","io.vov.vitamio.EGL.<init>()V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","43","3","47","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","3","0","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1108","boolean initialize(Surface surface)","io.vov.vitamio.EGL.initialize(Landroid/view/Surface;)Z","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","49","3","52","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1114","void release()","io.vov.vitamio.EGL.release()V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","54","3","57","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1110","void start()","io.vov.vitamio.EGL.start()V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","59","3","80","4","0","0","0","0","0","0","0","0","5","1","1","1","3","0","0","0","0","0","18","22","13","0","18","22","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1112","GL createSurface(Surface surface)","io.vov.vitamio.EGL.createSurface(LSurface;)LGL;","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","82","3","113","4","0","0","0","0","0","0","0","0","10","2","2","1","4","0","0","0","0","0","26","32","20","1","26","32","20","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1144","boolean swap()","io.vov.vitamio.EGL.swap()Z","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","115","3","132","4","0","0","0","0","0","0","0","0","5","2","2","0","1","0","0","0","0","0","18","18","10","0","18","18","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1115","void destroySurface()","io.vov.vitamio.EGL.destroySurface()V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","134","3","140","4","0","0","0","0","0","0","0","0","3","1","1","1","1","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1117","void finish()","io.vov.vitamio.EGL.finish()V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","142","3","151","4","0","0","0","0","0","0","0","0","3","1","1","1","1","0","0","0","0","0","10","10","6","0","10","10","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1134","void throwEglException(String function)","io.vov.vitamio.EGL.throwEglException(Ljava/lang/String;)V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","153","3","155","4","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1142","void throwEglException(String function, int error)","io.vov.vitamio.EGL.throwEglException(Ljava/lang/String;I)V","L1074","L103","D:\PR_assignment_src\VitamioBundle\vitamio\src\io\vov\vitamio\EGL.java","157","3","161","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","5","5","3","2","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
