"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L3397","void setContentView(int layoutResID)","net.tsz.afinal.FinalActivity.setContentView(I)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","32","2","35","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3403","void setContentView(View view, LayoutParams params)","net.tsz.afinal.FinalActivity.setContentView(Landroid/view/View;Landroid/view/ViewGroup$LayoutParams;)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","38","2","41","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3411","void setContentView(View view)","net.tsz.afinal.FinalActivity.setContentView(Landroid/view/View;)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","44","2","47","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3401","void initInjectedView(Activity activity)","net.tsz.afinal.FinalActivity.initInjectedView(Landroid/app/Activity;)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","50","2","52","3","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3416","void initInjectedView(Object injectedSource, View sourceView)","net.tsz.afinal.FinalActivity.initInjectedView(Ljava/lang/Object;Landroid/view/View;)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","55","2","87","3","0","0","0","0","0","0","0","0","8","5","5","1","10","0","0","0","0","0","27","33","19","2","27","33","19","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3452","void setViewSelectListener(Object injectedSource, Field field, String select, String noSelect)","net.tsz.afinal.FinalActivity.setViewSelectListener(Ljava/lang/Object;Ljava/lang/reflect/Field;Ljava/lang/String;Ljava/lang/String;)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","90","2","95","3","0","0","0","0","0","0","0","0","2","1","1","1","3","0","0","0","0","0","6","6","3","4","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3436","void setListener(Object injectedSource, Field field, String methodName, Method method)","net.tsz.afinal.FinalActivity.setListener(Ljava/lang/Object;Ljava/lang/reflect/Field;Ljava/lang/String;Lnet/tsz/afinal/FinalActivity$Method;)V","L3390","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalActivity.java","98","2","128","3","0.75","1","10","2","0.645161","0.689655","20","20","11","2","2","1","5","0","0","0","0","0","29","31","17","4","29","31","17","0","0","10","0","0","0","0","0","7","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3515","FinalBitmap(Context context)","net.tsz.afinal.FinalBitmap.<init>(Landroid/content/Context;)V","L3494","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalBitmap.java","58","2","64","3","0","0","0","0","0","0","0","0","1","0","0","1","5","0.363636","4","1","0.363636","4","7","7","5","1","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3534","FinalBitmap create(Context ctx)","net.tsz.afinal.FinalBitmap.create(Landroid/content/Context;)Lnet/tsz/afinal/FinalBitmap;","L3494","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalBitmap.java","71","2","76","3","0","0","0","0","0","0","0","0","2","1","1","0","1","0.454545","5","5","0.454545","5","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3541","FinalBitmap configLoadingImage(Bitmap bitmap)","net.tsz.afinal.FinalBitmap.configLoadingImage(Landroid/graphics/Bitmap;)Lnet/tsz/afinal/FinalBitmap;","L3494","L103","D:\PR_assignment_src\afinal\src\net\tsz\afinal\FinalBitmap.java","84","2","87","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0.5","4","4","0.5","4","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
