"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L7491","int getLayoutId(String string)","android.databinding.DataBinderMapper.getLayoutId(Ljava/lang/String;)I","L7483","L103","D:\PR_assignment_src\agera\extensions\rvdatabinding\src\test\java\android\databinding\DataBinderMapper.java","16","3","18","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6866","void setDataBinding(ViewDataBinding dataBinding, int layoutId)","android.databinding.DataBinderMapper.setDataBinding(LViewDataBinding;I)V","L7483","L103","D:\PR_assignment_src\agera\extensions\rvdatabinding\src\test\java\android\databinding\DataBinderMapper.java","20","3","22","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7496","ViewDataBinding getDataBinder(DataBindingComponent component, View view, int layoutId)","android.databinding.DataBinderMapper.getDataBinder(Landroid.databinding.DataBindingComponent;LView;I)LViewDataBinding;","L7483","L103","D:\PR_assignment_src\agera\extensions\rvdatabinding\src\test\java\android\databinding\DataBinderMapper.java","24","3","27","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","3","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L179","void observableActivated(UpdateDispatcher caller)","com.google.android.agera.ActivationHandler.observableActivated(Lcom/google/android/agera/UpdateDispatcher;)V","L177","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\ActivationHandler.java","37","3","37","62","0","0","0","0","0","0","0","0","1","0","0","1","0","0.8","4","4","0.8","4","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L190","void observableDeactivated(UpdateDispatcher caller)","com.google.android.agera.ActivationHandler.observableDeactivated(Lcom/google/android/agera/UpdateDispatcher;)V","L177","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\ActivationHandler.java","43","3","43","64","0","0","0","0","0","0","0","0","1","0","0","1","0","0.8","4","4","0.8","4","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L224","BaseObservable()","com.google.android.agera.BaseObservable.<init>()V","L193","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\BaseObservable.java","56","3","58","4","0","0","0","0","0","0","0","0","1","0","0","8","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L225","BaseObservable(int shortestUpdateWindowMillis)","com.google.android.agera.BaseObservable.<init>(I)V","L193","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\BaseObservable.java","60","3","66","4","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","7","7","5","1","7","7","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","void addUpdatable(Updatable updatable)","com.google.android.agera.BaseObservable.addUpdatable(Lcom/google/android/agera/Updatable;)V","L193","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\BaseObservable.java","68","3","88","4","0","0","0","0","0","0","0","0","5","3","2","1","5","0","0","0","0","0","21","21","13","1","21","21","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L270","void removeUpdatable(Updatable updatable)","com.google.android.agera.BaseObservable.removeUpdatable(Lcom/google/android/agera/Updatable;)V","L193","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\BaseObservable.java","90","3","102","4","0","0","0","0","0","0","0","0","2","1","1","1","3","0","0","0","0","0","13","13","8","1","13","13","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L277","void dispatchUpdate()","com.google.android.agera.BaseObservable.dispatchUpdate()V","L193","L103","D:\PR_assignment_src\agera\agera\src\main\java\com\google\android\agera\BaseObservable.java","107","3","114","4","0","0","0","0","0","0","0","0","2","1","1","15","0","0.272727","3","3","0.272727","3","8","8","4","0","8","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
