"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2942","PtrClassicDefaultHeader(Context context)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.<init>(Landroid/content/Context;)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","36","5","39","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2948","PtrClassicDefaultHeader(Context context, AttributeSet attrs)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","41","5","44","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2953","PtrClassicDefaultHeader(Context context, AttributeSet attrs, int defStyle)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","46","5","49","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2946","void initViews(AttributeSet attrs)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.initViews(Landroid/util/AttributeSet;)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","51","5","66","6","0","0","0","0","0","0","0","0","2","1","1","3","2","0","0","0","0","0","13","16","10","1","13","16","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2976","void onDetachedFromWindow()","in.srain.cube.views.ptr.PtrClassicDefaultHeader.onDetachedFromWindow()V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","68","5","74","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","7","7","3","0","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2982","void setRotateAniTime(int time)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.setRotateAniTime(I)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","76","5","82","6","0","0","0","0","0","0","0","0","3","1","1","0","1","0","0","0","0","0","7","7","4","1","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2984","void setLastUpdateTimeKey(String key)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.setLastUpdateTimeKey(Ljava/lang/String;)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","89","5","94","6","0","0","0","0","0","0","0","0","2","1","1","2","0","0.454545","5","5","0.454545","5","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2988","void setLastUpdateTimeRelateObject(Object object)","in.srain.cube.views.ptr.PtrClassicDefaultHeader.setLastUpdateTimeRelateObject(Ljava/lang/Object;)V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","101","5","103","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2968","void buildAnimation()","in.srain.cube.views.ptr.PtrClassicDefaultHeader.buildAnimation()V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","105","5","115","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","10","11","8","0","10","11","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2974","void resetView()","in.srain.cube.views.ptr.PtrClassicDefaultHeader.resetView()V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","117","5","120","6","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3004","void hideRotateView()","in.srain.cube.views.ptr.PtrClassicDefaultHeader.hideRotateView()V","L2916","L103","D:\PR_assignment_src\android-Ultra-Pull-To-Refresh\ptr-lib\src\in\srain\cube\views\ptr\PtrClassicDefaultHeader.java","122","5","125","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
