"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L169","MusicProvider setupMusicProvider(MusicProviderSource source)","com.example.android.uamp.TestSetupHelper.setupMusicProvider(Lcom/example/android/uamp/model/MusicProviderSource;)Lcom/example/android/uamp/model/MusicProvider;","L1453","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\androidTest\java\com\example\android\uamp\TestSetupHelper.java","27","5","39","6","0","0","0","0","0","0","0","0","1","0","0","4","2","0","0","0","0","0","9","9","5","1","13","13","6","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1432","AlbumArtCache getInstance()","com.example.android.uamp.AlbumArtCache.getInstance()Lcom/example/android/uamp/AlbumArtCache;","L1439","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\AlbumArtCache.java","52","5","54","6","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1945","AlbumArtCache()","com.example.android.uamp.AlbumArtCache.<init>()V","L1439","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\AlbumArtCache.java","56","5","68","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.25","2","0","0.153846","2","6","8","2","0","11","13","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L1967","Bitmap getBigImage(String artUrl)","com.example.android.uamp.AlbumArtCache.getBigImage(Ljava/lang/String;)Landroid/graphics/Bitmap;","L1439","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\AlbumArtCache.java","70","5","73","6","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1971","Bitmap getIconImage(String artUrl)","com.example.android.uamp.AlbumArtCache.getIconImage(Ljava/lang/String;)Landroid/graphics/Bitmap;","L1439","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\AlbumArtCache.java","75","5","78","6","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1430","void fetch(String artUrl, FetchListener listener)","com.example.android.uamp.AlbumArtCache.fetch(Ljava/lang/String;Lcom/example/android/uamp/AlbumArtCache$FetchListener;)V","L1439","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\AlbumArtCache.java","80","5","122","6","0","0","0","0","0","0","0","0","2","1","1","6","2","0.266667","4","0","0.097561","4","11","16","7","2","37","43","19","0","0","9","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"L2008","CastOptions getCastOptions(Context context)","com.example.android.uamp.CastOptionsProvider.getCastOptions(LContext;)LCastOptions;","L2005","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\CastOptionsProvider.java","32","5","37","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","1","1","6","6","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2012","List<SessionProvider> getAdditionalSessionProviders(Context context)","com.example.android.uamp.CastOptionsProvider.getAdditionalSessionProviders(Landroid/content/Context;)Ljava/util/List;","L2005","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\CastOptionsProvider.java","39","5","42","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2043","MediaNotificationManager(MusicService service)","com.example.android.uamp.MediaNotificationManager.<init>(Lcom/example/android/uamp/MusicService;)V","L2014","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\MediaNotificationManager.java","80","5","105","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.0909091","2","0","0.0909091","2","20","26","11","1","20","26","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2072","void startNotification()","com.example.android.uamp.MediaNotificationManager.startNotification()V","L2014","L103","D:\PR_assignment_src\android-UniversalMusicPlayer\mobile\src\main\java\com\example\android\uamp\MediaNotificationManager.java","112","5","133","6","0","0","0","0","0","0","0","0","3","2","2","1","1","0.24","6","5","0.24","6","19","22","15","0","19","22","15","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
