"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L342","void onCreate(Bundle savedInstanceState)","com.futurice.project.MainActivity.onCreate(Landroid/os/Bundle;)V","L133","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\MainActivity.java","11","5","20","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","10","10","4","1","10","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L357","boolean onCreateOptionsMenu(Menu menu)","com.futurice.project.MainActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L133","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\MainActivity.java","22","5","27","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L369","boolean onOptionsItemSelected(MenuItem item)","com.futurice.project.MainActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L133","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\MainActivity.java","29","5","39","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0.272727","3","0","0.272727","3","8","11","4","1","8","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","void onCreate(Bundle savedInstanceState)","com.futurice.project.fragments.BookFragment.onCreate(Landroid/os/Bundle;)V","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","32","5","36","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L240","View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)","com.futurice.project.fragments.BookFragment.onCreateView(Landroid/view/LayoutInflater;Landroid/view/ViewGroup;Landroid/os/Bundle;)Landroid/view/View;","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","38","5","43","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","1","3","6","6","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","void onViewCreated(View view, Bundle savedInstanceState)","com.futurice.project.fragments.BookFragment.onViewCreated(Landroid/view/View;Landroid/os/Bundle;)V","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","45","5","52","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","8","8","5","2","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L268","void onResume()","com.futurice.project.fragments.BookFragment.onResume()V","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","54","5","60","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","Observable<Book> getBiographyBookOf(String personNameQuery)","com.futurice.project.fragments.BookFragment.getBiographyBookOf(LString;)LObservable;","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","62","5","79","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.272727","3","0","0.166667","3","8","11","1","1","15","18","5","0","0","11","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","Observable<String> getBookName()","com.futurice.project.fragments.BookFragment.getBookName()LObservable;","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","81","5","88","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.142857","1","0","0.125","1","6","7","1","0","7","8","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L275","Observable<String> getAuthorName()","com.futurice.project.fragments.BookFragment.getAuthorName()LObservable;","L216","L103","D:\PR_assignment_src\android-best-practices\templates\rx-architecture\app\src\main\java\com\futurice\project\fragments\BookFragment.java","90","5","99","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","8","8","1","0","10","10","3","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
