"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L7815","ProcessingEnvironment getProcessingEnvironment()","org.androidannotations.AndroidAnnotationsEnvironment.getProcessingEnvironment()Ljavax/annotation/processing/ProcessingEnvironment;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","40","2","40","51","0","0","0","0","0","0","0","0","1","0","0","13","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7819","Set<String> getSupportedOptions()","org.androidannotations.AndroidAnnotationsEnvironment.getSupportedOptions()Ljava/util/Set;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","42","2","42","36","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7820","String getOptionValue(Option option)","org.androidannotations.AndroidAnnotationsEnvironment.getOptionValue(Lorg/androidannotations/Option;)Ljava/lang/String;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","44","2","44","39","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7825","String getOptionValue(String optionKey)","org.androidannotations.AndroidAnnotationsEnvironment.getOptionValue(Ljava/lang/String;)Ljava/lang/String;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","46","2","46","42","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7827","boolean getOptionBooleanValue(Option option)","org.androidannotations.AndroidAnnotationsEnvironment.getOptionBooleanValue(Lorg/androidannotations/Option;)Z","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","48","2","48","47","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7829","boolean getOptionBooleanValue(String optionKey)","org.androidannotations.AndroidAnnotationsEnvironment.getOptionBooleanValue(Ljava/lang/String;)Z","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","50","2","50","50","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7831","Set<String> getSupportedAnnotationTypes()","org.androidannotations.AndroidAnnotationsEnvironment.getSupportedAnnotationTypes()Ljava/util/Set;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","52","2","52","44","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7832","List<AnnotationHandler<?>> getHandlers()","org.androidannotations.AndroidAnnotationsEnvironment.getHandlers()Ljava/util/List;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","54","2","54","43","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7842","List<AnnotationHandler<?>> getDecoratingHandlers()","org.androidannotations.AndroidAnnotationsEnvironment.getDecoratingHandlers()Ljava/util/List;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","56","2","56","53","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7843","List<GeneratingAnnotationHandler<?>> getGeneratingHandlers()","org.androidannotations.AndroidAnnotationsEnvironment.getGeneratingHandlers()Ljava/util/List;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","58","2","58","63","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7853","IRClass getRClass()","org.androidannotations.AndroidAnnotationsEnvironment.getRClass()Lorg/androidannotations/rclass/IRClass;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","60","2","60","22","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7857","AndroidManifest getAndroidManifest()","org.androidannotations.AndroidAnnotationsEnvironment.getAndroidManifest()Lorg/androidannotations/helper/AndroidManifest;","L7814","L103","D:\PR_assignment_src\androidannotations\AndroidAnnotations\androidannotations-core\androidannotations\src\main\java\org\androidannotations\AndroidAnnotationsEnvironment.java","62","2","62","39","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
