"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L191","int value()","butterknife.BindArray.value()I","L176","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindArray.java","37","3","37","25","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L200","int value()","butterknife.BindBitmap.value()I","L198","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindBitmap.java","20","3","20","28","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L204","int value()","butterknife.BindBool.value()I","L202","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindBool.java","19","3","19","24","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","int value()","butterknife.BindColor.value()I","L206","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindColor.java","21","3","21","25","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","int value()","butterknife.BindDimen.value()I","L210","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindDimen.java","21","3","21","25","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","int value()","butterknife.BindDrawable.value()I","L214","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindDrawable.java","23","3","23","28","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","int tint()","butterknife.BindDrawable.tint()I","L214","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindDrawable.java","26","3","26","33","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L222","int value()","butterknife.BindFloat.value()I","L220","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindFloat.java","23","3","23","25","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L226","int value()","butterknife.BindInt.value()I","L224","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindInt.java","19","3","19","27","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L230","int value()","butterknife.BindString.value()I","L228","L103","D:\PR_assignment_src\butterknife\butterknife-annotations\src\main\java\butterknife\BindString.java","19","3","19","26","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
