"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L12049","void onSaveInstanceState(Bundle outState)","it.gmariotti.cardslib.demo.MainActivity.onSaveInstanceState(Landroid/os/Bundle;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","127","5","131","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","1","0.166667","1","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12054","void onCreate(Bundle savedInstanceState)","it.gmariotti.cardslib.demo.MainActivity.onCreate(Landroid/os/Bundle;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","133","5","190","6","1","2","8","2","1","1","58","34","3","2","2","0","7","0.257143","9","0","0.26087","12","26","45","21","1","34","58","27","0","0","20","0","0","0","0","0","17","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L12079","void onDestroy()","it.gmariotti.cardslib.demo.MainActivity.onDestroy()V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","192","5","197","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","6","6","4","0","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12081","void onPostCreate(Bundle savedInstanceState)","it.gmariotti.cardslib.demo.MainActivity.onPostCreate(Landroid/os/Bundle;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","199","5","204","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12083","void onConfigurationChanged(Configuration newConfig)","it.gmariotti.cardslib.demo.MainActivity.onConfigurationChanged(Landroid/content/res/Configuration;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","206","5","210","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12085","boolean onCreateOptionsMenu(Menu menu)","it.gmariotti.cardslib.demo.MainActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","212","5","217","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12087","boolean onPrepareOptionsMenu(Menu menu)","it.gmariotti.cardslib.demo.MainActivity.onPrepareOptionsMenu(Landroid/view/Menu;)Z","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","220","5","225","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.428571","3","1","0.428571","3","4","6","1","1","4","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12090","boolean onOptionsItemSelected(MenuItem item)","it.gmariotti.cardslib.demo.MainActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","227","5","252","6","1","1","5","1","1","1","26","17","4","1","1","0","2","0.26087","6","0","0.26087","6","17","26","9","1","17","26","9","0","0","7","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12074","BaseFragment selectFragment(int position)","it.gmariotti.cardslib.demo.MainActivity.selectFragment(I)Lit/gmariotti/cardslib/demo/fragment/BaseFragment;","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","300","5","394","6","1","25","567","46","1","1","95","86","27","1","1","2","0","0.0652174","6","0","0.0652174","6","86","95","56","1","86","95","56","0","0","12","0","0","0","0","0","8","0","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L12173","void openDialogFragment(DialogFragment dialogStandardFragment)","it.gmariotti.cardslib.demo.MainActivity.openDialogFragment(Landroid/app/DialogFragment;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","397","5","409","6","1","1","3","1","1","1","13","11","3","2","2","0","0","0.0833333","1","0","0.0833333","1","11","13","7","1","11","13","7","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12077","void openFragment(BaseFragment baseFragment)","it.gmariotti.cardslib.demo.MainActivity.openFragment(Lit/gmariotti/cardslib/demo/fragment/BaseFragment;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","411","5","423","6","1","1","3","1","1","1","13","10","3","2","2","2","1","0.0909091","1","0","0.0909091","1","10","13","7","1","10","13","7","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12057","void _initMenu()","it.gmariotti.cardslib.demo.MainActivity._initMenu()V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","462","5","487","6","1","1","2","1","1","1","26","19","2","1","1","1","3","0","0","0","0","0","19","26","14","0","19","26","14","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12201","void onActivityResult(int requestCode, int resultCode, Intent data)","it.gmariotti.cardslib.demo.MainActivity.onActivityResult(IILandroid/content/Intent;)V","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","489","5","503","6","1","1","2","1","1","1","15","10","2","1","1","0","1","0.285714","4","0","0.285714","4","10","15","4","3","10","15","4","0","0","6","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11810","IabHelper getHelper()","it.gmariotti.cardslib.demo.MainActivity.getHelper()Lit/gmariotti/cardslib/demo/iabutils/IabHelper;","L11812","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainActivity.java","505","5","507","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12251","void onSaveInstanceState(Bundle outState)","it.gmariotti.cardslib.demo.MainNativeActivity.onSaveInstanceState(Landroid/os/Bundle;)V","L12206","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainNativeActivity.java","127","5","131","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","1","0.166667","1","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12256","void onCreate(Bundle savedInstanceState)","it.gmariotti.cardslib.demo.MainNativeActivity.onCreate(Landroid/os/Bundle;)V","L12206","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainNativeActivity.java","133","5","190","6","1","2","8","2","1","1","58","34","3","2","2","0","7","0.257143","9","0","0.26087","12","26","45","21","1","34","58","27","0","0","20","0","0","0","0","0","17","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L12279","void onDestroy()","it.gmariotti.cardslib.demo.MainNativeActivity.onDestroy()V","L12206","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainNativeActivity.java","192","5","197","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","6","6","4","0","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12280","void onPostCreate(Bundle savedInstanceState)","it.gmariotti.cardslib.demo.MainNativeActivity.onPostCreate(Landroid/os/Bundle;)V","L12206","L103","D:\PR_assignment_src\cardslib\demo\stock\src\main\java\it\gmariotti\cardslib\demo\MainNativeActivity.java","199","5","204","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
