"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L19765","void legacy_repl(String[] args)","clojure.main.legacy_repl([Ljava/lang/String;)V","L22316","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\main.java","25","1","28","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L21322","void legacy_script(String[] args)","clojure.main.legacy_script([Ljava/lang/String;)V","L22316","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\main.java","30","1","33","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L22329","void main(String[] args)","clojure.main.main([Ljava/lang/String;)V","L22316","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\main.java","35","1","38","2","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L22365","String someMethod(int a, int b)","compilation.TestDispatch.someMethod(II)Ljava/lang/String;","L22363","L103","D:\PR_assignment_src\clojure\test\java\compilation\TestDispatch.java","4","5","6","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L22368","String someMethod(int a, long b)","compilation.TestDispatch.someMethod(IJ)Ljava/lang/String;","L22363","L103","D:\PR_assignment_src\clojure\test\java\compilation\TestDispatch.java","8","5","10","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L22371","String someMethod(long a, long b)","compilation.TestDispatch.someMethod(JJ)Ljava/lang/String;","L22363","L103","D:\PR_assignment_src\clojure\test\java\compilation\TestDispatch.java","12","5","14","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L22378","String stuff()","reflector.IBar.stuff()Ljava/lang/String;","L22377","L103","D:\PR_assignment_src\clojure\test\java\reflector\IBar.java","4","5","4","20","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L22391","String stuff()","reflector.Bar.stuff()Ljava/lang/String;","L22389","L103","D:\PR_assignment_src\clojure\test\java\reflector\IBar.java","14","5","16","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L148","AnnotationVisitor(int api)","clojure.asm.AnnotationVisitor.<init>(I)V","L134","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\AnnotationVisitor.java","61","5","63","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.7","7","7","0.7","7","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","AnnotationVisitor(int api, AnnotationVisitor av)","clojure.asm.AnnotationVisitor.<init>(ILclojure/asm/AnnotationVisitor;)V","L134","L103","D:\PR_assignment_src\clojure\src\jvm\clojure\asm\AnnotationVisitor.java","75","5","81","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0.588235","10","10","0.588235","10","7","7","4","2","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
