"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L8899","UnusedStub()","android.UnusedStub.<init>()V","L8897","L103","D:\PR_assignment_src\coursera-android\Examples\google-play-services_lib\src\android\UnusedStub.java","20","5","20","29","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1528","void onCreate(Bundle savedInstanceState)","course.examples.checkintents.CheckActivityIntents.onCreate(Landroid/os/Bundle;)V","L1526","L103","D:\PR_assignment_src\coursera-android\Examples\CheckActivityIntents\src\course\examples\checkintents\CheckActivityIntents.java","19","2","41","3","1","1","2","1","1","1","23","20","1","0","0","0","0","0","0","0","0","0","10","13","6","1","20","23","11","0","0","25","0","0","0","0","0","18","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1538","List<String> getActivitiesForAction(Context context, String action)","course.examples.checkintents.CheckActivityIntents.getActivitiesForAction(Landroid/content/Context;Ljava/lang/String;)Ljava/util/List;","L1526","L103","D:\PR_assignment_src\coursera-android\Examples\CheckActivityIntents\src\course\examples\checkintents\CheckActivityIntents.java","43","2","55","3","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","12","13","7","2","12","13","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1578","void onCreate(Bundle savedInstanceState)","course.examples.checkbroadcastintents.CheckBroadcastIntents.onCreate(Landroid/os/Bundle;)V","L1576","L103","D:\PR_assignment_src\coursera-android\Examples\CheckBroadcastIntents\src\course\examples\checkbroadcastintents\CheckBroadcastIntents.java","19","2","41","3","1","1","2","1","1","1","23","20","1","0","0","0","0","0","0","0","0","0","10","13","6","1","20","23","11","0","0","25","0","0","0","0","0","18","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1585","List<String> getBroadcastReceiversForAction(Context context, String action)","course.examples.checkbroadcastintents.CheckBroadcastIntents.getBroadcastReceiversForAction(Landroid/content/Context;Ljava/lang/String;)Ljava/util/List;","L1576","L103","D:\PR_assignment_src\coursera-android\Examples\CheckBroadcastIntents\src\course\examples\checkbroadcastintents\CheckBroadcastIntents.java","43","2","54","3","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","11","12","7","2","11","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3757","void onCreate(Bundle savedInstanceState)","course.examples.helloworld.HelloAndroid.onCreate(Landroid/os/Bundle;)V","L3755","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroid\src\course\examples\helloworld\HelloAndroid.java","7","2","16","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.428571","3","0","0.428571","3","4","10","2","1","4","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3801","void onCreate(Bundle savedInstanceState)","course.examples.helloworldwithlogin.HelloAndroid.onCreate(Landroid/os/Bundle;)V","L3799","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithLogin\src\course\examples\helloworldwithlogin\HelloAndroid.java","7","5","15","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.428571","3","0","0.428571","3","4","9","2","1","4","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3805","void onCreate(Bundle savedInstanceState)","course.examples.helloworldwithlogin.LoginScreen.onCreate(Landroid/os/Bundle;)V","L3803","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithLogin\src\course\examples\helloworldwithlogin\LoginScreen.java","15","5","42","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0.130435","3","10","12","6","1","20","28","11","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L3812","boolean checkPassword(Editable uname, Editable passwd)","course.examples.helloworldwithlogin.LoginScreen.checkPassword(Landroid/text/Editable;Landroid/text/Editable;)Z","L3803","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithLogin\src\course\examples\helloworldwithlogin\LoginScreen.java","44","5","47","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.25","1","0","0.25","1","3","4","1","2","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3832","void onCreate(Bundle savedInstanceState)","course.examples.helloandroidwithmenu.HelloAndroidWithMenuActivity.onCreate(Landroid/os/Bundle;)V","L3830","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithMenus\src\course\examples\helloandroidwithmenu\HelloAndroidWithMenuActivity.java","15","2","24","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.142857","1","0","0.142857","1","6","10","4","1","6","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3836","boolean onCreateOptionsMenu(Menu menu)","course.examples.helloandroidwithmenu.HelloAndroidWithMenuActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L3830","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithMenus\src\course\examples\helloandroidwithmenu\HelloAndroidWithMenuActivity.java","27","2","32","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.142857","1","1","0.142857","1","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3839","boolean onOptionsItemSelected(MenuItem item)","course.examples.helloandroidwithmenu.HelloAndroidWithMenuActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L3830","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithMenus\src\course\examples\helloandroidwithmenu\HelloAndroidWithMenuActivity.java","35","2","51","3","0","0","0","0","0","0","0","0","4","1","1","0","0","0.0555556","1","1","0.0555556","1","17","17","7","1","17","17","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3842","void onCreateContextMenu(ContextMenu menu, View v, ContextMenuInfo menuInfo)","course.examples.helloandroidwithmenu.HelloAndroidWithMenuActivity.onCreateContextMenu(Landroid/view/ContextMenu;Landroid/view/View;Landroid/view/ContextMenu$ContextMenuInfo;)V","L3830","L103","D:\PR_assignment_src\coursera-android\Examples\HelloAndroidWithMenus\src\course\examples\helloandroidwithmenu\HelloAndroidWithMenuActivity.java","54","2","60","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.125","1","1","0.125","1","7","7","3","3","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
