"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L138","Person getPersonWithID(int personID)","Question10_2.Machine.getPersonWithID(I)LQuestion10_2/Person;","L114","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Machine.java","9","2","11","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","String getInfo()","Question10_2.Person.getInfo()Ljava/lang/String;","L127","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","10","2","10","42","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L157","void setInfo(String info)","Question10_2.Person.setInfo(Ljava/lang/String;)V","L127","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","11","2","13","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L162","int[] getFriends()","Question10_2.Person.getFriends()[I","L127","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","15","2","21","3","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","7","7","6","0","7","7","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L170","int getID()","Question10_2.Person.getID()I","L127","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","22","2","22","41","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","void addFriend(int id)","Question10_2.Person.addFriend(I)V","L127","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","23","2","23","52","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","Person(int id)","Question10_2.Person.<init>(I)V","L127","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Person.java","25","2","27","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L190","Machine getMachineWithId(int machineID)","Question10_2.Server.getMachineWithId(I)LQuestion10_2/Machine;","L178","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Server.java","9","2","11","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L193","int getMachineIDForUser(int personID)","Question10_2.Server.getMachineIDForUser(I)I","L178","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Server.java","13","2","16","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","Person getPersonWithID(int personID)","Question10_2.Server.getPersonWithID(I)LQuestion10_2/Person;","L178","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_2\Server.java","18","2","28","3","0","0","0","0","0","0","0","0","3","1","1","0","2","0","0","0","0","0","11","11","7","1","11","11","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","void findOpenNumber()","Question10_3.Question.findOpenNumber()V","L204","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_3\Question.java","12","2","33","3","0","0","0","0","0","0","0","0","5","3","3","1","0","0.285714","6","0","0.285714","6","15","22","13","0","15","22","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","void main(String[] args)","Question10_3.Question.main([Ljava/lang/String;)V","L204","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_3\Question.java","35","2","37","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L256","void findOpenNumber()","Question10_3.QuestionB.findOpenNumber()V","L248","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_3\QuestionB.java","12","2","49","3","0","0","0","0","0","0","0","0","10","3","3","1","0","0.171429","6","0","0.171429","6","29","38","25","0","29","38","25","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L259","void main(String[] args)","Question10_3.QuestionB.main([Ljava/lang/String;)V","L248","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_3\QuestionB.java","51","2","53","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L268","BitSet(int size)","Question10_4.BitSet.<init>(I)V","L266","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\BitSet.java","6","2","8","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0.25","1","0","0.25","1","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L271","boolean get(int pos)","Question10_4.BitSet.get(I)Z","L266","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\BitSet.java","10","2","14","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0.285714","2","0","0.285714","2","5","5","3","1","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L276","void set(int pos)","Question10_4.BitSet.set(I)V","L266","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\BitSet.java","16","2","20","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0.285714","2","0","0.285714","2","5","5","3","1","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L280","void checkDuplicates(int[] array)","Question10_4.Question.checkDuplicates([I)V","L278","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\Question.java","7","2","18","3","0","0","0","0","0","0","0","0","3","2","2","1","3","0.0769231","1","0","0.0769231","1","12","12","9","1","12","12","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L287","void main(String[] args)","Question10_4.Question.main([Ljava/lang/String;)V","L278","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_4\Question.java","20","2","24","3","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L313","Cache()","Question10_7.Cache.<init>()V","L301","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","12","2","14","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L317","void moveToFront(Node node)","Question10_7.Cache.moveToFront(LQuestion10_7/Node;)V","L301","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","16","2","31","3","0","0","0","0","0","0","0","0","4","1","1","3","1","0","0","0","0","0","15","16","10","1","15","16","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L328","void moveToFront(String query)","Question10_7.Cache.moveToFront(Ljava/lang/String;)V","L301","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","33","2","36","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L320","void removeFromLinkedList(Node node)","Question10_7.Cache.removeFromLinkedList(LQuestion10_7/Node;)V","L301","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","38","2","67","3","0","0","0","0","0","0","0","0","8","1","1","2","0","0","0","0","0","0","24","30","16","1","24","30","16","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L332","String[] getResults(String query)","Question10_7.Cache.getResults(Ljava/lang/String;)[Ljava/lang/String;","L301","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","69","2","76","3","0","0","0","0","0","0","0","0","2","1","1","1","1","0","0","0","0","0","8","8","5","1","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L338","void insertResults(String query, String[] results)","Question10_7.Cache.insertResults(Ljava/lang/String;[Ljava/lang/String;)V","L301","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Cache.java","78","2","94","3","0","0","0","0","0","0","0","0","3","1","1","1","3","0","0","0","0","0","15","17","11","2","15","17","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L341","Node(String q, String[] res)","Question10_7.Node.<init>(Ljava/lang/String;[Ljava/lang/String;)V","L304","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Node.java","9","2","12","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L354","String[] generateResults(int i)","Question10_7.Question.generateResults(I)[Ljava/lang/String;","L352","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Question.java","5","2","8","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L356","void main(String[] args)","Question10_7.Question.main([Ljava/lang/String;)V","L352","L103","D:\PR_assignment_src\ctci\java\Chapter 10\Question10_7\Question.java","10","2","35","3","0","0","0","0","0","0","0","0","8","3","3","0","4","0","0","0","0","0","25","26","21","1","25","26","21","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L391","int binarySearch(int[] a, int x)","Introduction.BinarySearch.binarySearch([II)I","L389","L103","D:\PR_assignment_src\ctci\java\Chapter 11\Introduction\BinarySearch.java","5","2","21","3","0","0","0","0","0","0","0","0","4","3","2","1","0","0","0","0","0","0","16","17","11","2","16","17","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L394","int binarySearchRecursive(int[] a, int x, int low, int high)","Introduction.BinarySearch.binarySearchRecursive([IIII)I","L389","L103","D:\PR_assignment_src\ctci\java\Chapter 11\Introduction\BinarySearch.java","23","2","34","3","0","0","0","0","0","0","0","0","4","2","1","1","0","0.0833333","1","0","0.0833333","1","11","12","8","4","11","12","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
