"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L186","void onCreate(Bundle savedInstanceState)","net.sgoliver.android.actionbartabs.MainActivity.onCreate(Landroid/os/Bundle;)V","L179","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MainActivity.java","13","2","46","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0.307692","8","0","0.307692","8","18","34","12","1","18","34","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L240","boolean onCreateOptionsMenu(Menu menu)","net.sgoliver.android.actionbartabs.MainActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L179","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MainActivity.java","48","2","53","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","6","2","1","5","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L250","boolean onOptionsItemSelected(MenuItem item)","net.sgoliver.android.actionbartabs.MainActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L179","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MainActivity.java","55","2","70","3","1","1","5","1","1","1","16","16","4","1","1","0","0","0","0","0","0","0","16","16","10","1","16","16","10","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","MiTabListener(Fragment fg)","net.sgoliver.android.actionbartabs.MiTabListener.<init>(Landroid/app/Fragment;)V","L233","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MiTabListener.java","13","2","16","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L270","void onTabReselected(Tab tab, FragmentTransaction ft)","net.sgoliver.android.actionbartabs.MiTabListener.onTabReselected(Landroid/app/ActionBar$Tab;Landroid/app/FragmentTransaction;)V","L233","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MiTabListener.java","18","2","21","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L278","void onTabSelected(Tab tab, FragmentTransaction ft)","net.sgoliver.android.actionbartabs.MiTabListener.onTabSelected(Landroid/app/ActionBar$Tab;Landroid/app/FragmentTransaction;)V","L233","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MiTabListener.java","23","2","27","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L284","void onTabUnselected(Tab tab, FragmentTransaction ft)","net.sgoliver.android.actionbartabs.MiTabListener.onTabUnselected(Landroid/app/ActionBar$Tab;Landroid/app/FragmentTransaction;)V","L233","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\MiTabListener.java","29","2","33","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L291","View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)","net.sgoliver.android.actionbartabs.Tab1Fragment.onCreateView(Landroid/view/LayoutInflater;Landroid/view/ViewGroup;Landroid/os/Bundle;)Landroid/view/View;","L221","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\Tab1Fragment.java","10","2","14","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","1","3","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L307","View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)","net.sgoliver.android.actionbartabs.Tab2Fragment.onCreateView(Landroid/view/LayoutInflater;Landroid/view/ViewGroup;Landroid/os/Bundle;)Landroid/view/View;","L226","L103","D:\PR_assignment_src\curso-android-src\android-actionbar-tabs\src\net\sgoliver\android\actionbartabs\Tab2Fragment.java","10","2","14","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","1","3","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L366","void onCreate(Bundle savedInstanceState)","net.sgoliver.android.actionbar.MainActivity.onCreate(Landroid/os/Bundle;)V","L364","L103","D:\PR_assignment_src\curso-android-src\android-actionbar\src\net\sgoliver\android\actionbar\MainActivity.java","11","2","15","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
