"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L132","void run()","TestApp.run()V","L116","L103","D:\PR_assignment_src\dagger\compiler\src\it\default-package-injected-type\src\main\java\TestApp.java","26","3","28","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L142","void main(String[] args)","TestApp.main([Ljava/lang/String;)V","L116","L103","D:\PR_assignment_src\dagger\compiler\src\it\default-package-injected-type\src\main\java\TestApp.java","30","3","32","4","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L319","void run()","test.TestApp.run()V","L305","L103","D:\PR_assignment_src\dagger\compiler\src\it\extension-graph-setvalues\src\main\java\test\TestApp.java","38","3","40","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L325","void main(String[] args)","test.TestApp.main([Ljava/lang/String;)V","L305","L103","D:\PR_assignment_src\dagger\compiler\src\it\extension-graph-setvalues\src\main\java\test\TestApp.java","42","3","46","4","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L372","void run()","test.TestApp.run()V","L366","L103","D:\PR_assignment_src\dagger\compiler\src\it\extension-graph\src\main\java\test\TestApp.java","27","3","29","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L376","void main(String[] args)","test.TestApp.main([Ljava/lang/String;)V","L366","L103","D:\PR_assignment_src\dagger\compiler\src\it\extension-graph\src\main\java\test\TestApp.java","31","3","35","4","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L408","void main(String[] args)","test.TestApp.main([Ljava/lang/String;)V","L406","L103","D:\PR_assignment_src\dagger\compiler\src\it\include-non-module\src\main\java\test\TestApp.java","25","3","27","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L423","void main(String[] args)","test.TestApp.main([Ljava/lang/String;)V","L421","L103","D:\PR_assignment_src\dagger\compiler\src\it\inject-parameterized-type\src\main\java\test\TestApp.java","24","3","26","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L454","void doThings(Object things)","test.TestApp.doThings(Ljava/lang/Object;)V","L452","L103","D:\PR_assignment_src\dagger\compiler\src\it\method-injection\src\main\java\test\TestApp.java","21","3","22","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","1","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L462","void run()","test.TestApp.run()V","L456","L103","D:\PR_assignment_src\dagger\compiler\src\it\missing-at-inject-constructor\src\main\java\test\TestApp.java","27","3","29","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
