"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L246","AbstractSequencer(int bufferSize, WaitStrategy waitStrategy)","com.lmax.disruptor.AbstractSequencer.<init>(ILcom/lmax/disruptor/WaitStrategy;)V","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","44","5","57","6","0","0","0","0","0","0","0","0","3","1","1","2","0","0.315789","6","6","0.315789","6","13","14","6","2","13","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L261","long getCursor()","com.lmax.disruptor.AbstractSequencer.getCursor()J","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","62","5","66","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.375","3","3","0.375","3","5","5","1","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L272","int getBufferSize()","com.lmax.disruptor.AbstractSequencer.getBufferSize()I","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","71","5","75","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0.375","3","3","0.375","3","5","5","1","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L274","void addGatingSequences(Sequence[] gatingSequences)","com.lmax.disruptor.AbstractSequencer.addGatingSequences([Lcom/lmax/disruptor/Sequence;)V","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","80","5","84","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.375","3","3","0.375","3","5","5","1","1","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L283","boolean removeGatingSequence(Sequence sequence)","com.lmax.disruptor.AbstractSequencer.removeGatingSequence(Lcom/lmax/disruptor/Sequence;)Z","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","89","5","93","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.375","3","3","0.375","3","5","5","1","1","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L291","long getMinimumSequence()","com.lmax.disruptor.AbstractSequencer.getMinimumSequence()J","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","98","5","102","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0.375","3","3","0.375","3","5","5","1","0","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L296","SequenceBarrier newBarrier(Sequence[] sequencesToTrack)","com.lmax.disruptor.AbstractSequencer.newBarrier([Lcom/lmax/disruptor/Sequence;)Lcom/lmax/disruptor/SequenceBarrier;","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","107","5","111","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.375","3","3","0.375","3","5","5","1","1","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L307","<T extends Object> EventPoller<T> newPoller(DataProvider<T> dataProvider, Sequence[] gatingSequences)","com.lmax.disruptor.AbstractSequencer.newPoller(Lcom/lmax/disruptor/DataProvider;[Lcom/lmax/disruptor/Sequence;)Lcom/lmax/disruptor/EventPoller;","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","121","5","125","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0.615385","8","8","0.615385","8","5","5","1","2","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L330","String toString()","com.lmax.disruptor.AbstractSequencer.toString()Ljava/lang/String;","L210","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AbstractSequencer.java","127","5","135","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","9","1","0","9","9","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L352","AggregateEventHandler(EventHandler<T>[] eventHandlers)","com.lmax.disruptor.AggregateEventHandler.<init>([Lcom/lmax/disruptor/EventHandler;)V","L336","L103","D:\PR_assignment_src\disruptor\src\main\java\com\lmax\disruptor\AggregateEventHandler.java","33","5","36","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0.555556","5","5","0.555556","5","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
