"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L202","void onCreate(Bundle savedInstanceState)","com.mobeta.android.demodslv.ArbItemSizeDSLV.onCreate(Landroid/os/Bundle;)V","L133","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\ArbItemSizeDSLV.java","47","5","77","6","0","0","0","0","0","0","0","0","3","2","2","0","3","0.04","1","1","0.04","1","24","31","20","1","24","31","20","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L294","void onCreate(Bundle savedInstanceState)","com.mobeta.android.demodslv.BGHandle.onCreate(Landroid/os/Bundle;)V","L287","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\BGHandle.java","8","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L307","CheckableLinearLayout(Context context, AttributeSet attrs)","com.mobeta.android.demodslv.CheckableLinearLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L298","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\CheckableLinearLayout.java","13","5","15","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L318","void onFinishInflate()","com.mobeta.android.demodslv.CheckableLinearLayout.onFinishInflate()V","L298","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\CheckableLinearLayout.java","17","5","21","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L325","boolean isChecked()","com.mobeta.android.demodslv.CheckableLinearLayout.isChecked()Z","L298","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\CheckableLinearLayout.java","23","5","26","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L331","void setChecked(boolean checked)","com.mobeta.android.demodslv.CheckableLinearLayout.setChecked(Z)V","L298","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\CheckableLinearLayout.java","28","5","31","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L335","void toggle()","com.mobeta.android.demodslv.CheckableLinearLayout.toggle()V","L298","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\CheckableLinearLayout.java","33","5","36","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L344","void onCreate(Bundle savedInstanceState)","com.mobeta.android.demodslv.CursorDSLV.onCreate(Landroid/os/Bundle;)V","L338","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\CursorDSLV.java","20","5","42","6","0","0","0","0","0","0","0","0","2","1","1","0","3","0.0952381","2","1","0.0952381","2","19","23","14","1","19","23","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L420","DragInitModeDialog()","com.mobeta.android.demodslv.DragInitModeDialog.<init>()V","L406","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\DragInitModeDialog.java","24","5","27","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L426","DragInitModeDialog(int dragStartMode)","com.mobeta.android.demodslv.DragInitModeDialog.<init>(I)V","L406","L103","D:\PR_assignment_src\drag-sort-listview\demo\src\com\mobeta\android\demodslv\DragInitModeDialog.java","29","5","32","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
