"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2826","Application()","io.dropwizard.Application.<init>()V","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","25","5","28","6","0","0","0","0","0","0","0","0","1","0","0","4","2","0.25","1","0","0.25","1","3","4","1","0","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4266","Level bootstrapLogLevel()","io.dropwizard.Application.bootstrapLogLevel()LLevel;","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","33","5","35","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4269","Class<T> getConfigurationClass()","io.dropwizard.Application.getConfigurationClass()Ljava/lang/Class;","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","43","5","45","6","0","0","0","0","0","0","0","0","1","0","0","7","1","0.666667","6","6","0.666667","6","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4279","String getName()","io.dropwizard.Application.getName()Ljava/lang/String;","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","52","5","54","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4281","void initialize(Bootstrap<T> bootstrap)","io.dropwizard.Application.initialize(Lio/dropwizard/setup/Bootstrap;)V","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","61","5","62","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0.714286","5","5","0.714286","5","2","2","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4287","void run(T configuration, Environment environment)","io.dropwizard.Application.run(Lio/dropwizard/Configuration;Lio/dropwizard/setup/Environment;)V","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","72","5","72","89","0","0","0","0","0","0","0","0","1","0","0","2","0","0.888889","8","8","0.888889","8","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2830","void run(String[] arguments)","io.dropwizard.Application.run([Ljava/lang/String;)V","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","81","5","93","6","0","0","0","0","0","0","0","0","2","1","1","7","8","0.473684","9","7","0.473684","9","10","13","7","1","10","13","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4295","void addDefaultCommands(Bootstrap<T> bootstrap)","io.dropwizard.Application.addDefaultCommands(Lio/dropwizard/setup/Bootstrap;)V","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","100","5","103","6","0","0","0","0","0","0","0","0","1","0","0","1","3","0.555556","5","5","0.555556","5","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4316","void onFatalError()","io.dropwizard.Application.onFatalError()V","L130","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Application.java","111","5","113","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.666667","6","6","0.666667","6","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4342","void initialize(Bootstrap<?> bootstrap)","io.dropwizard.Bundle.initialize(Lio/dropwizard/setup/Bootstrap;)V","L179","L103","D:\PR_assignment_src\dropwizard\dropwizard-core\src\main\java\io\dropwizard\Bundle.java","15","5","15","45","0","0","0","0","0","0","0","0","1","0","0","1","0","0.833333","5","5","0.833333","5","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
