"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L157","void attach(Activity proxyActivity, DLPluginPackage pluginPackage)","com.ryg.dynamicload.DLBasePluginActivity.attach(Landroid/app/Activity;Lcom/ryg/dynamicload/internal/DLPluginPackage;)V","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","71","5","77","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","7","4","2","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","void onCreate(Bundle savedInstanceState)","com.ryg.dynamicload.DLBasePluginActivity.onCreate(Landroid/os/Bundle;)V","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","79","5","93","6","1","1","4","1","1","1","15","14","4","1","1","3","1","0","0","0","0","0","14","15","8","1","14","15","8","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L187","void setContentView(View view)","com.ryg.dynamicload.DLBasePluginActivity.setContentView(Landroid/view/View;)V","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","95","5","102","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","1","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L194","void setContentView(View view, LayoutParams params)","com.ryg.dynamicload.DLBasePluginActivity.setContentView(Landroid/view/View;Landroid/view/ViewGroup$LayoutParams;)V","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","104","5","111","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","2","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L202","void setContentView(int layoutResID)","com.ryg.dynamicload.DLBasePluginActivity.setContentView(I)V","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","113","5","120","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","1","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","void addContentView(View view, LayoutParams params)","com.ryg.dynamicload.DLBasePluginActivity.addContentView(Landroid/view/View;Landroid/view/ViewGroup$LayoutParams;)V","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","122","5","129","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","2","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L211","View findViewById(int id)","com.ryg.dynamicload.DLBasePluginActivity.findViewById(I)Landroid/view/View;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","131","5","138","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","1","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","Intent getIntent()","com.ryg.dynamicload.DLBasePluginActivity.getIntent()Landroid/content/Intent;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","140","5","147","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","ClassLoader getClassLoader()","com.ryg.dynamicload.DLBasePluginActivity.getClassLoader()Ljava/lang/ClassLoader;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","149","5","156","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","Resources getResources()","com.ryg.dynamicload.DLBasePluginActivity.getResources()Landroid/content/res/Resources;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","158","5","165","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L233","String getPackageName()","com.ryg.dynamicload.DLBasePluginActivity.getPackageName()Ljava/lang/String;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","167","5","174","6","0","0","0","0","0","0","0","0","2","1","1","4","0","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L238","LayoutInflater getLayoutInflater()","com.ryg.dynamicload.DLBasePluginActivity.getLayoutInflater()Landroid/view/LayoutInflater;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","176","5","183","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L244","MenuInflater getMenuInflater()","com.ryg.dynamicload.DLBasePluginActivity.getMenuInflater()Landroid/view/MenuInflater;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","185","5","192","6","0","0","0","0","0","0","0","0","2","1","1","3","0","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L250","SharedPreferences getSharedPreferences(String name, int mode)","com.ryg.dynamicload.DLBasePluginActivity.getSharedPreferences(Ljava/lang/String;I)Landroid/content/SharedPreferences;","L124","L103","D:\PR_assignment_src\dynamic-load-apk\DynamicLoadApk\lib\src\com\ryg\dynamicload\DLBasePluginActivity.java","194","5","201","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","8","8","3","2","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
