"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1259","void testCanLaunchAsyncRequestFromUiThread()","com.facebook.AsyncRequestTests.testCanLaunchAsyncRequestFromUiThread()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","41","5","52","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","12","12","5","0","12","12","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1269","void testExecuteWithNullRequestsThrows()","com.facebook.AsyncRequestTests.testExecuteWithNullRequestsThrows()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","54","5","68","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","12","15","5","0","12","15","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1270","void testExecuteBatchWithZeroRequestsThrows()","com.facebook.AsyncRequestTests.testExecuteBatchWithZeroRequestsThrows()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","70","5","84","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","12","15","5","0","12","15","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1271","void testExecuteBatchWithNullRequestThrows()","com.facebook.AsyncRequestTests.testExecuteBatchWithNullRequestThrows()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","86","5","102","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","13","17","5","0","13","17","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1272","void testExecuteSingleGet()","com.facebook.AsyncRequestTests.testExecuteSingleGet()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","104","5","132","6","0.727273","1","1","1","0.62069","0.72","18","18","1","0","0","0","0","0.0555556","1","0","0.0384615","1","17","21","7","0","25","29","10","0","0","24","0","0","0","0","0","17","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1276","void testExecuteSingleGetUsingHttpURLConnection()","com.facebook.AsyncRequestTests.testExecuteSingleGetUsingHttpURLConnection()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","134","5","165","6","0.615385","1","1","1","0.5625","0.642857","18","18","1","0","0","0","0","0.047619","1","0","0.0344828","1","20","24","8","0","28","32","11","0","0","24","0","0","0","0","0","17","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1280","void testExecuteSingleGetFailureCase()","com.facebook.AsyncRequestTests.testExecuteSingleGetFailureCase()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","167","5","180","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.0909091","1","0","0.0909091","1","10","14","5","0","10","14","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1281","void testBatchWithoutAppIDIsError()","com.facebook.AsyncRequestTests.testBatchWithoutAppIDIsError()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","182","5","195","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.0909091","1","0","0.0909091","1","10","14","5","0","10","14","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1285","void testMixedSuccessAndFailure()","com.facebook.AsyncRequestTests.testMixedSuccessAndFailure()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","197","5","220","6","0","0","0","0","0","0","0","0","3","2","2","0","0","0.05","1","0","0.05","1","19","24","13","0","19","24","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1286","void testStaticExecuteMeAsync()","com.facebook.AsyncRequestTests.testStaticExecuteMeAsync()V","L1257","L103","D:\PR_assignment_src\facebook-android-sdk\facebook\src\androidTest\java\com\facebook\AsyncRequestTests.java","222","5","244","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8","10","3","0","21","23","8","0","0","12","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
