"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2079","FlexboxLayout(Context context)","com.google.android.flexbox.FlexboxLayout.<init>(Landroid/content/Context;)V","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","301","5","303","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2081","FlexboxLayout(Context context, AttributeSet attrs)","com.google.android.flexbox.FlexboxLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","305","5","307","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2088","FlexboxLayout(Context context, AttributeSet attrs, int defStyleAttr)","com.google.android.flexbox.FlexboxLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","309","5","351","6","0","0","0","0","0","0","0","0","7","1","1","1","2","0","0","0","0","0","42","43","28","3","42","43","28","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2113","void onMeasure(int widthMeasureSpec, int heightMeasureSpec)","com.google.android.flexbox.FlexboxLayout.onMeasure(II)V","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","353","5","380","6","0","0","0","0","0","0","0","0","8","1","1","0","4","0.111111","3","0","0.111111","3","24","28","12","2","24","28","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","View getReorderedChildAt(int index)","com.google.android.flexbox.FlexboxLayout.getReorderedChildAt(I)Landroid/view/View;","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","391","5","396","6","0","0","0","0","0","0","0","0","3","1","1","17","0","0.6","9","9","0.6","9","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2137","void addView(View child, int index, LayoutParams params)","com.google.android.flexbox.FlexboxLayout.addView(Landroid/view/View;ILandroid/view/ViewGroup$LayoutParams;)V","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","398","5","406","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.444444","4","0","0.444444","4","5","9","2","3","5","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2141","int[] createReorderedIndices(View viewBeforeAdded, int indexForViewBeforeAdded, LayoutParams paramsForViewBeforeAdded)","com.google.android.flexbox.FlexboxLayout.createReorderedIndices(Landroid/view/View;ILandroid/view/ViewGroup$LayoutParams;)[I","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","421","5","448","6","0","0","0","0","0","0","0","0","7","3","2","1","2","0.384615","15","13","0.384615","15","24","28","17","3","24","28","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2121","int[] createReorderedIndices()","com.google.android.flexbox.FlexboxLayout.createReorderedIndices()[I","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","456","5","460","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0.545455","6","6","0.545455","6","5","5","3","0","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2169","int[] sortOrdersIntoReorderedIndices(int childCount, List<Order> orders)","com.google.android.flexbox.FlexboxLayout.sortOrdersIntoReorderedIndices(ILjava/util/List;)[I","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","462","5","476","6","0","0","0","0","0","0","0","0","3","1","1","2","0","0","0","0","0","0","15","15","11","2","15","15","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2155","List<Order> createOrders(int childCount)","com.google.android.flexbox.FlexboxLayout.createOrders(I)Ljava/util/List;","L156","L103","D:\PR_assignment_src\flexbox-layout\flexbox\src\main\java\com\google\android\flexbox\FlexboxLayout.java","478","5","490","6","0","0","0","0","0","0","0","0","2","1","1","2","0","0","0","0","0","0","13","13","11","1","13","13","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
