"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L15583","AbstractDataSource()","com.facebook.datasource.AbstractDataSource.<init>()V","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","59","3","63","4","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","5","5","3","0","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L15622","boolean isClosed()","com.facebook.datasource.AbstractDataSource.isClosed()Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","65","3","68","4","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L15627","boolean isFinished()","com.facebook.datasource.AbstractDataSource.isFinished()Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","70","3","73","4","0","0","0","0","0","0","0","0","1","0","0","8","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L27730","boolean hasResult()","com.facebook.datasource.AbstractDataSource.hasResult()Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","75","3","78","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L15694","T getResult()","com.facebook.datasource.AbstractDataSource.getResult()Ljava/lang/Object;","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","80","3","84","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","5","5","1","0","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L16072","boolean hasFailed()","com.facebook.datasource.AbstractDataSource.hasFailed()Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","86","3","89","4","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L16074","Throwable getFailureCause()","com.facebook.datasource.AbstractDataSource.getFailureCause()Ljava/lang/Throwable;","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","91","3","95","4","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","5","5","1","0","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L27734","float getProgress()","com.facebook.datasource.AbstractDataSource.getProgress()F","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","97","3","100","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L15625","boolean close()","com.facebook.datasource.AbstractDataSource.close()Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","102","3","123","4","0","0","0","0","0","0","0","0","4","1","1","15","3","0","0","0","0","0","22","22","14","0","22","22","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L27736","void closeResult(T result)","com.facebook.datasource.AbstractDataSource.closeResult(Ljava/lang/Object;)V","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","132","3","134","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0.8","8","7","0.8","8","2","3","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16034","void subscribe(DataSubscriber<T> dataSubscriber, Executor executor)","com.facebook.datasource.AbstractDataSource.subscribe(Lcom/facebook/datasource/DataSubscriber;Ljava/util/concurrent/Executor;)V","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","136","3","157","4","0","0","0","0","0","0","0","0","6","1","1","2","6","0","0","0","0","0","18","22","11","2","18","22","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L27738","void notifyDataSubscribers()","com.facebook.datasource.AbstractDataSource.notifyDataSubscribers()V","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","159","3","165","4","0","0","0","0","0","0","0","0","2","1","1","3","3","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L27749","void notifyDataSubscriber(DataSubscriber<T> dataSubscriber, Executor executor, boolean isFailure, boolean isCancellation)","com.facebook.datasource.AbstractDataSource.notifyDataSubscriber(Lcom/facebook/datasource/DataSubscriber;Ljava/util/concurrent/Executor;ZZ)V","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","167","3","185","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","9","9","1","4","19","19","6","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L27747","boolean wasCancelled()","com.facebook.datasource.AbstractDataSource.wasCancelled()Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","187","3","189","4","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L15613","boolean setResult(T value, boolean isLast)","com.facebook.datasource.AbstractDataSource.setResult(Ljava/lang/Object;Z)Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","212","3","218","4","0","0","0","0","0","0","0","0","2","1","1","9","2","0.75","21","21","0.75","21","7","7","4","2","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15618","boolean setFailure(Throwable throwable)","com.facebook.datasource.AbstractDataSource.setFailure(Ljava/lang/Throwable;)Z","L15571","L103","D:\PR_assignment_src\fresco\fbcore\src\main\java\com\facebook\datasource\AbstractDataSource.java","237","3","243","4","0","0","0","0","0","0","0","0","2","1","1","11","2","0.708333","17","17","0.708333","17","7","7","4","1","7","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
