"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1265","<TranscodeType extends Object> GenericTransitionOptions<TranscodeType> withNoTransition()","com.bumptech.glide.GenericTransitionOptions.withNoTransition()Lcom/bumptech/glide/GenericTransitionOptions;","L1250","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GenericTransitionOptions.java","20","3","22","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1275","<TranscodeType extends Object> GenericTransitionOptions<TranscodeType> with(int viewAnimationId)","com.bumptech.glide.GenericTransitionOptions.with(I)Lcom/bumptech/glide/GenericTransitionOptions;","L1250","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GenericTransitionOptions.java","29","3","32","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.555556","5","5","0.555556","5","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1283","<TranscodeType extends Object> GenericTransitionOptions<TranscodeType> with(Animator animator)","com.bumptech.glide.GenericTransitionOptions.with(Lcom/bumptech/glide/request/transition/ViewPropertyTransition$Animator;)Lcom/bumptech/glide/GenericTransitionOptions;","L1250","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GenericTransitionOptions.java","39","3","42","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.555556","5","5","0.555556","5","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1297","<TranscodeType extends Object> GenericTransitionOptions<TranscodeType> with(TransitionFactory<? super TranscodeType> transitionFactory)","com.bumptech.glide.GenericTransitionOptions.with(Lcom/bumptech/glide/request/transition/TransitionFactory;)Lcom/bumptech/glide/GenericTransitionOptions;","L1250","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\GenericTransitionOptions.java","49","3","52","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.555556","5","5","0.555556","5","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1373","File getPhotoCacheDir(Context context)","com.bumptech.glide.Glide.getPhotoCacheDir(Landroid/content/Context;)Ljava/io/File;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","108","3","111","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.636364","7","7","0.636364","7","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1376","File getPhotoCacheDir(Context context, String cacheName)","com.bumptech.glide.Glide.getPhotoCacheDir(Landroid/content/Context;Ljava/lang/String;)Ljava/io/File;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","121","3","136","4","0","0","0","0","0","0","0","0","6","2","2","1","0","0.375","9","8","0.375","9","15","16","9","2","15","16","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1393","Glide get(Context context)","com.bumptech.glide.Glide.get(Landroid/content/Context;)Lcom/bumptech/glide/Glide;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","143","3","163","4","0","0","0","0","0","0","0","0","5","3","3","20","6","0.208333","5","5","0.208333","5","19","21","12","1","19","21","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1418","void tearDown()","com.bumptech.glide.Glide.tearDown()V","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","165","3","168","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1419","Glide(Context context, Engine engine, MemoryCache memoryCache, BitmapPool bitmapPool, ArrayPool arrayPool, ConnectivityMonitorFactory connectivityMonitorFactory, int logLevel, RequestOptions defaultRequestOptions)","com.bumptech.glide.Glide.<init>(Landroid/content/Context;Lcom/bumptech/glide/load/engine/Engine;Lcom/bumptech/glide/load/engine/cache/MemoryCache;Lcom/bumptech/glide/load/engine/bitmap_recycle/BitmapPool;Lcom/bumptech/glide/load/engine/bitmap_recycle/ArrayPool;Lcom/bumptech/glide/manager/ConnectivityMonitorFactory;ILcom/bumptech/glide/request/RequestOptions;)V","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","170","3","274","4","0","0","0","0","0","0","0","0","1","0","0","1","37","0.0693069","7","0","0.0693069","7","94","105","13","8","94","105","13","0","0","6","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","3","0","0","0","0","0"
"L1764","BitmapPool getBitmapPool()","com.bumptech.glide.Glide.getBitmapPool()Lcom/bumptech/glide/load/engine/bitmap_recycle/BitmapPool;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","295","3","297","4","0","0","0","0","0","0","0","0","1","0","0","10","0","0.863636","19","19","0.863636","19","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1766","ArrayPool getArrayPool()","com.bumptech.glide.Glide.getArrayPool()Lcom/bumptech/glide/load/engine/bitmap_recycle/ArrayPool;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","299","3","301","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1767","Context getContext()","com.bumptech.glide.Glide.getContext()Landroid/content/Context;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","306","3","308","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1771","ConnectivityMonitorFactory getConnectivityMonitorFactory()","com.bumptech.glide.Glide.getConnectivityMonitorFactory()Lcom/bumptech/glide/manager/ConnectivityMonitorFactory;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","310","3","312","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1772","GlideContext getGlideContext()","com.bumptech.glide.Glide.getGlideContext()Lcom/bumptech/glide/GlideContext;","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","314","3","316","4","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1773","void preFillBitmapPool(Builder[] bitmapAttributeBuilders)","com.bumptech.glide.Glide.preFillBitmapPool([Lcom/bumptech/glide/load/engine/prefill/PreFillType$Builder;)V","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","343","3","345","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.892857","25","25","0.892857","25","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1785","void clearMemory()","com.bumptech.glide.Glide.clearMemory()V","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","353","3","360","4","0","0","0","0","0","0","0","0","1","0","0","3","4","0.571429","8","6","0.571429","8","6","8","4","0","6","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1795","void trimMemory(int level)","com.bumptech.glide.Glide.trimMemory(I)V","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","367","3","374","4","0","0","0","0","0","0","0","0","1","0","0","2","4","0.538462","7","5","0.538462","7","6","8","4","1","6","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1804","void clearDiskCache()","com.bumptech.glide.Glide.clearDiskCache()V","L1313","L103","D:\PR_assignment_src\glide\library\src\main\java\com\bumptech\glide\Glide.java","383","3","386","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0.636364","7","7","0.636364","7","4","4","2","0","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
