"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L138","Tracker getDefaultTracker()","com.google.samples.quickstart.analytics.AnalyticsApplication.getDefaultTracker()LTracker;","L127","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\AnalyticsApplication.java","35","3","42","4","0","0","0","0","0","0","0","0","2","1","1","1","0","0.416667","5","4","0.416667","5","7","8","4","0","7","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L155","ImageFragment newInstance(int resId)","com.google.samples.quickstart.analytics.ImageFragment.newInstance(I)Lcom/google/samples/quickstart/analytics/ImageFragment;","L142","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageFragment.java","42","3","48","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.461538","6","6","0.461538","6","7","7","5","1","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L160","ImageFragment()","com.google.samples.quickstart.analytics.ImageFragment.<init>()V","L142","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageFragment.java","50","3","51","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","void onCreate(Bundle savedInstanceState)","com.google.samples.quickstart.analytics.ImageFragment.onCreate(Landroid/os/Bundle;)V","L142","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageFragment.java","53","3","59","4","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","7","7","3","1","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L189","View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)","com.google.samples.quickstart.analytics.ImageFragment.onCreateView(Landroid/view/LayoutInflater;Landroid/view/ViewGroup;Landroid/os/Bundle;)Landroid/view/View;","L142","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageFragment.java","61","3","70","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","10","4","3","9","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","ImageInfo(int image, int title)","com.google.samples.quickstart.analytics.ImageInfo.<init>(II)V","L209","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\ImageInfo.java","32","3","35","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.555556","5","5","0.555556","5","4","4","2","2","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L248","void onCreate(Bundle savedInstanceState)","com.google.samples.quickstart.analytics.MainActivity.onCreate(Landroid/os/Bundle;)V","L224","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","66","3","94","4","0","0","0","0","0","0","0","0","1","0","0","0","3","0.35","7","0","0.291667","7","13","25","9","1","17","29","10","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"L273","boolean onCreateOptionsMenu(Menu menu)","com.google.samples.quickstart.analytics.MainActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L224","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","96","3","100","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L281","boolean onOptionsItemSelected(MenuItem item)","com.google.samples.quickstart.analytics.MainActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L224","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","102","3","124","4","0","0","0","0","0","0","0","0","2","1","1","0","1","0.0952381","2","0","0.0952381","2","19","23","8","1","19","23","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L288","String getCurrentImageTitle()","com.google.samples.quickstart.analytics.MainActivity.getCurrentImageTitle()Ljava/lang/String;","L224","L103","D:\PR_assignment_src\google-services\android\analytics\app\src\main\java\com\google\samples\quickstart\analytics\MainActivity.java","130","3","134","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0.444444","4","4","0.444444","4","5","5","3","0","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
