"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1544","void saveBitmapSnapshot(Ion ion, BitmapInfo info)","com.koushikdutta.ion.BitmapCallback.saveBitmapSnapshot(Lcom/koushikdutta/ion/Ion;Lcom/koushikdutta/ion/bitmap/BitmapInfo;)V","L1541","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","22","5","41","6","0","0","0","0","0","0","0","0","5","1","1","1","0","0","0","0","0","0","20","20","13","2","20","20","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1569","void getBitmapSnapshot(Ion ion, String transformKey, ArrayList<PostProcess> postProcess)","com.koushikdutta.ion.BitmapCallback.getBitmapSnapshot(Lcom/koushikdutta/ion/Ion;Ljava/lang/String;Ljava/util/ArrayList;)V","L1541","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","43","5","84","6","0","0","0","0","0","0","0","0","2","1","1","1","2","0.125","1","0","0.0512821","2","7","8","4","3","37","42","21","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1616","BitmapCallback(Ion ion, String key, boolean put)","com.koushikdutta.ion.BitmapCallback.<init>(Lcom/koushikdutta/ion/Ion;Ljava/lang/String;Z)V","L1541","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","86","5","92","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","6","7","4","3","6","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1624","boolean put()","com.koushikdutta.ion.BitmapCallback.put()Z","L1541","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","96","5","98","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1625","void onReported()","com.koushikdutta.ion.BitmapCallback.onReported()V","L1541","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","100","5","102","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1609","void report(Exception e, BitmapInfo info)","com.koushikdutta.ion.BitmapCallback.report(Ljava/lang/Exception;Lcom/koushikdutta/ion/bitmap/BitmapInfo;)V","L1541","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapCallback.java","104","5","149","6","0","0","0","0","0","0","0","0","8","1","1","9","2","0.294118","5","0","0.142857","6","12","19","4","2","36","46","20","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L1670","Drawable fromBitmap(Resources resources, Bitmap bitmap)","com.koushikdutta.ion.BitmapDrawableFactory.fromBitmap(Landroid/content/res/Resources;Landroid/graphics/Bitmap;)Landroid/graphics/drawable/Drawable;","L1652","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapDrawableFactory.java","18","5","18","61","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1697","void recomputeDecodeKey()","com.koushikdutta.ion.BitmapFetcher.recomputeDecodeKey()V","L1673","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapFetcher.java","32","5","36","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1710","boolean fastLoad(String uri)","com.koushikdutta.ion.BitmapFetcher.fastLoad(Ljava/lang/String;)Z","L1673","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapFetcher.java","38","5","73","6","0","0","0","0","0","0","0","0","9","2","2","2","10","0.1","3","0","0.0882353","3","27","32","20","1","31","36","21","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1766","boolean shouldDeferImageView(Ion ion)","com.koushikdutta.ion.BitmapFetcher.shouldDeferImageView(Lcom/koushikdutta/ion/Ion;)Z","L1673","L103","D:\PR_assignment_src\ion\ion\src\com\koushikdutta\ion\BitmapFetcher.java","77","5","90","6","0","0","0","0","0","0","0","0","5","3","3","2","0","0","0","0","0","0","14","14","10","1","14","14","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
