"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L17396","FixtureScriptsSpecification getSpecification()","domainapp.fixture.DomainAppFixturesProvider.getSpecification()LFixtureScriptsSpecification;","L17393","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\fixture\src\main\java\domainapp\fixture\DomainAppFixturesProvider.java","30","3","37","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8","8","1","0","8","8","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17609","void init()","domainapp.webapp.SimpleApplication.init()V","L17603","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\webapp\src\main\java\domainapp\webapp\SimpleApplication.java","80","3","86","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","7","3","0","6","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17610","Session newSession(Request request, Response response)","domainapp.webapp.SimpleApplication.newSession(LRequest;LResponse;)LSession;","L17603","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\webapp\src\main\java\domainapp\webapp\SimpleApplication.java","88","3","104","4","0","0","0","0","0","0","0","0","2","1","1","0","0","0.0625","1","0","0.0625","1","15","17","8","2","15","17","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17614","WebRequest newWebRequest(HttpServletRequest servletRequest, String filterPath)","domainapp.webapp.SimpleApplication.newWebRequest(LHttpServletRequest;LString;)LWebRequest;","L17603","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\webapp\src\main\java\domainapp\webapp\SimpleApplication.java","106","3","122","4","0","0","0","0","0","0","0","0","4","2","2","0","0","0.0625","1","0","0.0625","1","15","17","8","2","15","17","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17628","Module newIsisWicketModule()","domainapp.webapp.SimpleApplication.newIsisWicketModule()LModule;","L17603","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\webapp\src\main\java\domainapp\webapp\SimpleApplication.java","124","3","145","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","9","3","0","20","22","9","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L17631","String readLines(Class<?> contextClass, String resourceName)","domainapp.webapp.SimpleApplication.readLines(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/String;","L17603","L103","D:\PR_assignment_src\java-design-patterns\naked-objects\webapp\src\main\java\domainapp\webapp\SimpleApplication.java","147","3","156","4","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","10","10","4","2","10","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","AbstractDocument(Map<String, Object> properties)","com.iluwatar.abstractdocument.AbstractDocument.<init>(Ljava/util/Map;)V","L128","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java","39","3","42","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","Void put(String key, Object value)","com.iluwatar.abstractdocument.AbstractDocument.put(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Void;","L128","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java","44","3","48","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L164","Object get(String key)","com.iluwatar.abstractdocument.AbstractDocument.get(Ljava/lang/String;)Ljava/lang/Object;","L128","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java","50","3","53","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","<T extends Object> Stream<T> children(String key, Function<Map<String, Object>, T> constructor)","com.iluwatar.abstractdocument.AbstractDocument.children(Ljava/lang/String;Ljava/util/function/Function;)Ljava/util/stream/Stream;","L128","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java","55","3","60","4","0","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0","6","6","2","2","6","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","String toString()","com.iluwatar.abstractdocument.AbstractDocument.toString()Ljava/lang/String;","L128","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\AbstractDocument.java","62","3","70","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","9","9","5","0","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","App()","com.iluwatar.abstractdocument.App.<init>()V","L233","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\App.java","54","3","80","4","0","0","0","0","0","0","0","0","1","0","0","1","4","0.125","3","3","0.125","3","21","27","19","0","21","27","19","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L275","void main(String[] args)","com.iluwatar.abstractdocument.App.main([Ljava/lang/String;)V","L233","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\App.java","87","3","89","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L285","Void put(String key, Object value)","com.iluwatar.abstractdocument.Document.put(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Void;","L133","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\Document.java","41","3","41","38","0","0","0","0","0","0","0","0","1","0","0","0","0","0.875","7","7","0.875","7","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L289","Object get(String key)","com.iluwatar.abstractdocument.Document.get(Ljava/lang/String;)Ljava/lang/Object;","L133","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\Document.java","49","3","49","26","0","0","0","0","0","0","0","0","1","0","0","3","0","0.857143","6","6","0.857143","6","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","<T extends Object> Stream<T> children(String key, Function<Map<String, Object>, T> constructor)","com.iluwatar.abstractdocument.Document.children(Ljava/lang/String;Ljava/util/function/Function;)Ljava/util/stream/Stream;","L133","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\main\java\com\iluwatar\abstractdocument\Document.java","58","3","58","84","0","0","0","0","0","0","0","0","1","0","0","1","0","0.875","7","7","0.875","7","1","1","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L362","void shouldPutAndGetValue()","com.iluwatar.abstractdocument.AbstractDocumentTest.shouldPutAndGetValue()V","L351","L103","D:\PR_assignment_src\java-design-patterns\abstract-document\src\test\java\com\iluwatar\abstractdocument\AbstractDocumentTest.java","53","3","57","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
