"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L213","BinaryClient()","redis.clients.jedis.BinaryClient.<init>()V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","51","3","53","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","BinaryClient(String host)","redis.clients.jedis.BinaryClient.<init>(Ljava/lang/String;)V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","55","3","57","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L220","BinaryClient(String host, int port)","redis.clients.jedis.BinaryClient.<init>(Ljava/lang/String;I)V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","59","3","61","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L225","BinaryClient(String host, int port, boolean ssl)","redis.clients.jedis.BinaryClient.<init>(Ljava/lang/String;IZ)V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","63","3","65","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","3","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","BinaryClient(String host, int port, boolean ssl, SSLSocketFactory sslSocketFactory, SSLParameters sslParameters, HostnameVerifier hostnameVerifier)","redis.clients.jedis.BinaryClient.<init>(Ljava/lang/String;IZLjavax/net/ssl/SSLSocketFactory;Ljavax/net/ssl/SSLParameters;Ljavax/net/ssl/HostnameVerifier;)V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","67","3","71","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","5","1","6","5","5","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L249","boolean isInMulti()","redis.clients.jedis.BinaryClient.isInMulti()Z","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","73","3","75","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","boolean isInWatch()","redis.clients.jedis.BinaryClient.isInWatch()Z","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","77","3","79","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","byte[][] joinParameters(byte[] first, byte[][] rest)","redis.clients.jedis.BinaryClient.joinParameters([B[[B)[[B","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","81","3","86","4","0","0","0","0","0","0","0","0","1","0","0","12","0","0","0","0","0","0","6","6","4","2","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L259","void setPassword(String password)","redis.clients.jedis.BinaryClient.setPassword(Ljava/lang/String;)V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","88","3","90","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L265","void setDb(int db)","redis.clients.jedis.BinaryClient.setDb(I)V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","92","3","94","4","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L268","void connect()","redis.clients.jedis.BinaryClient.connect()V","L169","L103","D:\PR_assignment_src\jedis\src\main\java\redis\clients\jedis\BinaryClient.java","96","3","109","4","0","0","0","0","0","0","0","0","4","2","2","1","5","0","0","0","0","0","14","14","8","0","14","14","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
