"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L220","AnalysisResult noLeak(long analysisDurationMs)","com.squareup.leakcanary.AnalysisResult.noLeak(J)Lcom/squareup/leakcanary/AnalysisResult;","L216","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\AnalysisResult.java","22","3","24","4","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L229","AnalysisResult leakDetected(boolean excludedLeak, String className, LeakTrace leakTrace, long retainedHeapSize, long analysisDurationMs)","com.squareup.leakcanary.AnalysisResult.leakDetected(ZLjava/lang/String;Lcom/squareup/leakcanary/LeakTrace;JJ)Lcom/squareup/leakcanary/AnalysisResult;","L216","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\AnalysisResult.java","26","3","30","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","5","1","5","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L244","AnalysisResult failure(Throwable failure, long analysisDurationMs)","com.squareup.leakcanary.AnalysisResult.failure(Ljava/lang/Throwable;J)Lcom/squareup/leakcanary/AnalysisResult;","L216","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\AnalysisResult.java","32","3","34","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","AnalysisResult(boolean leakFound, boolean excludedLeak, String className, LeakTrace leakTrace, Throwable failure, long retainedHeapSize, long analysisDurationMs)","com.squareup.leakcanary.AnalysisResult.<init>(ZZLjava/lang/String;Lcom/squareup/leakcanary/LeakTrace;Ljava/lang/Throwable;JJ)V","L216","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\AnalysisResult.java","69","3","78","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","10","10","7","7","10","10","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L320","String fieldToString(Entry<Field, Object> entry)","com.squareup.leakcanary.HahaHelper.fieldToString(Ljava/util/Map$Entry;)Ljava/lang/String;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","40","3","42","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L337","String fieldToString(FieldValue fieldValue)","com.squareup.leakcanary.HahaHelper.fieldToString(LClassInstance.FieldValue;)LString;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","44","3","46","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L331","String fieldToString(Field field, Object value)","com.squareup.leakcanary.HahaHelper.fieldToString(LField;LObject;)LString;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","48","3","50","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L341","String threadName(Instance holder)","com.squareup.leakcanary.HahaHelper.threadName(LInstance;)LString;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","52","3","61","4","0","0","0","0","0","0","0","0","2","1","1","2","3","0.2","2","0","0.2","2","8","10","5","1","8","10","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L355","boolean extendsThread(ClassObj clazz)","com.squareup.leakcanary.HahaHelper.extendsThread(LClassObj;)Z","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","63","3","74","4","0","0","0","0","0","0","0","0","3","2","2","1","0","0","0","0","0","0","12","12","8","1","12","12","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L353","String asString(Object stringObject)","com.squareup.leakcanary.HahaHelper.asString(Ljava/lang/Object;)Ljava/lang/String;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","76","3","122","4","0","0","0","0","0","0","0","0","5","2","2","7","5","0.255814","11","0","0.255814","11","32","47","24","1","32","47","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L379","boolean isPrimitiveWrapper(Object value)","com.squareup.leakcanary.HahaHelper.isPrimitiveWrapper(Ljava/lang/Object;)Z","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","124","3","129","4","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L384","boolean isPrimitiveOrWrapperArray(Object value)","com.squareup.leakcanary.HahaHelper.isPrimitiveOrWrapperArray(Ljava/lang/Object;)Z","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","131","3","140","4","0","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","0","10","10","6","1","10","10","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L361","boolean isCharArray(Object value)","com.squareup.leakcanary.HahaHelper.isCharArray(Ljava/lang/Object;)Z","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","142","3","144","4","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L349","List<FieldValue> classInstanceValues(Instance instance)","com.squareup.leakcanary.HahaHelper.classInstanceValues(LInstance;)LList;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","146","3","149","4","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L351","<T extends Object> T fieldValue(List<FieldValue> values, String fieldName)","com.squareup.leakcanary.HahaHelper.fieldValue(Ljava/util/List;Ljava/lang/String;)Ljava/lang/Object;","L278","L103","D:\PR_assignment_src\leakcanary\leakcanary-analyzer\src\main\java\com\squareup\leakcanary\HahaHelper.java","151","3","159","4","0","0","0","0","0","0","0","0","3","2","2","5","0","0.111111","1","0","0.111111","1","8","9","4","2","8","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
