"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L142","void d(String tag, String message)","com.orhanobut.logger.AndroidLogAdapter.d(Ljava/lang/String;Ljava/lang/String;)V","L132","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\AndroidLogAdapter.java","6","3","8","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","void e(String tag, String message)","com.orhanobut.logger.AndroidLogAdapter.e(Ljava/lang/String;Ljava/lang/String;)V","L132","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\AndroidLogAdapter.java","10","3","12","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L161","void w(String tag, String message)","com.orhanobut.logger.AndroidLogAdapter.w(Ljava/lang/String;Ljava/lang/String;)V","L132","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\AndroidLogAdapter.java","14","3","16","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","void i(String tag, String message)","com.orhanobut.logger.AndroidLogAdapter.i(Ljava/lang/String;Ljava/lang/String;)V","L132","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\AndroidLogAdapter.java","18","3","20","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L171","void v(String tag, String message)","com.orhanobut.logger.AndroidLogAdapter.v(Ljava/lang/String;Ljava/lang/String;)V","L132","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\AndroidLogAdapter.java","22","3","24","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","void wtf(String tag, String message)","com.orhanobut.logger.AndroidLogAdapter.wtf(Ljava/lang/String;Ljava/lang/String;)V","L132","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\AndroidLogAdapter.java","26","3","28","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L183","Helper()","com.orhanobut.logger.Helper.<init>()V","L181","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\Helper.java","31","3","33","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.333333","1","0","0.333333","1","2","3","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","boolean isEmpty(CharSequence str)","com.orhanobut.logger.Helper.isEmpty(Ljava/lang/CharSequence;)Z","L181","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\Helper.java","42","3","44","4","0","0","0","0","0","0","0","0","2","0","0","5","0","0.7","7","7","0.7","7","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L195","boolean equals(CharSequence a, CharSequence b)","com.orhanobut.logger.Helper.equals(Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Z","L181","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\Helper.java","59","3","75","4","0","0","0","0","0","0","0","0","9","5","5","2","0","0.433333","13","13","0.433333","13","17","17","14","2","17","17","14","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","String getStackTraceString(Throwable tr)","com.orhanobut.logger.Helper.getStackTraceString(Ljava/lang/Throwable;)Ljava/lang/String;","L181","L103","D:\PR_assignment_src\logger\logger\src\main\java\com\orhanobut\logger\Helper.java","83","3","103","4","0","0","0","0","0","0","0","0","4","2","2","7","0","0.32","8","6","0.32","8","17","21","12","1","17","21","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
