"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5566","ApplicationTest()","com.rey.material.ApplicationTest.<init>()V","L5560","L103","D:\PR_assignment_src\material\material\src\androidTest\java\com\rey\material\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L14566","void addition_isCorrect()","com.rey.material.ExampleUnitTest.addition_isCorrect()V","L14563","L103","D:\PR_assignment_src\material\material\src\test\java\com\rey\material\ExampleUnitTest.java","11","5","14","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L215","ContactEditText(Context context)","com.rey.material.app.ContactEditText.<init>(Landroid/content/Context;)V","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","81","5","83","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L222","ContactEditText(Context context, AttributeSet attrs)","com.rey.material.app.ContactEditText.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","85","5","87","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L230","ContactEditText(Context context, AttributeSet attrs, int defStyleAttr)","com.rey.material.app.ContactEditText.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","89","5","91","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","3","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","void init(Context context, AttributeSet attrs, int defStyleAttr, int defStyleRes)","com.rey.material.app.ContactEditText.init(Landroid/content/Context;Landroid/util/AttributeSet;II)V","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","93","5","110","6","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","16","18","13","4","16","18","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L272","void applyStyle(Context context, AttributeSet attrs, int defStyleAttr, int defStyleRes)","com.rey.material.app.ContactEditText.applyStyle(Landroid/content/Context;Landroid/util/AttributeSet;II)V","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","112","5","172","6","0","0","0","0","0","0","0","0","16","11","2","0","8","0","0","0","0","0","50","61","45","4","50","61","45","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L327","Recipient[] getRecipients()","com.rey.material.app.ContactEditText.getRecipients()[Lcom/rey/material/app/Recipient;","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","174","5","185","6","0","0","0","0","0","0","0","0","4","1","1","2","2","0","0","0","0","0","9","12","9","0","9","12","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L339","void setRecipients(Recipient[] recipients)","com.rey.material.app.ContactEditText.setRecipients([Lcom/rey/material/app/Recipient;)V","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","187","5","209","6","0","0","0","0","0","0","0","0","3","1","1","2","4","0","0","0","0","0","19","23","14","1","19","23","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L370","boolean dispatchTouchEvent(MotionEvent event)","com.rey.material.app.ContactEditText.dispatchTouchEvent(Landroid/view/MotionEvent;)Z","L153","L103","D:\PR_assignment_src\material\app\src\main\java\com\rey\material\app\ContactEditText.java","211","5","241","6","0","0","0","0","0","0","0","0","10","3","3","0","2","0","0","0","0","0","31","31","20","1","31","31","20","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
