"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2150","DefaultRvAdapter(MaterialDialog dialog, int layout)","com.afollestad.materialdialogs.DefaultRvAdapter.<init>(Lcom/afollestad/materialdialogs/MaterialDialog;I)V","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","38","5","42","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","5","5","3","2","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2160","void setCallback(InternalListCallback callback)","com.afollestad.materialdialogs.DefaultRvAdapter.setCallback(Lcom/afollestad/materialdialogs/DefaultRvAdapter$InternalListCallback;)V","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","44","5","46","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2163","DefaultVH onCreateViewHolder(ViewGroup parent, int viewType)","com.afollestad.materialdialogs.DefaultRvAdapter.onCreateViewHolder(Landroid/view/ViewGroup;I)Lcom/afollestad/materialdialogs/DefaultRvAdapter$DefaultVH;","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","48","5","54","6","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","7","7","3","2","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2175","void onBindViewHolder(DefaultVH holder, int index)","com.afollestad.materialdialogs.DefaultRvAdapter.onBindViewHolder(Lcom/afollestad/materialdialogs/DefaultRvAdapter$DefaultVH;I)V","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","56","5","103","6","0","0","0","0","0","0","0","0","9","4","3","0","5","0.0227273","1","0","0.0227273","1","43","48","30","2","43","48","30","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2233","int getItemCount()","com.afollestad.materialdialogs.DefaultRvAdapter.getItemCount()I","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","105","5","108","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2220","void setupGravity(ViewGroup view)","com.afollestad.materialdialogs.DefaultRvAdapter.setupGravity(Landroid/view/ViewGroup;)V","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","110","5","141","6","0.62439","1","2","2","0.71875","0.703704","23","19","8","3","2","1","2","0","0","0","0","0","27","32","20","1","27","32","20","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2247","boolean isRTL()","com.afollestad.materialdialogs.DefaultRvAdapter.isRTL()Z","L2132","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DefaultRvAdapter.java","143","5","149","6","0","0","0","0","0","0","0","0","2","1","1","1","2","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2306","DialogBase(Context context, int theme)","com.afollestad.materialdialogs.DialogBase.<init>(Landroid/content/Context;I)V","L2299","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","19","5","21","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2311","View findViewById(int id)","com.afollestad.materialdialogs.DialogBase.findViewById(I)Landroid/view/View;","L2299","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","23","5","26","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2314","void setOnShowListener(OnShowListener listener)","com.afollestad.materialdialogs.DialogBase.setOnShowListener(Landroid/content/DialogInterface$OnShowListener;)V","L2299","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","28","5","31","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2317","void setOnShowListenerInternal()","com.afollestad.materialdialogs.DialogBase.setOnShowListenerInternal()V","L2299","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","33","5","35","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2320","void setViewInternal(View view)","com.afollestad.materialdialogs.DialogBase.setViewInternal(Landroid/view/View;)V","L2299","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","37","5","39","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2324","void onShow(DialogInterface dialog)","com.afollestad.materialdialogs.DialogBase.onShow(Landroid/content/DialogInterface;)V","L2299","L103","D:\PR_assignment_src\material-dialogs\core\src\main\java\com\afollestad\materialdialogs\DialogBase.java","41","5","45","6","0","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
