"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L443","CachedGauge(long timeout, TimeUnit timeoutUnit)","com.codahale.metrics.CachedGauge.<init>(JLjava/util/concurrent/TimeUnit;)V","L424","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CachedGauge.java","24","5","26","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0.666667","6","6","0.666667","6","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L447","CachedGauge(Clock clock, long timeout, TimeUnit timeoutUnit)","com.codahale.metrics.CachedGauge.<init>(Lcom/codahale/metrics/Clock;JLjava/util/concurrent/TimeUnit;)V","L424","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CachedGauge.java","35","5","39","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.583333","7","7","0.583333","7","5","5","3","3","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L462","T loadValue()","com.codahale.metrics.CachedGauge.loadValue()Ljava/lang/Object;","L424","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CachedGauge.java","46","5","46","38","0","0","0","0","0","0","0","0","1","0","0","1","0","0.833333","5","5","0.833333","5","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L464","T getValue()","com.codahale.metrics.CachedGauge.getValue()Ljava/lang/Object;","L424","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CachedGauge.java","48","5","54","6","0","0","0","0","0","0","0","0","2","1","1","1","2","0","0","0","0","0","7","7","3","0","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L468","boolean shouldLoad()","com.codahale.metrics.CachedGauge.shouldLoad()Z","L424","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\CachedGauge.java","56","5","67","6","0","0","0","0","0","0","0","0","4","2","2","1","1","0","0","0","0","0","12","12","7","0","12","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L472","long getTick()","com.codahale.metrics.Clock.getTick()J","L434","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\Clock.java","15","5","15","36","0","0","0","0","0","0","0","0","1","0","0","16","0","0.833333","5","5","0.833333","5","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L483","long getTime()","com.codahale.metrics.Clock.getTime()J","L434","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\Clock.java","22","5","24","6","0","0","0","0","0","0","0","0","1","0","0","14","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L449","Clock defaultClock()","com.codahale.metrics.Clock.defaultClock()Lcom/codahale/metrics/Clock;","L434","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\Clock.java","35","5","37","6","0","0","0","0","0","0","0","0","1","0","0","9","0","0.7","7","7","0.7","7","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L517","Builder forRegistry(MetricRegistry registry)","com.codahale.metrics.ConsoleReporter.forRegistry(Lcom/codahale/metrics/MetricRegistry;)Lcom/codahale/metrics/ConsoleReporter$Builder;","L512","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ConsoleReporter.java","18","5","20","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L591","ConsoleReporter(MetricRegistry registry, PrintStream output, Locale locale, Clock clock, TimeZone timeZone, TimeUnit rateUnit, TimeUnit durationUnit, MetricFilter filter)","com.codahale.metrics.ConsoleReporter.<init>(Lcom/codahale/metrics/MetricRegistry;Ljava/io/PrintStream;Ljava/util/Locale;Lcom/codahale/metrics/Clock;Ljava/util/TimeZone;Ljava/util/concurrent/TimeUnit;Ljava/util/concurrent/TimeUnit;Lcom/codahale/metrics/MetricFilter;)V","L512","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ConsoleReporter.java","149","5","165","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","17","17","6","8","17","17","6","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L626","void report(SortedMap<String, Gauge> gauges, SortedMap<String, Counter> counters, SortedMap<String, Histogram> histograms, SortedMap<String, Meter> meters, SortedMap<String, Timer> timers)","com.codahale.metrics.ConsoleReporter.report(Ljava/util/SortedMap;Ljava/util/SortedMap;Ljava/util/SortedMap;Ljava/util/SortedMap;Ljava/util/SortedMap;)V","L512","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ConsoleReporter.java","167","5","224","6","0","0","0","0","0","0","0","0","11","2","2","5","7","0","0","0","0","0","52","58","35","5","52","58","35","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L699","void printMeter(Meter meter)","com.codahale.metrics.ConsoleReporter.printMeter(Lcom/codahale/metrics/Meter;)V","L512","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ConsoleReporter.java","226","5","232","6","0","0","0","0","0","0","0","0","1","0","0","1","7","0","0","0","0","0","7","7","5","1","7","7","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L687","void printCounter(Entry<String, Counter> entry)","com.codahale.metrics.ConsoleReporter.printCounter(Ljava/util/Map$Entry;)V","L512","L103","D:\PR_assignment_src\metrics\metrics-core\src\main\java\com\codahale\metrics\ConsoleReporter.java","234","5","236","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
