"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5137","UnpooledDataSource createUnpooledDataSource(String resource)","org.apache.ibatis.BaseDataTest.createUnpooledDataSource(Ljava/lang/String;)Lorg/apache/ibatis/datasource/unpooled/UnpooledDataSource;","L3402","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","40","3","48","4","0","0","0","0","0","0","0","0","1","0","0","19","6","0","0","0","0","0","9","9","7","1","9","9","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L10339","PooledDataSource createPooledDataSource(String resource)","org.apache.ibatis.BaseDataTest.createPooledDataSource(Ljava/lang/String;)Lorg/apache/ibatis/datasource/pooled/PooledDataSource;","L3402","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","50","3","58","4","0","0","0","0","0","0","0","0","1","0","0","4","6","0","0","0","0","0","9","9","7","1","9","9","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1057","void runScript(DataSource ds, String resource)","org.apache.ibatis.BaseDataTest.runScript(Ljavax/sql/DataSource;Ljava/lang/String;)V","L3402","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","60","3","72","4","0","0","0","0","0","0","0","0","1","1","1","11","6","0","0","0","0","0","13","13","9","2","13","13","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L10419","void runScript(ScriptRunner runner, String resource)","org.apache.ibatis.BaseDataTest.runScript(Lorg/apache/ibatis/jdbc/ScriptRunner;Ljava/lang/String;)V","L3402","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","74","3","81","4","0","0","0","0","0","0","0","0","1","1","1","2","2","0","0","0","0","0","8","8","4","2","8","8","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1055","DataSource createBlogDataSource()","org.apache.ibatis.BaseDataTest.createBlogDataSource()Ljavax/sql/DataSource;","L3402","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","83","3","88","4","0","0","0","0","0","0","0","0","1","0","0","10","2","0","0","0","0","0","6","6","4","0","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18190","DataSource createJPetstoreDataSource()","org.apache.ibatis.BaseDataTest.createJPetstoreDataSource()Ljavax/sql/DataSource;","L3402","L103","D:\PR_assignment_src\mybatis-3\src\test\java\org\apache\ibatis\BaseDataTest.java","90","3","95","4","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","6","6","4","0","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L170","boolean id()","org.apache.ibatis.annotations.Arg.id()Z","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","34","3","34","30","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","String column()","org.apache.ibatis.annotations.Arg.column()Ljava/lang/String;","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","36","3","36","30","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","Class<?> javaType()","org.apache.ibatis.annotations.Arg.javaType()Ljava/lang/Class;","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","38","3","38","42","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L191","JdbcType jdbcType()","org.apache.ibatis.annotations.Arg.jdbcType()Lorg/apache/ibatis/type/JdbcType;","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","40","3","40","50","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L197","Class<? extends TypeHandler> typeHandler()","org.apache.ibatis.annotations.Arg.typeHandler()Ljava/lang/Class;","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","42","3","42","79","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","String select()","org.apache.ibatis.annotations.Arg.select()Ljava/lang/String;","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","44","3","44","30","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L208","String resultMap()","org.apache.ibatis.annotations.Arg.resultMap()Ljava/lang/String;","L154","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\Arg.java","46","3","46","33","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L213","Class<? extends Cache> implementation()","org.apache.ibatis.annotations.CacheNamespace.implementation()Ljava/lang/Class;","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","35","3","35","96","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","Class<? extends Cache> eviction()","org.apache.ibatis.annotations.CacheNamespace.eviction()Ljava/lang/Class;","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","37","3","37","84","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","long flushInterval()","org.apache.ibatis.annotations.CacheNamespace.flushInterval()J","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","39","3","39","34","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","int size()","org.apache.ibatis.annotations.CacheNamespace.size()I","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","41","3","41","27","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L235","boolean readWrite()","org.apache.ibatis.annotations.CacheNamespace.readWrite()Z","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","43","3","43","36","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","boolean blocking()","org.apache.ibatis.annotations.CacheNamespace.blocking()Z","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","45","3","45","36","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L237","Property[] properties()","org.apache.ibatis.annotations.CacheNamespace.properties()[Lorg/apache/ibatis/annotations/Property;","L209","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespace.java","51","3","51","38","0","0","0","0","0","0","0","0","1","0","0","1","0","0.8","4","4","0.8","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L246","Class<?> value()","org.apache.ibatis.annotations.CacheNamespaceRef.value()Ljava/lang/Class;","L244","L103","D:\PR_assignment_src\mybatis-3\src\main\java\org\apache\ibatis\annotations\CacheNamespaceRef.java","39","3","39","39","0","0","0","0","0","0","0","0","1","0","0","1","0","0.75","3","3","0.75","3","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
