"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L12174","AndroidInternal()","okhttp3.AndroidInternal.<init>()V","L12172","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidInternal.java","28","3","29","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5687","void setResponseCache(OkUrlFactory okUrlFactory, ResponseCache responseCache)","okhttp3.AndroidInternal.setResponseCache(Lokhttp3/OkUrlFactory;Ljava/net/ResponseCache;)V","L12172","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidInternal.java","32","3","44","4","0","0","0","0","0","0","0","0","3","1","1","3","8","0.285714","4","1","0.285714","4","10","13","6","2","10","13","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12188","AndroidShimResponseCache(Cache delegate)","okhttp3.AndroidShimResponseCache.<init>(Lokhttp3/Cache;)V","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","37","3","39","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L5683","AndroidShimResponseCache create(File directory, long maxSize)","okhttp3.AndroidShimResponseCache.create(Ljava/io/File;J)Lokhttp3/AndroidShimResponseCache;","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","41","3","44","4","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12196","boolean isEquivalent(File directory, long maxSize)","okhttp3.AndroidShimResponseCache.isEquivalent(Ljava/io/File;J)Z","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","46","3","51","4","0","0","0","0","0","0","0","0","3","0","0","1","4","0","0","0","0","0","6","6","2","2","6","6","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12199","Cache getCache()","okhttp3.AndroidShimResponseCache.getCache()Lokhttp3/Cache;","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","53","3","55","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12209","CacheResponse get(URI uri, String requestMethod, Map<String, List<String>> requestHeaders)","okhttp3.AndroidShimResponseCache.get(Ljava/net/URI;Ljava/lang/String;Ljava/util/Map;)Ljava/net/CacheResponse;","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","57","3","65","4","0","0","0","0","0","0","0","0","2","1","1","1","3","0","0","0","0","0","9","9","5","3","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12215","CacheRequest put(URI uri, URLConnection urlConnection)","okhttp3.AndroidShimResponseCache.put(Ljava/net/URI;Ljava/net/URLConnection;)Ljava/net/CacheRequest;","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","67","3","79","4","0","0","0","0","0","0","0","0","3","1","1","1","3","0.0769231","1","0","0.0769231","1","12","13","7","2","12","13","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12220","long size()","okhttp3.AndroidShimResponseCache.size()J","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","85","3","87","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.571429","4","4","0.571429","4","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12224","long maxSize()","okhttp3.AndroidShimResponseCache.maxSize()J","L12185","L103","D:\PR_assignment_src\okhttp\okhttp-android-support\src\main\java\okhttp3\AndroidShimResponseCache.java","92","3","94","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.5","3","3","0.5","3","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
