"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1687","ApplicationTest()","com.zhy.sample_okhttp.ApplicationTest.<init>()V","L1685","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\androidTest\java\com\zhy\sample_okhttp\ApplicationTest.java","11","5","14","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1691","FlowLayout(Context context, AttributeSet attrs, int defStyle)","com.zhy.sample_okhttp.FlowLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L1690","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","14","2","18","3","0","0","0","0","0","0","0","0","1","0","0","1","0","0.2","1","0","0.2","1","4","5","1","3","4","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1700","FlowLayout(Context context, AttributeSet attrs)","com.zhy.sample_okhttp.FlowLayout.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L1690","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","20","2","23","3","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1704","FlowLayout(Context context)","com.zhy.sample_okhttp.FlowLayout.<init>(Landroid/content/Context;)V","L1690","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","25","2","28","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1707","void onMeasure(int widthMeasureSpec, int heightMeasureSpec)","com.zhy.sample_okhttp.FlowLayout.onMeasure(II)V","L1690","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","30","2","81","3","0","0","0","0","0","0","0","0","6","2","2","0","0","0.0434783","2","0","0.0434783","2","44","52","28","2","44","52","28","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1767","void onLayout(boolean changed, int l, int t, int r, int b)","com.zhy.sample_okhttp.FlowLayout.onLayout(ZIIII)V","L1690","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","86","2","164","3","0","0","0","0","0","0","0","0","6","3","3","0","0","0","0","0","0","0","60","79","48","5","60","79","48","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1786","LayoutParams generateLayoutParams(AttributeSet attrs)","com.zhy.sample_okhttp.FlowLayout.generateLayoutParams(Landroid/util/AttributeSet;)Landroid/view/ViewGroup$LayoutParams;","L1690","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\FlowLayout.java","166","2","170","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","1","1","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1794","<T extends Object> T transform(String response, Class<T> classOfT)","com.zhy.sample_okhttp.JsonGenericsSerializator.transform(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;","L1790","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\JsonGenericsSerializator.java","11","5","14","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1813","List<User> parseNetworkResponse(Response response, int id)","com.zhy.sample_okhttp.ListUserCallback.parseNetworkResponse(LResponse;I)LList;","L1801","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\ListUserCallback.java","17","5","23","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","7","3","2","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1861","void onCreate(Bundle savedInstanceState)","com.zhy.sample_okhttp.MainActivity.onCreate(Landroid/os/Bundle;)V","L1816","L103","D:\PR_assignment_src\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MainActivity.java","91","5","104","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10","14","6","1","10","14","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
