"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L488","void loadAnnotatedProducerMethods(Class<?> listenerClass, Map<Class<?>, Method> producerMethods)","com.squareup.otto.AnnotatedHandlerFinder.loadAnnotatedProducerMethods(Ljava/lang/Class;Ljava/util/Map;)V","L440","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","46","3","50","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L501","void loadAnnotatedSubscriberMethods(Class<?> listenerClass, Map<Class<?>, Set<Method>> subscriberMethods)","com.squareup.otto.AnnotatedHandlerFinder.loadAnnotatedSubscriberMethods(Ljava/lang/Class;Ljava/util/Map;)V","L440","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","52","3","56","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","5","2","2","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L499","void loadAnnotatedMethods(Class<?> listenerClass, Map<Class<?>, Method> producerMethods, Map<Class<?>, Set<Method>> subscriberMethods)","com.squareup.otto.AnnotatedHandlerFinder.loadAnnotatedMethods(Ljava/lang/Class;Ljava/util/Map;Ljava/util/Map;)V","L440","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","62","3","130","4","0","0","0","0","0","0","0","0","15","4","3","2","0","0.121212","8","4","0.121212","8","58","69","35","3","58","69","35","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L555","Map<Class<?>, EventProducer> findAllProducers(Object listener)","com.squareup.otto.AnnotatedHandlerFinder.findAllProducers(Ljava/lang/Object;)Ljava/util/Map;","L440","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","133","3","150","4","0","0","0","0","0","0","0","0","4","2","2","1","2","0.0588235","1","1","0.0588235","1","16","18","11","1","16","18","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L586","Map<Class<?>, Set<EventHandler>> findAllSubscribers(Object listener)","com.squareup.otto.AnnotatedHandlerFinder.findAllSubscribers(Ljava/lang/Object;)Ljava/util/Map;","L440","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","153","3","173","4","0","0","0","0","0","0","0","0","5","3","3","1","2","0.05","1","1","0.05","1","19","21","13","1","19","21","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L610","AnnotatedHandlerFinder()","com.squareup.otto.AnnotatedHandlerFinder.<init>()V","L440","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\AnnotatedHandlerFinder.java","175","3","177","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.333333","1","0","0.333333","1","2","3","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L676","Bus()","com.squareup.otto.Bus.<init>()V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","123","3","125","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.25","1","1","0.25","1","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L678","Bus(String identifier)","com.squareup.otto.Bus.<init>(Ljava/lang/String;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","132","3","134","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L687","Bus(ThreadEnforcer enforcer)","com.squareup.otto.Bus.<init>(Lcom/squareup/otto/ThreadEnforcer;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","141","3","143","4","0","0","0","0","0","0","0","0","1","0","0","11","1","0.625","5","5","0.625","5","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L683","Bus(ThreadEnforcer enforcer, String identifier)","com.squareup.otto.Bus.<init>(Lcom/squareup/otto/ThreadEnforcer;Ljava/lang/String;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","151","3","153","4","0","0","0","0","0","0","0","0","1","0","0","3","1","0.666667","6","6","0.666667","6","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L693","Bus(ThreadEnforcer enforcer, String identifier, HandlerFinder handlerFinder)","com.squareup.otto.Bus.<init>(Lcom/squareup/otto/ThreadEnforcer;Ljava/lang/String;Lcom/squareup/otto/HandlerFinder;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","162","3","166","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0.583333","7","7","0.583333","7","5","5","3","3","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L704","String toString()","com.squareup.otto.Bus.toString()Ljava/lang/String;","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","168","3","170","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L245","void register(Object object)","com.squareup.otto.Bus.register(Ljava/lang/Object;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","184","3","241","4","0","0","0","0","0","0","0","0","17","4","4","34","6","0.212121","14","12","0.212121","14","52","58","34","1","52","58","34","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L724","void dispatchProducerResultToHandler(EventHandler handler, EventProducer producer)","com.squareup.otto.Bus.dispatchProducerResultToHandler(Lcom/squareup/otto/EventHandler;Lcom/squareup/otto/EventProducer;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","243","3","254","4","0","0","0","0","0","0","0","0","3","1","1","1","3","0","0","0","0","0","12","12","7","2","12","12","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L250","void unregister(Object object)","com.squareup.otto.Bus.unregister(Ljava/lang/Object;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","263","3","301","4","0","0","0","0","0","0","0","0","10","3","3","10","8","0.170732","7","7","0.170732","7","34","39","21","1","34","39","21","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L221","void post(Object event)","com.squareup.otto.Bus.post(Ljava/lang/Object;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","313","3","338","4","0","0","0","0","0","0","0","0","8","3","3","23","6","0.322581","10","10","0.322581","10","21","26","14","1","21","26","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L797","void enqueueEvent(Object event, EventHandler handler)","com.squareup.otto.Bus.enqueueEvent(Ljava/lang/Object;Lcom/squareup/otto/EventHandler;)V","L163","L103","D:\PR_assignment_src\otto\otto\src\main\java\com\squareup\otto\Bus.java","344","3","346","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.571429","4","4","0.571429","4","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
