"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L17464","boolean isDigit(char ch)","third_parties.daveKoeller.AlphanumComparator.isDigit(C)Z","L2601","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\daveKoeller\AlphanumComparator.java","46","5","49","6","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17466","String getChunk(String s, int slength, int marker)","third_parties.daveKoeller.AlphanumComparator.getChunk(Ljava/lang/String;II)Ljava/lang/String;","L2601","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\daveKoeller\AlphanumComparator.java","52","5","77","6","0","0","0","0","0","0","0","0","6","3","3","1","1","0.037037","1","1","0.037037","1","26","26","18","3","26","26","18","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2599","int compare(OCFile o1, OCFile o2)","third_parties.daveKoeller.AlphanumComparator.compare(Lcom/owncloud/android/datamodel/OCFile;Lcom/owncloud/android/datamodel/OCFile;)I","L2601","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\daveKoeller\AlphanumComparator.java","79","5","121","6","0","0","0","0","0","0","0","0","9","5","5","2","3","0.0810811","3","0","0.0810811","3","34","43","28","2","34","43","28","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17888","TouchImageViewCustom(Context context)","third_parties.michaelOrtiz.TouchImageViewCustom.<init>(Landroid/content/Context;)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","102","5","105","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17893","TouchImageViewCustom(Context context, AttributeSet attrs)","third_parties.michaelOrtiz.TouchImageViewCustom.<init>(Landroid/content/Context;Landroid/util/AttributeSet;)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","107","5","110","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17897","TouchImageViewCustom(Context context, AttributeSet attrs, int defStyle)","third_parties.michaelOrtiz.TouchImageViewCustom.<init>(Landroid/content/Context;Landroid/util/AttributeSet;I)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","112","5","115","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17891","void sharedConstructing(Context context)","third_parties.michaelOrtiz.TouchImageViewCustom.sharedConstructing(Landroid/content/Context;)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","117","5","138","6","0","0","0","0","0","0","0","0","2","1","1","3","2","0","0","0","0","0","22","22","19","1","22","22","19","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17948","void setOnTouchListener(OnTouchListener l)","third_parties.michaelOrtiz.TouchImageViewCustom.setOnTouchListener(Landroid/view/View$OnTouchListener;)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","140","5","143","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17951","void setOnTouchImageViewListener(OnTouchImageViewListener l)","third_parties.michaelOrtiz.TouchImageViewCustom.setOnTouchImageViewListener(Lthird_parties/michaelOrtiz/TouchImageViewCustom$OnTouchImageViewListener;)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","145","5","147","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L17954","void setOnDoubleTapListener(OnDoubleTapListener l)","third_parties.michaelOrtiz.TouchImageViewCustom.setOnDoubleTapListener(Landroid/view/GestureDetector$OnDoubleTapListener;)V","L16030","L103","D:\PR_assignment_src\owncloud_android\android\src\third_parties\michaelOrtiz\TouchImageViewCustom.java","149","5","151","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
