"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5216","AccessToken(String token, Date expires, List<String> permissions, List<String> declinedPermissions, AccessTokenSource source, Date lastRefresh)","com.facebook.AccessToken.<init>(Ljava/lang/String;Ljava/util/Date;Ljava/util/List;Ljava/util/List;Lcom/facebook/AccessTokenSource;Ljava/util/Date;)V","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","60","5","74","6","0","0","0","0","0","0","0","0","3","1","1","10","0","0","0","0","0","0","14","15","10","6","14","15","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L5231","String getToken()","com.facebook.AccessToken.getToken()Ljava/lang/String;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","81","5","83","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5233","Date getExpires()","com.facebook.AccessToken.getExpires()Ljava/util/Date;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","90","5","92","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5235","List<String> getPermissions()","com.facebook.AccessToken.getPermissions()Ljava/util/List;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","102","5","104","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0.727273","8","8","0.727273","8","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5237","List<String> getDeclinedPermissions()","com.facebook.AccessToken.getDeclinedPermissions()Ljava/util/List;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","114","5","116","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0.727273","8","8","0.727273","8","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5239","AccessTokenSource getSource()","com.facebook.AccessToken.getSource()Lcom/facebook/AccessTokenSource;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","123","5","125","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5241","Date getLastRefresh()","com.facebook.AccessToken.getLastRefresh()Ljava/util/Date;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","133","5","135","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0.666667","6","6","0.666667","6","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5243","AccessToken createFromExistingAccessToken(String accessToken, Date expirationTime, Date lastRefreshTime, AccessTokenSource accessTokenSource, List<String> permissions)","com.facebook.AccessToken.createFromExistingAccessToken(Ljava/lang/String;Ljava/util/Date;Ljava/util/Date;Lcom/facebook/AccessTokenSource;Ljava/util/List;)Lcom/facebook/AccessToken;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","154","5","167","6","0","0","0","0","0","0","0","0","4","1","1","0","1","0.566667","17","17","0.566667","17","13","14","7","5","13","14","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5256","AccessToken createFromNativeLinkingIntent(Intent intent)","com.facebook.AccessToken.createFromNativeLinkingIntent(Landroid/content/Intent;)Lcom/facebook/AccessToken;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","177","5","185","6","0","0","0","0","0","0","0","0","2","1","1","0","2","0.533333","8","8","0.533333","8","7","9","4","1","7","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5270","String toString()","com.facebook.AccessToken.toString()Ljava/lang/String;","L5187","L103","D:\PR_assignment_src\phonegap-facebook-plugin\platforms\android\FacebookLib\src\com\facebook\AccessToken.java","187","5","197","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","9","11","6","0","9","11","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
