"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L171","ApplicationTest()","org.physical_web.physicalweb.ApplicationTest.<init>()V","L162","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L210","BeaconDisplayListTest()","org.physical_web.physicalweb.BeaconDisplayListTest.<init>()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","47","3","49","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L213","PwoMetadata createDummyDefaultPwo(String url)","org.physical_web.physicalweb.BeaconDisplayListTest.createDummyDefaultPwo(LString;)LPwoMetadata;","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","51","3","53","4","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","PwoMetadata createDummyBlePwo(String url)","org.physical_web.physicalweb.BeaconDisplayListTest.createDummyBlePwo(LString;)LPwoMetadata;","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","55","3","59","4","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L223","PwoMetadata createDummyBlePwoWithUrlMetadata(String url)","org.physical_web.physicalweb.BeaconDisplayListTest.createDummyBlePwoWithUrlMetadata(LString;)LPwoMetadata;","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","61","3","66","4","0","0","0","0","0","0","0","0","1","0","0","6","1","0","0","0","0","0","6","6","4","1","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L225","UrlMetadata createDummyUrlMetadata(String url)","org.physical_web.physicalweb.BeaconDisplayListTest.createDummyUrlMetadata(LString;)LUrlMetadata;","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","68","3","83","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0.0714286","1","0","0.0714286","1","13","16","11","1","13","16","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L234","void testDisplayListAddAndRetrieveGenericPwo()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddAndRetrieveGenericPwo()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","85","3","103","4","0.885417","1","1","1","0.842105","0.8125","16","13","1","0","0","0","1","0","0","0","0","0","16","19","14","0","16","19","14","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L246","void testDisplayListAddAndRetrieveBlePwo()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddAndRetrieveBlePwo()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","105","3","126","4","0.96748","2","2","2","0.909091","0.894737","20","17","1","0","0","0","1","0","0","0","0","0","19","22","17","0","19","22","17","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L248","void testDisplayListAddAndRetrieveBlePwoWithUrlMetadata()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddAndRetrieveBlePwoWithUrlMetadata()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","128","3","158","4","0.586207","2","2","2","0.645161","0.607143","20","17","1","0","0","0","1","0","0","0","0","0","28","31","26","0","28","31","26","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L250","void testDisplayListAddPwoAndClear()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddPwoAndClear()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","160","3","172","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","11","13","9","0","11","13","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L251","void testDisplayListAddTwoDefaultPwos()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddTwoDefaultPwos()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","174","3","185","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.2","2","0","0.2","2","8","12","6","0","8","12","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","void testDisplayListAddTwoBlePwos()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddTwoBlePwos()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","187","3","199","4","1","1","1","1","1","1","13","9","1","0","0","0","1","0.181818","2","0","0.181818","2","9","13","7","0","9","13","7","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L255","void testDisplayListAddTwoBlePwosWithUrlMetadata()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddTwoBlePwosWithUrlMetadata()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","201","3","214","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.166667","2","0","0.166667","2","10","14","8","0","10","14","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","void testDisplayListAddDuplicateDefaultPwo()","org.physical_web.physicalweb.BeaconDisplayListTest.testDisplayListAddDuplicateDefaultPwo()V","L175","L103","D:\PR_assignment_src\physical-web\android\PhysicalWeb\app\src\androidTest\java\org\physical_web\physicalweb\BeaconDisplayListTest.java","216","3","226","4","1","1","1","1","1","1","11","7","1","0","0","0","1","0.222222","2","0","0.222222","2","7","11","5","0","7","11","5","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
