"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L375","Action(Picasso picasso, T target, Request request, int memoryPolicy, int networkPolicy, int errorResId, Drawable errorDrawable, String key, Object tag, boolean noFade)","com.squareup.picasso.Action.<init>(Lcom/squareup/picasso/Picasso;Ljava/lang/Object;Lcom/squareup/picasso/Request;IIILandroid/graphics/drawable/Drawable;Ljava/lang/String;Ljava/lang/Object;Z)V","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","49","3","62","4","0","0","0","0","0","0","0","0","3","0","0","5","1","0","0","0","0","0","14","14","10","10","14","14","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L404","void complete(Bitmap result, LoadedFrom from)","com.squareup.picasso.Action.complete(Landroid/graphics/Bitmap;Lcom/squareup/picasso/Picasso$LoadedFrom;)V","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","64","3","64","66","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L413","void error()","com.squareup.picasso.Action.error()V","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","66","3","66","25","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L414","void cancel()","com.squareup.picasso.Action.cancel()V","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","68","3","70","4","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L416","Request getRequest()","com.squareup.picasso.Action.getRequest()Lcom/squareup/picasso/Request;","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","72","3","74","4","0","0","0","0","0","0","0","0","1","0","0","16","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L417","T getTarget()","com.squareup.picasso.Action.getTarget()Ljava/lang/Object;","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","76","3","78","4","0","0","0","0","0","0","0","0","2","0","0","12","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L420","String getKey()","com.squareup.picasso.Action.getKey()Ljava/lang/String;","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","80","3","82","4","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L421","boolean isCancelled()","com.squareup.picasso.Action.isCancelled()Z","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","84","3","86","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L422","boolean willReplay()","com.squareup.picasso.Action.willReplay()Z","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","88","3","90","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L424","int getMemoryPolicy()","com.squareup.picasso.Action.getMemoryPolicy()I","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","92","3","94","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L425","int getNetworkPolicy()","com.squareup.picasso.Action.getNetworkPolicy()I","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","96","3","98","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L426","Picasso getPicasso()","com.squareup.picasso.Action.getPicasso()Lcom/squareup/picasso/Picasso;","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","100","3","102","4","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L427","Priority getPriority()","com.squareup.picasso.Action.getPriority()Lcom/squareup/picasso/Picasso$Priority;","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","104","3","106","4","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L433","Object getTag()","com.squareup.picasso.Action.getTag()Ljava/lang/Object;","L321","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\Action.java","108","3","110","4","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L454","AssetRequestHandler(Context context)","com.squareup.picasso.AssetRequestHandler.<init>(Landroid/content/Context;)V","L434","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\AssetRequestHandler.java","36","3","38","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L459","boolean canHandleRequest(Request data)","com.squareup.picasso.AssetRequestHandler.canHandleRequest(Lcom/squareup/picasso/Request;)Z","L434","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\AssetRequestHandler.java","40","3","44","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L467","Result load(Request request, int networkPolicy)","com.squareup.picasso.AssetRequestHandler.load(Lcom/squareup/picasso/Request;I)Lcom/squareup/picasso/RequestHandler$Result;","L434","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\AssetRequestHandler.java","46","3","56","4","0","0","0","0","0","0","0","0","3","2","2","0","2","0","0","0","0","0","11","11","6","2","11","11","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L485","String getFilePath(Request request)","com.squareup.picasso.AssetRequestHandler.getFilePath(Lcom/squareup/picasso/Request;)Ljava/lang/String;","L434","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\AssetRequestHandler.java","58","3","60","4","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L580","BitmapHunter(Picasso picasso, Dispatcher dispatcher, Cache cache, Stats stats, Action action, RequestHandler requestHandler)","com.squareup.picasso.BitmapHunter.<init>(Lcom/squareup/picasso/Picasso;Lcom/squareup/picasso/Dispatcher;Lcom/squareup/picasso/Cache;Lcom/squareup/picasso/Stats;Lcom/squareup/picasso/Action;Lcom/squareup/picasso/RequestHandler;)V","L495","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\BitmapHunter.java","100","3","115","4","0","0","0","0","0","0","0","0","1","0","0","5","6","0","0","0","0","0","16","16","13","6","16","16","13","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L610","Bitmap decodeStream(InputStream stream, Request request)","com.squareup.picasso.BitmapHunter.decodeStream(Ljava/io/InputStream;Lcom/squareup/picasso/Request;)Landroid/graphics/Bitmap;","L495","L103","D:\PR_assignment_src\picasso\picasso\src\main\java\com\squareup\picasso\BitmapHunter.java","122","3","160","4","0","0","0","0","0","0","0","0","7","2","2","1","9","0.214286","9","5","0.214286","9","33","39","24","2","33","39","24","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
