"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L127","ApplicationTest()","jp.wasabeef.recyclerview.ApplicationTest.<init>()V","L118","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\androidTest\java\jp\wasabeef\recyclerview\ApplicationTest.java","11","3","13","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L154","AlphaInAnimationAdapter(Adapter adapter)","jp.wasabeef.recyclerview.adapters.AlphaInAnimationAdapter.<init>(LRecyclerView.Adapter;)V","L144","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AlphaInAnimationAdapter.java","29","3","31","4","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L158","AlphaInAnimationAdapter(Adapter adapter, float from)","jp.wasabeef.recyclerview.adapters.AlphaInAnimationAdapter.<init>(LRecyclerView.Adapter;F)V","L144","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AlphaInAnimationAdapter.java","33","3","36","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","Animator[] getAnimators(View view)","jp.wasabeef.recyclerview.adapters.AlphaInAnimationAdapter.getAnimators(Landroid/view/View;)[Landroid/animation/Animator;","L144","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AlphaInAnimationAdapter.java","38","3","40","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L163","AnimationAdapter(Adapter<ViewHolder> adapter)","jp.wasabeef.recyclerview.adapters.AnimationAdapter.<init>(LRecyclerView.Adapter;)V","L146","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","35","3","37","4","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L201","ViewHolder onCreateViewHolder(ViewGroup parent, int viewType)","jp.wasabeef.recyclerview.adapters.AnimationAdapter.onCreateViewHolder(LViewGroup;I)LRecyclerView.ViewHolder;","L146","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","39","3","41","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","void registerAdapterDataObserver(AdapterDataObserver observer)","jp.wasabeef.recyclerview.adapters.AnimationAdapter.registerAdapterDataObserver(LRecyclerView.AdapterDataObserver;)V","L146","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","43","3","46","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","void unregisterAdapterDataObserver(AdapterDataObserver observer)","jp.wasabeef.recyclerview.adapters.AnimationAdapter.unregisterAdapterDataObserver(LRecyclerView.AdapterDataObserver;)V","L146","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","48","3","51","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L214","void onBindViewHolder(ViewHolder holder, int position)","jp.wasabeef.recyclerview.adapters.AnimationAdapter.onBindViewHolder(LRecyclerView.ViewHolder;I)V","L146","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","53","3","66","4","0","0","0","0","0","0","0","0","4","2","2","0","2","0","0","0","0","0","13","14","8","2","13","14","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","void onViewRecycled(ViewHolder holder)","jp.wasabeef.recyclerview.adapters.AnimationAdapter.onViewRecycled(LRecyclerView.ViewHolder;)V","L146","L103","D:\PR_assignment_src\recyclerview-animators\animators\src\main\java\jp\wasabeef\recyclerview\adapters\AnimationAdapter.java","68","3","71","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
