"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4954","Converter<ResponseBody, ?> responseBodyConverter(Type type, Annotation[] annotations, Retrofit retrofit)","retrofit2.BuiltInConverters.responseBodyConverter(Ljava/lang/reflect/Type;[Ljava/lang/annotation/Annotation;Lretrofit2/Retrofit;)Lretrofit2/Converter;","L4952","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\BuiltInConverters.java","26","3","38","4","0","0","0","0","0","0","0","0","4","1","1","0","1","0","0","0","0","0","13","13","5","3","13","13","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4969","Converter<?, RequestBody> requestBodyConverter(Type type, Annotation[] parameterAnnotations, Annotation[] methodAnnotations, Retrofit retrofit)","retrofit2.BuiltInConverters.requestBodyConverter(Ljava/lang/reflect/Type;[Ljava/lang/annotation/Annotation;[Ljava/lang/annotation/Annotation;Lretrofit2/Retrofit;)Lretrofit2/Converter;","L4952","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\BuiltInConverters.java","40","3","47","4","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","8","8","3","4","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L805","Response<T> execute()","retrofit2.Call.execute()Lretrofit2/Response;","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","42","3","42","44","0","0","0","0","0","0","0","0","1","0","0","73","0","0.875","7","7","0.875","7","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L256","void enqueue(Callback<T> callback)","retrofit2.Call.enqueue(Lretrofit2/Callback;)V","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","48","3","48","38","0","0","0","0","0","0","0","0","1","0","0","27","0","0.8","4","4","0.8","4","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5032","boolean isExecuted()","retrofit2.Call.isExecuted()Z","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","54","3","54","24","0","0","0","0","0","0","0","0","1","0","0","3","0","0.8","4","4","0.8","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L293","void cancel()","retrofit2.Call.cancel()V","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","60","3","60","17","0","0","0","0","0","0","0","0","1","0","0","15","0","0.8","4","4","0.8","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L807","boolean isCanceled()","retrofit2.Call.isCanceled()Z","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","63","3","63","24","0","0","0","0","0","0","0","0","1","0","0","8","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L798","Call<T> clone()","retrofit2.Call.clone()Lretrofit2/Call;","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","69","3","69","19","0","0","0","0","0","0","0","0","1","0","0","8","0","0.8","4","4","0.8","4","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4496","Request request()","retrofit2.Call.request()LRequest;","L249","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\Call.java","72","3","72","21","0","0","0","0","0","0","0","0","1","0","0","12","0","0.5","1","1","0.5","1","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L373","Type responseType()","retrofit2.CallAdapter.responseType()Ljava/lang/reflect/Type;","L176","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\CallAdapter.java","37","3","37","23","0","0","0","0","0","0","0","0","1","0","0","6","0","0.888889","8","8","0.888889","8","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4617","T adapt(Call<R> call)","retrofit2.CallAdapter.adapt(Lretrofit2/Call;)Ljava/lang/Object;","L176","L103","D:\PR_assignment_src\retrofit\retrofit\src\main\java\retrofit2\CallAdapter.java","56","3","56","25","0","0","0","0","0","0","0","0","1","0","0","9","0","0.944444","17","17","0.944444","17","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
