"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L125","boolean isAjaxRequest(WebRequest webRequest)","org.springframework.mvc.extensions.ajax.AjaxUtils.isAjaxRequest(LWebRequest;)Z","L121","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\mvc\extensions\ajax\AjaxUtils.java","7","2","10","3","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","boolean isAjaxUploadRequest(WebRequest webRequest)","org.springframework.mvc.extensions.ajax.AjaxUtils.isAjaxUploadRequest(LWebRequest;)Z","L121","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\mvc\extensions\ajax\AjaxUtils.java","12","2","14","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","AjaxUtils()","org.springframework.mvc.extensions.ajax.AjaxUtils.<init>()V","L121","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\mvc\extensions\ajax\AjaxUtils.java","16","2","16","24","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L165","Callable<String> callable()","org.springframework.samples.mvc.async.CallableController.callable()Ljava/util/concurrent/Callable;","L163","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\CallableController.java","18","2","28","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","6","1","0","10","11","3","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","Callable<String> callableWithView(Model model)","org.springframework.samples.mvc.async.CallableController.callableWithView(LModel;)LCallable;","L163","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\CallableController.java","30","2","42","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","6","1","1","12","13","5","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L190","Callable<String> callableWithException(boolean handled)","org.springframework.samples.mvc.async.CallableController.callableWithException(Z)Ljava/util/concurrent/Callable;","L163","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\CallableController.java","44","2","61","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0.0588235","1","6","7","1","1","16","18","5","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","WebAsyncTask<String> callableWithCustomTimeoutHandling()","org.springframework.samples.mvc.async.CallableController.callableWithCustomTimeoutHandling()LWebAsyncTask;","L163","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\CallableController.java","63","2","75","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","8","2","0","11","13","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L211","String handleException(IllegalStateException ex)","org.springframework.samples.mvc.async.CallableController.handleException(Ljava/lang/IllegalStateException;)Ljava/lang/String;","L163","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\CallableController.java","77","2","81","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","1","1","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L232","DeferredResult<String> deferredResult()","org.springframework.samples.mvc.async.DeferredResultController.deferredResult()LDeferredResult;","L215","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\DeferredResultController.java","25","2","30","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","DeferredResult<ModelAndView> deferredResultWithView()","org.springframework.samples.mvc.async.DeferredResultController.deferredResultWithView()LDeferredResult;","L215","L103","D:\PR_assignment_src\spring-mvc-showcase\src\main\java\org\springframework\samples\mvc\async\DeferredResultController.java","32","2","37","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
