"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L678","void main(String[] args)","org.springframework.samples.petclinic.PetClinicApplication.main([Ljava/lang/String;)V","L675","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\PetClinicApplication.java","31","5","33","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","Integer getId()","org.springframework.samples.petclinic.model.BaseEntity.getId()Ljava/lang/Integer;","L133","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\BaseEntity.java","35","5","37","6","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L149","void setId(Integer id)","org.springframework.samples.petclinic.model.BaseEntity.setId(Ljava/lang/Integer;)V","L133","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\BaseEntity.java","39","5","41","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L154","boolean isNew()","org.springframework.samples.petclinic.model.BaseEntity.isNew()Z","L133","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\BaseEntity.java","43","5","45","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","String getName()","org.springframework.samples.petclinic.model.NamedEntity.getName()Ljava/lang/String;","L158","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\NamedEntity.java","35","5","37","6","0","0","0","0","0","0","0","0","1","0","0","12","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L170","void setName(String name)","org.springframework.samples.petclinic.model.NamedEntity.setName(Ljava/lang/String;)V","L158","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\NamedEntity.java","39","5","41","6","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","String toString()","org.springframework.samples.petclinic.model.NamedEntity.toString()Ljava/lang/String;","L158","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\NamedEntity.java","43","5","46","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L182","String getFirstName()","org.springframework.samples.petclinic.model.Person.getFirstName()Ljava/lang/String;","L177","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\Person.java","39","5","41","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","void setFirstName(String firstName)","org.springframework.samples.petclinic.model.Person.setFirstName(Ljava/lang/String;)V","L177","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\Person.java","43","5","45","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L186","String getLastName()","org.springframework.samples.petclinic.model.Person.getLastName()Ljava/lang/String;","L177","L103","D:\PR_assignment_src\spring-petclinic\src\main\java\org\springframework\samples\petclinic\model\Person.java","47","5","49","6","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
