"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L18025","void main(String[] args)","demo.Application.main([Ljava/lang/String;)V","L18023","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\main\java\demo\Application.java","29","2","31","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18029","String home()","demo.Application.home()Ljava/lang/String;","L18023","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\main\java\demo\Application.java","33","2","36","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18043","void contextLoads()","demo.ApplicationTests.contextLoads()V","L18041","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\ApplicationTests.java","16","2","18","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","0","0","3","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18052","void verifyAuthorizationPage(String page)","demo.AuthorizationCodeProviderTests.verifyAuthorizationPage(Ljava/lang/String;)V","L18044","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\approval\src\test\java\demo\AuthorizationCodeProviderTests.java","27","2","31","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.166667","1","0","0.166667","1","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18096","void main(String[] args)","demo.Application.main([Ljava/lang/String;)V","L18094","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\Application.java","28","2","30","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18100","String home()","demo.Application.home()Ljava/lang/String;","L18094","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\Application.java","32","2","35","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18101","String create(MultiValueMap<String, String> map)","demo.Application.create(LMultiValueMap;)LString;","L18094","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\Application.java","37","2","41","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","5","1","1","5","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18123","void init(FilterConfig filterConfig)","demo.HardCodedAuthenticationFilter.init(Ljavax/servlet/FilterConfig;)V","L18114","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\HardCodedAuthenticationFilter.java","36","5","39","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.25","1","0","0.25","1","3","4","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18125","void doFilter(ServletRequest request, ServletResponse response, FilterChain chain)","demo.HardCodedAuthenticationFilter.doFilter(Ljavax/servlet/ServletRequest;Ljavax/servlet/ServletResponse;Ljavax/servlet/FilterChain;)V","L18114","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\HardCodedAuthenticationFilter.java","41","5","57","6","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","14","17","7","3","14","17","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L18132","void destroy()","demo.HardCodedAuthenticationFilter.destroy()V","L18114","L103","D:\PR_assignment_src\spring-security-oauth\tests\annotation\custom-authentication\src\main\java\demo\HardCodedAuthenticationFilter.java","59","5","62","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0.25","1","0","0.25","1","3","4","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
