"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L408","void main(String[] args)","org.springside.examples.bootapi.BootApiApplication.main([Ljava/lang/String;)V","L405","L103","D:\PR_assignment_src\springside4\examples\boot-api\src\main\java\org\springside\examples\bootapi\BootApiApplication.java","20","2","22","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0.769231","10","10","0.769231","10","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L830","void main(String[] args)","org.springside.examples.showcase.BootShowcaseApplication.main([Ljava/lang/String;)V","L828","L103","D:\PR_assignment_src\springside4\examples\boot-showcase\src\main\java\org\springside\examples\showcase\BootShowcaseApplication.java","9","2","11","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","<S extends Object, D extends Object> D map(S source, Class<D> destinationClass)","org.springside.modules.mapper.BeanMapper.map(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;","L885","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\BeanMapper.java","30","2","32","3","0","0","0","0","0","0","0","0","1","0","0","3","0","0.5","3","3","0.5","3","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L218","<S extends Object, D extends Object> List<D> mapList(Iterable<S> sourceList, Class<D> destinationClass)","org.springside.modules.mapper.BeanMapper.mapList(Ljava/lang/Iterable;Ljava/lang/Class;)Ljava/util/List;","L885","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\BeanMapper.java","37","2","39","3","0","0","0","0","0","0","0","0","1","0","0","3","0","0.5","3","3","0.5","3","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L940","String toXml(Object root)","org.springside.modules.mapper.JaxbMapper.toXml(Ljava/lang/Object;)Ljava/lang/String;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","42","2","45","3","0","0","0","0","0","0","0","0","1","0","0","0","2","0.428571","3","3","0.428571","3","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L947","String toXml(Object root, String encoding)","org.springside.modules.mapper.JaxbMapper.toXml(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/String;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","50","2","53","3","0","0","0","0","0","0","0","0","1","0","0","1","2","0.428571","3","3","0.428571","3","4","4","2","2","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L945","String toXml(Object root, Class clazz, String encoding)","org.springside.modules.mapper.JaxbMapper.toXml(Ljava/lang/Object;Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/String;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","58","2","66","3","0","0","0","0","0","0","0","0","2","1","1","2","2","0.25","3","3","0.25","3","9","9","5","3","9","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L971","String toXml(Collection<?> root, String rootName, Class clazz)","org.springside.modules.mapper.JaxbMapper.toXml(Ljava/util/Collection;Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/String;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","71","2","73","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0.5","3","3","0.5","3","3","3","1","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L982","String toXml(Collection<?> root, String rootName, Class clazz, String encoding)","org.springside.modules.mapper.JaxbMapper.toXml(Ljava/util/Collection;Ljava/lang/String;Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/String;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","78","2","93","3","0","0","0","0","0","0","0","0","2","1","1","2","2","0.1875","3","3","0.1875","3","13","16","8","4","13","16","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1009","<T extends Object> T fromXml(String xml, Class<T> clazz)","org.springside.modules.mapper.JaxbMapper.fromXml(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","98","2","105","3","0","0","0","0","0","0","0","0","2","1","1","1","2","0.272727","3","3","0.272727","3","8","8","4","2","8","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L962","Marshaller createMarshaller(Class clazz, String encoding)","org.springside.modules.mapper.JaxbMapper.createMarshaller(Ljava/lang/Class;Ljava/lang/String;)Ljavax/xml/bind/Marshaller;","L921","L103","D:\PR_assignment_src\springside4\modules\core\src\main\java\org\springside\modules\mapper\JaxbMapper.java","111","2","127","3","0","0","0","0","0","0","0","0","3","2","2","2","2","0.235294","4","4","0.235294","4","13","17","8","2","13","17","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
