"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4692","Iterable<DumperPlugin> get()","com.facebook.stetho.DumperPluginsProvider.get()Ljava/lang/Iterable;","L1131","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\DumperPluginsProvider.java","20","3","20","32","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L11012","Iterable<ChromeDevtoolsDomain> get()","com.facebook.stetho.InspectorModulesProvider.get()Ljava/lang/Iterable;","L1169","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\InspectorModulesProvider.java","15","3","15","40","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L11819","Stetho()","com.facebook.stetho.Stetho.<init>()V","L1153","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\Stetho.java","82","3","83","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1129","InitializerBuilder newInitializerBuilder(Context context)","com.facebook.stetho.Stetho.newInitializerBuilder(Landroid/content/Context;)Lcom/facebook/stetho/Stetho$InitializerBuilder;","L1153","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\Stetho.java","92","3","94","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0.7","7","7","0.7","7","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11827","void initializeWithDefaults(Context context)","com.facebook.stetho.Stetho.initializeWithDefaults(Landroid/content/Context;)V","L1153","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\Stetho.java","101","3","113","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0.555556","5","5","0.294118","5","4","4","1","1","12","13","3","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L1121","void initialize(Initializer initializer)","com.facebook.stetho.Stetho.initialize(Lcom/facebook/stetho/Stetho$Initializer;)V","L1153","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\Stetho.java","121","3","132","4","0","0","0","0","0","0","0","0","2","1","1","2","4","0.470588","8","6","0.470588","8","9","12","4","1","9","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11848","DumperPluginsProvider defaultDumperPluginsProvider(Context context)","com.facebook.stetho.Stetho.defaultDumperPluginsProvider(Landroid/content/Context;)Lcom/facebook/stetho/DumperPluginsProvider;","L1153","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\Stetho.java","134","3","141","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","8","8","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L11854","InspectorModulesProvider defaultInspectorModulesProvider(Context context)","com.facebook.stetho.Stetho.defaultInspectorModulesProvider(Landroid/content/Context;)Lcom/facebook/stetho/InspectorModulesProvider;","L1153","L103","D:\PR_assignment_src\stetho\stetho\src\main\java\com\facebook\stetho\Stetho.java","143","3","150","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","1","8","8","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L148","JsConsole()","com.facebook.stetho.rhino.JsConsole.<init>()V","L140","L103","D:\PR_assignment_src\stetho\stetho-js-rhino\src\main\java\com\facebook\stetho\rhino\JsConsole.java","35","3","37","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0.777778","7","6","0.777778","7","2","3","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","JsConsole(ScriptableObject scope)","com.facebook.stetho.rhino.JsConsole.<init>(LScriptableObject;)V","L140","L103","D:\PR_assignment_src\stetho\stetho-js-rhino\src\main\java\com\facebook\stetho\rhino\JsConsole.java","39","3","46","4","0","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","0","8","8","5","1","8","8","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","String getClassName()","com.facebook.stetho.rhino.JsConsole.getClassName()Ljava/lang/String;","L140","L103","D:\PR_assignment_src\stetho\stetho-js-rhino\src\main\java\com\facebook\stetho\rhino\JsConsole.java","48","3","51","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
