"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L3939","void split(int[] arrayI, int[] arrayV, int start, int len, int h)","com.tencent.tinker.bsdiff.BSDiff.split([I[IIII)V","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","54","5","151","6","0","0","0","0","0","0","0","0","20","4","4","1","0","0","0","0","0","0","81","98","75","5","81","98","75","0","0","5","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L3946","void qsufsort(int[] arrayI, int[] arrayV, byte[] oldBuf, int oldsize)","com.tencent.tinker.bsdiff.BSDiff.qsufsort([I[I[BI)V","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","157","5","227","6","0","0","0","0","0","0","0","0","14","4","4","1","1","0.163934","10","4","0.163934","10","51","71","52","4","51","71","52","0","0","4","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3952","int search(int[] arrayI, byte[] oldBuf, int oldSize, byte[] newBuf, int newSize, int newBufOffset, int start, int end, IntByRef pos)","com.tencent.tinker.bsdiff.BSDiff.search([I[BI[BIIIILcom/tencent/tinker/bsdiff/BSDiff$IntByRef;)I","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","234","5","256","6","0","0","0","0","0","0","0","0","4","2","2","1","2","0.24","6","4","0.24","6","19","23","12","9","19","23","12","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L3966","int matchlen(byte[] oldBuf, int oldSize, int oldOffset, byte[] newBuf, int newSize, int newOffset)","com.tencent.tinker.bsdiff.BSDiff.matchlen([BII[BII)I","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","262","5","271","6","0","0","0","0","0","0","0","0","3","2","2","1","0","0.25","3","3","0.25","3","9","10","7","6","9","10","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3970","int memcmp(byte[] s1, int s1Size, int s1offset, byte[] s2, int s2Size, int s2offset)","com.tencent.tinker.bsdiff.BSDiff.memcmp([BII[BII)I","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","278","5","293","6","0","0","0","0","0","0","0","0","5","2","2","1","0","0.294118","5","5","0.294118","5","12","16","9","6","12","16","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3987","void bsdiff(File oldFile, File newFile, File diffFile)","com.tencent.tinker.bsdiff.BSDiff.bsdiff(Ljava/io/File;Ljava/io/File;Ljava/io/File;)V","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","296","5","306","6","0","0","0","0","0","0","0","0","1","1","1","2","1","0","0","0","0","0","11","11","7","3","11","11","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3991","byte[] bsdiff(InputStream oldInputStream, int oldsize, InputStream newInputStream, int newsize)","com.tencent.tinker.bsdiff.BSDiff.bsdiff(Ljava/io/InputStream;ILjava/io/InputStream;I)[B","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","309","5","321","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","9","13","7","4","9","13","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3999","byte[] bsdiff(byte[] oldBuf, int oldsize, byte[] newBuf, int newsize)","com.tencent.tinker.bsdiff.BSDiff.bsdiff([BI[BI)[B","L3933","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSDiff.java","324","5","527","6","0","0","0","0","0","0","0","0","29","5","5","1","2","0.269663","48","0","0.269663","48","130","204","122","4","130","204","122","0","0","7","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L4069","int patchLessMemory(RandomAccessFile oldFile, File newFile, File diffFile, int extLen)","com.tencent.tinker.bsdiff.BSPatch.patchLessMemory(Ljava/io/RandomAccessFile;Ljava/io/File;Ljava/io/File;I)I","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","75","5","94","6","0","0","0","0","0","0","0","0","6","1","1","0","2","0.208333","5","5","0.208333","5","19","20","12","4","19","20","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4083","int patchLessMemory(RandomAccessFile oldFile, int oldsize, byte[] diffBuf, int diffSize, File newFile, int extLen)","com.tencent.tinker.bsdiff.BSPatch.patchLessMemory(Ljava/io/RandomAccessFile;I[BILjava/io/File;I)I","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","101","5","211","6","0.237581","1","1","1","0.18018","0.170455","20","15","18","4","4","1","1","0.12","12","5","0.12","12","88","111","74","6","88","111","74","0","0","14","0","0","0","0","0","7","0","2","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0"
"L4121","int patchFast(File oldFile, File newFile, File diffFile, int extLen)","com.tencent.tinker.bsdiff.BSPatch.patchFast(Ljava/io/File;Ljava/io/File;Ljava/io/File;I)I","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","218","5","247","6","0","0","0","0","0","0","0","0","6","1","1","0","2","0.15625","5","5","0.15625","5","27","30","18","4","27","30","18","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4129","int patchFast(InputStream oldInputStream, InputStream diffInputStream, File newFile)","com.tencent.tinker.bsdiff.BSPatch.patchFast(Ljava/io/InputStream;Ljava/io/InputStream;Ljava/io/File;)I","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","254","5","277","6","0","0","0","0","0","0","0","0","4","1","1","2","2","0.192308","5","5","0.192308","5","21","24","14","3","21","24","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4138","byte[] patchFast(InputStream oldInputStream, InputStream diffInputStream)","com.tencent.tinker.bsdiff.BSPatch.patchFast(Ljava/io/InputStream;Ljava/io/InputStream;)[B","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","279","5","293","6","0","0","0","0","0","0","0","0","3","1","1","0","2","0","0","0","0","0","12","15","8","2","12","15","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L4127","byte[] patchFast(InputStream oldInputStream, int oldsize, byte[] diffBytes, int extLen)","com.tencent.tinker.bsdiff.BSPatch.patchFast(Ljava/io/InputStream;I[BI)[B","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","299","5","306","6","0","0","0","0","0","0","0","0","1","0","0","1","2","0.454545","5","4","0.454545","5","6","8","4","4","6","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4136","byte[] patchFast(byte[] oldBuf, int oldsize, byte[] diffBuf, int diffSize, int extLen)","com.tencent.tinker.bsdiff.BSPatch.patchFast([BI[BII)[B","L4058","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSPatch.java","312","5","382","6","0.360656","1","1","1","0.28169","0.294118","20","15","10","3","3","3","1","0.177419","11","4","0.177419","11","51","71","45","5","51","71","45","0","0","9","0","0","0","0","0","7","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3997","boolean readFromStream(InputStream in, byte[] buf, int offset, int len)","com.tencent.tinker.bsdiff.BSUtil.readFromStream(Ljava/io/InputStream;[BII)Z","L4154","L103","D:\PR_assignment_src\tinker\third-party\bsdiff-util\src\main\java\com\tencent\tinker\bsdiff\BSUtil.java","52","5","63","6","0","0","0","0","0","0","0","0","3","2","2","6","0","0.266667","4","4","0.266667","4","11","12","7","4","11","12","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
