"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L196","Forger(Class<T> clazz, PropertyLoader propertyLoader)","us.codecraft.forger.Forger.<init>(Ljava/lang/Class;Lus/codecraft/forger/property/PropertyLoader;)V","L183","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\Forger.java","18","5","21","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L201","T forge(Map<String, Object> properties)","us.codecraft.forger.Forger.forge(Ljava/util/Map;)Ljava/lang/Object;","L183","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\Forger.java","23","5","27","6","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L219","List<Property> getPropertyNames()","us.codecraft.forger.Forger.getPropertyNames()Ljava/util/List;","L183","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\Forger.java","29","5","31","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","Class<T> getClazz()","us.codecraft.forger.Forger.getClazz()Ljava/lang/Class;","L183","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\Forger.java","33","5","35","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L236","ForgerFactory(PropertyLoader propertyLoader, ForgerCompiler forgerCompiler)","us.codecraft.forger.ForgerFactory.<init>(Lus/codecraft/forger/property/PropertyLoader;Lus/codecraft/forger/compiler/ForgerCompiler;)V","L232","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\ForgerFactory.java","15","5","18","6","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","4","4","2","2","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L241","<T extends Object> Forger<T> compile(String sourceCode)","us.codecraft.forger.ForgerFactory.compile(Ljava/lang/String;)Lus/codecraft/forger/Forger;","L232","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\ForgerFactory.java","20","5","23","6","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L253","<T extends Object> Forger<T> create(Class clazz)","us.codecraft.forger.ForgerFactory.create(Ljava/lang/Class;)Lus/codecraft/forger/Forger;","L232","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\main\java\us\codecraft\forger\ForgerFactory.java","25","5","27","6","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L824","String getBar()","us.codecraft.forger.Bar.getBar()Ljava/lang/String;","L815","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","24","5","26","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L826","void setBar(String bar)","us.codecraft.forger.Bar.setBar(Ljava/lang/String;)V","L815","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","28","5","30","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L828","List<String> getValues()","us.codecraft.forger.Bar.getValues()Ljava/util/List;","L815","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","32","5","34","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L830","void setValues(List<String> values)","us.codecraft.forger.Bar.setValues(Ljava/util/List;)V","L815","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","36","5","38","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L832","Map<String, Integer> getIdMap()","us.codecraft.forger.Bar.getIdMap()Ljava/util/Map;","L815","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","40","5","42","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L834","void setIdMap(Map<String, Integer> idMap)","us.codecraft.forger.Bar.setIdMap(Ljava/util/Map;)V","L815","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Bar.java","44","5","46","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L843","String getFoo()","us.codecraft.forger.Foo.getFoo()Ljava/lang/String;","L836","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Foo.java","39","5","41","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L845","String foo()","us.codecraft.forger.Foo.foo()Ljava/lang/String;","L836","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Foo.java","43","5","46","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L847","String foo()","us.codecraft.forger.Fooable.foo()Ljava/lang/String;","L838","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\Fooable.java","8","5","8","25","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L851","void testForgerCreateByClassProperty()","us.codecraft.forger.ForgerFactoryTest.testForgerCreateByClassProperty()V","L848","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\ForgerFactoryTest.java","22","5","28","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L866","void testForgerCreateByClassAnnotation()","us.codecraft.forger.ForgerFactoryTest.testForgerCreateByClassAnnotation()V","L848","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\ForgerFactoryTest.java","30","5","36","6","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","7","7","4","0","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L870","void testForgerCreateByClassAnnotationCompile()","us.codecraft.forger.ForgerFactoryTest.testForgerCreateByClassAnnotationCompile()V","L848","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\ForgerFactoryTest.java","38","5","47","6","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","10","10","7","0","10","10","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L881","void testForgerCreateByClassAnnotationWithCollections()","us.codecraft.forger.ForgerFactoryTest.testForgerCreateByClassAnnotationWithCollections()V","L848","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\forger\src\test\java\us\codecraft\forger\ForgerFactoryTest.java","49","5","65","6","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","0","0","17","17","14","0","17","17","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2370","String getFoo()","us.codecraft.webmagic.Foo.getFoo()Ljava/lang/String;","L2366","L103","D:\PR_assignment_src\webmagic\webmagic-avalon\webmagic-avalon-common\src\test\java\us\codecraft\webmagic\Foo.java","38","5","40","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
