"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L655","ApplicationTest()","com.alibaba.weex.ApplicationTest.<init>()V","L653","L103","D:\PR_assignment_src\weex\android\playground\app\src\androidTest\java\com\alibaba\weex\ApplicationTest.java","10","5","12","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L3988","WeappJsBaseTestCase()","com.alibaba.weex.WeappJsBaseTestCase.<init>()V","L3962","L103","D:\PR_assignment_src\weex\android\playground\app\src\androidTest\java\com\alibaba\weex\WeappJsBaseTestCase.java","27","5","29","6","0","0","0","0","0","0","0","0","1","0","0","16","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6121","void setUp()","com.alibaba.weex.WeappJsBaseTestCase.setUp()V","L3962","L103","D:\PR_assignment_src\weex\android\playground\app\src\androidTest\java\com\alibaba\weex\WeappJsBaseTestCase.java","31","5","46","6","0","0","0","0","0","0","0","0","2","1","1","0","1","0.65","13","0","0.65","13","7","16","4","0","7","16","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6903","void onCreate(Bundle savedInstanceState)","com.alibaba.weex.IndexActivity.onCreate(Landroid/os/Bundle;)V","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","46","3","88","4","0","0","0","0","0","0","0","0","3","1","1","0","5","0","0","0","0","0","26","33","19","1","36","43","24","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L6927","boolean onCreateOptionsMenu(Menu menu)","com.alibaba.weex.IndexActivity.onCreateOptionsMenu(Landroid/view/Menu;)Z","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","90","3","98","4","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","9","9","4","1","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6932","boolean onOptionsItemSelected(MenuItem item)","com.alibaba.weex.IndexActivity.onOptionsItemSelected(Landroid/view/MenuItem;)Z","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","100","3","127","4","0","0","0","0","0","0","0","0","7","4","3","0","3","0","0","0","0","0","28","28","17","1","28","28","17","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6945","void onRequestPermissionsResult(int requestCode, String[] permissions, int[] grantResults)","com.alibaba.weex.IndexActivity.onRequestPermissionsResult(I[Ljava/lang/String;[I)V","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","129","3","137","4","0","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","9","9","4","3","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6950","void onRenderSuccess(WXSDKInstance wxsdkInstance, int i, int i1)","com.alibaba.weex.IndexActivity.onRenderSuccess(Lcom/taobao/weex/WXSDKInstance;II)V","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","139","3","144","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","6","6","3","3","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6956","void onException(WXSDKInstance wxsdkInstance, String s, String s1)","com.alibaba.weex.IndexActivity.onException(Lcom/taobao/weex/WXSDKInstance;Ljava/lang/String;Ljava/lang/String;)V","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","146","3","156","4","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","11","11","6","3","11","11","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6962","void onDestroy()","com.alibaba.weex.IndexActivity.onDestroy()V","L6888","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\IndexActivity.java","158","3","162","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L6966","void onCreate(Bundle savedInstanceState)","com.alibaba.weex.SplashActivity.onCreate(Landroid/os/Bundle;)V","L6964","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\SplashActivity.java","15","3","45","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","15","18","11","1","26","31","13","0","0","12","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"L7013","void onCreate()","com.alibaba.weex.WXApplication.onCreate()V","L6104","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXApplication.java","20","3","62","4","0","0","0","0","0","0","0","0","2","1","1","0","9","0.405405","15","0","0.405405","15","22","43","12","0","22","43","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7057","void initDebugEnvironment(boolean enable, String host)","com.alibaba.weex.WXApplication.initDebugEnvironment(ZLjava/lang/String;)V","L6104","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXApplication.java","72","3","77","4","0","0","0","0","0","0","0","0","2","1","1","0","0","0.571429","8","8","0.571429","8","6","6","3","2","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7067","void onCreate(Bundle savedInstanceState, PersistableBundle persistentState)","com.alibaba.weex.WXBaseActivity.onCreate(LBundle;LPersistableBundle;)V","L7065","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXBaseActivity.java","9","3","12","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7077","void onCreateNestInstance(WXSDKInstance instance, NestedContainer container)","com.alibaba.weex.WXPageActivity.onCreateNestInstance(Lcom/taobao/weex/WXSDKInstance;Lcom/taobao/weex/ui/component/NestedContainer;)V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","56","3","59","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7123","void onCreate(Bundle savedInstanceState)","com.alibaba.weex.WXPageActivity.onCreate(Landroid/os/Bundle;)V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","129","3","178","4","0","0","0","0","0","0","0","0","9","2","2","0","8","0.0465116","2","0","0.0465116","2","41","50","31","1","41","50","31","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7152","void onStart()","com.alibaba.weex.WXPageActivity.onStart()V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","180","3","186","4","0","0","0","0","0","0","0","0","2","1","1","0","1","0","0","0","0","0","7","7","3","0","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7146","void loadWXfromLocal(boolean reload)","com.alibaba.weex.WXPageActivity.loadWXfromLocal(Z)V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","188","3","214","4","0","0","0","0","0","0","0","0","4","1","1","2","3","0.0714286","1","0","0.037037","1","13","14","8","1","26","27","14","0","0","7","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"L7163","String assembleFilePath(Uri uri)","com.alibaba.weex.WXPageActivity.assembleFilePath(Landroid/net/Uri;)Ljava/lang/String;","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","216","3","221","4","0","0","0","0","0","0","0","0","3","1","1","1","0","0","0","0","0","0","6","6","3","1","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7137","void initUIAndData()","com.alibaba.weex.WXPageActivity.initUIAndData()V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","223","3","237","4","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","0","0","0","12","15","10","0","12","15","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7142","void loadWXfromService(String url)","com.alibaba.weex.WXPageActivity.loadWXfromService(Ljava/lang/String;)V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","239","3","273","4","0","0","0","0","0","0","0","0","2","1","1","4","4","0","0","0","0","0","13","17","9","1","29","35","17","0","0","10","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0"
"L7144","void startHotRefresh()","com.alibaba.weex.WXPageActivity.startHotRefresh()V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","278","3","286","4","0","0","0","0","0","0","0","0","2","1","1","1","0","0.25","3","3","0.25","3","9","9","5","0","9","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7178","void addOnListener()","com.alibaba.weex.WXPageActivity.addOnListener()V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","288","3","290","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","3","0","0","2","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7207","void onDestroy()","com.alibaba.weex.WXPageActivity.onDestroy()V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","292","3","305","4","0","0","0","0","0","0","0","0","3","1","1","0","3","0.0769231","1","0","0.0769231","1","12","14","7","0","12","14","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7212","boolean onKeyUp(int keyCode, KeyEvent event)","com.alibaba.weex.WXPageActivity.onKeyUp(ILandroid/view/KeyEvent;)Z","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","308","3","311","4","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7215","void onResume()","com.alibaba.weex.WXPageActivity.onResume()V","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","313","3","322","4","1","1","3","1","1","1","10","10","3","1","1","0","2","0","0","0","0","0","10","10","5","0","10","10","5","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7216","Activity getCurrentWxPageActivity()","com.alibaba.weex.WXPageActivity.getCurrentWxPageActivity()Landroid/app/Activity;","L909","L103","D:\PR_assignment_src\weex\android\playground\app\src\main\java\com\alibaba\weex\WXPageActivity.java","324","3","326","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
