"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1412","BitmapUtils(Context context)","com.lidroid.xutils.BitmapUtils.<init>(Landroid/content/Context;)V","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","54","5","56","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0.25","1","1","0.25","1","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1415","BitmapUtils(Context context, String diskCachePath)","com.lidroid.xutils.BitmapUtils.<init>(Landroid/content/Context;Ljava/lang/String;)V","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","58","5","66","6","0","0","0","0","0","0","0","0","2","1","1","5","2","0","0","0","0","0","8","9","5","2","8","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1425","BitmapUtils(Context context, String diskCachePath, int memoryCacheSize)","com.lidroid.xutils.BitmapUtils.<init>(Landroid/content/Context;Ljava/lang/String;I)V","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","68","5","71","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1430","BitmapUtils(Context context, String diskCachePath, int memoryCacheSize, int diskCacheSize)","com.lidroid.xutils.BitmapUtils.<init>(Landroid/content/Context;Ljava/lang/String;II)V","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","73","5","77","6","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","5","5","3","4","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1436","BitmapUtils(Context context, String diskCachePath, float memoryCachePercent)","com.lidroid.xutils.BitmapUtils.<init>(Landroid/content/Context;Ljava/lang/String;F)V","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","79","5","82","6","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","4","4","2","3","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1440","BitmapUtils(Context context, String diskCachePath, float memoryCachePercent, int diskCacheSize)","com.lidroid.xutils.BitmapUtils.<init>(Landroid/content/Context;Ljava/lang/String;FI)V","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","84","5","88","6","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","5","5","3","4","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1445","BitmapUtils configDefaultLoadingImage(Drawable drawable)","com.lidroid.xutils.BitmapUtils.configDefaultLoadingImage(Landroid/graphics/drawable/Drawable;)Lcom/lidroid/xutils/BitmapUtils;","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","92","5","95","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0.2","1","1","0.2","1","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1449","BitmapUtils configDefaultLoadingImage(int resId)","com.lidroid.xutils.BitmapUtils.configDefaultLoadingImage(I)Lcom/lidroid/xutils/BitmapUtils;","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","97","5","100","6","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1453","BitmapUtils configDefaultLoadingImage(Bitmap bitmap)","com.lidroid.xutils.BitmapUtils.configDefaultLoadingImage(Landroid/graphics/Bitmap;)Lcom/lidroid/xutils/BitmapUtils;","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","102","5","105","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1455","BitmapUtils configDefaultLoadFailedImage(Drawable drawable)","com.lidroid.xutils.BitmapUtils.configDefaultLoadFailedImage(Landroid/graphics/drawable/Drawable;)Lcom/lidroid/xutils/BitmapUtils;","L764","L103","D:\PR_assignment_src\xUtils\library\src\com\lidroid\xutils\BitmapUtils.java","107","5","110","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
