"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L1665","Annotation create(long timestamp, String value, Endpoint endpoint)","zipkin.Annotation.create(JLjava/lang/String;Lzipkin/Endpoint;)Lzipkin/Annotation;","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","28","3","30","4","0","0","0","0","0","0","0","0","1","0","0","43","1","0","0","0","0","0","3","3","1","3","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13156","Annotation(long timestamp, String value, Endpoint endpoint)","zipkin.Annotation.<init>(JLjava/lang/String;Lzipkin/Endpoint;)V","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","50","3","54","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","5","5","3","3","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2164","Builder toBuilder()","zipkin.Annotation.toBuilder()Lzipkin/Annotation$Builder;","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","56","3","58","4","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2673","Builder builder()","zipkin.Annotation.builder()Lzipkin/Annotation$Builder;","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","60","3","62","4","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13181","boolean equals(Object o)","zipkin.Annotation.equals(Ljava/lang/Object;)Z","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","101","3","113","4","0","0","0","0","0","0","0","0","5","1","1","0","1","0","0","0","0","0","13","13","6","1","13","13","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13183","int hashCode()","zipkin.Annotation.hashCode()I","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","115","3","125","4","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","11","11","8","0","11","11","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13186","int compareTo(Annotation that)","zipkin.Annotation.compareTo(Lzipkin/Annotation;)I","L1874","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Annotation.java","128","3","134","4","0","0","0","0","0","0","0","0","5","1","1","0","0","0.125","1","1","0.125","1","7","7","6","1","7","7","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L1764","BinaryAnnotation address(String key, Endpoint endpoint)","zipkin.BinaryAnnotation.address(Ljava/lang/String;Lzipkin/Endpoint;)Lzipkin/BinaryAnnotation;","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","90","3","92","4","0","0","0","0","0","0","0","0","1","0","0","15","2","0.7","7","7","0.7","7","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1754","BinaryAnnotation create(String key, String value, Endpoint endpoint)","zipkin.BinaryAnnotation.create(Ljava/lang/String;Ljava/lang/String;Lzipkin/Endpoint;)Lzipkin/BinaryAnnotation;","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","95","3","97","4","0","0","0","0","0","0","0","0","1","0","0","23","1","0.25","1","1","0.25","1","3","3","1","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1679","BinaryAnnotation create(String key, byte[] value, Type type, Endpoint endpoint)","zipkin.BinaryAnnotation.create(Ljava/lang/String;[BLzipkin/BinaryAnnotation$Type;Lzipkin/Endpoint;)Lzipkin/BinaryAnnotation;","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","99","3","101","4","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","0","0","3","3","1","4","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13210","BinaryAnnotation(String key, byte[] value, Type type, Endpoint endpoint)","zipkin.BinaryAnnotation.<init>(Ljava/lang/String;[BLzipkin/BinaryAnnotation$Type;Lzipkin/Endpoint;)V","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","131","3","136","4","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","0","0","6","6","4","4","6","6","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13228","Builder toBuilder()","zipkin.BinaryAnnotation.toBuilder()Lzipkin/BinaryAnnotation$Builder;","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","138","3","140","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2699","Builder builder()","zipkin.BinaryAnnotation.builder()Lzipkin/BinaryAnnotation$Builder;","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","142","3","144","4","0","0","0","0","0","0","0","0","1","0","0","13","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13252","boolean equals(Object o)","zipkin.BinaryAnnotation.equals(Ljava/lang/Object;)Z","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","198","3","211","4","0","0","0","0","0","0","0","0","6","1","1","0","1","0","0","0","0","0","14","14","6","1","14","14","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13254","int hashCode()","zipkin.BinaryAnnotation.hashCode()I","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","213","3","225","4","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","13","13","10","0","13","13","10","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13259","int compareTo(BinaryAnnotation that)","zipkin.BinaryAnnotation.compareTo(Lzipkin/BinaryAnnotation;)I","L2168","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\BinaryAnnotation.java","228","3","232","4","0","0","0","0","0","0","0","0","2","1","1","0","0","0.166667","1","1","0.166667","1","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12018","Span readSpan(byte[] bytes)","zipkin.Codec.readSpan([B)Lzipkin/Span;","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","29","3","29","31","0","0","0","0","0","0","0","0","1","0","0","8","0","0.5","1","1","0.5","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13265","int sizeInBytes(Span value)","zipkin.Codec.sizeInBytes(Lzipkin/Span;)I","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","31","3","31","31","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13267","byte[] writeSpan(Span value)","zipkin.Codec.writeSpan(Lzipkin/Span;)[B","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","33","3","33","32","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12011","List<Span> readSpans(byte[] bytes)","zipkin.Codec.readSpans([B)Ljava/util/List;","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","36","3","36","38","0","0","0","0","0","0","0","0","1","0","0","4","0","0.5","1","1","0.5","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13271","byte[] writeSpans(List<Span> value)","zipkin.Codec.writeSpans(Ljava/util/List;)[B","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","38","3","38","39","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13273","byte[] writeTraces(List<List<Span>> value)","zipkin.Codec.writeTraces(Ljava/util/List;)[B","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","40","3","40","46","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13275","DependencyLink readDependencyLink(byte[] bytes)","zipkin.Codec.readDependencyLink([B)Lzipkin/DependencyLink;","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","43","3","43","51","0","0","0","0","0","0","0","0","1","0","0","1","0","0.5","1","1","0.5","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13278","byte[] writeDependencyLink(DependencyLink value)","zipkin.Codec.writeDependencyLink(Lzipkin/DependencyLink;)[B","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","45","3","45","52","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13280","List<DependencyLink> readDependencyLinks(byte[] bytes)","zipkin.Codec.readDependencyLinks([B)Ljava/util/List;","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","48","3","48","58","0","0","0","0","0","0","0","0","1","0","0","3","0","0.5","1","1","0.5","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13283","byte[] writeDependencyLinks(List<DependencyLink> value)","zipkin.Codec.writeDependencyLinks(Ljava/util/List;)[B","L2616","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Codec.java","50","3","50","59","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L12870","CheckResult check()","zipkin.Component.check()Lzipkin/Component$CheckResult;","L8404","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Component.java","40","3","40","23","0","0","0","0","0","0","0","0","1","0","0","2","0","0.9","9","9","0.9","9","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12873","void close()","zipkin.Component.close()V","L8404","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Component.java","48","3","48","45","0","0","0","0","0","0","0","0","1","0","0","1","0","0.857143","6","6","0.857143","6","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13322","Constants()","zipkin.Constants.<init>()V","L13294","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\Constants.java","190","3","191","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2419","DependencyLink create(String parent, String child, long callCount)","zipkin.DependencyLink.create(Ljava/lang/String;Ljava/lang/String;J)Lzipkin/DependencyLink;","L2231","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\DependencyLink.java","26","3","28","4","0","0","0","0","0","0","0","0","1","0","0","26","1","0","0","0","0","0","3","3","1","3","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13327","DependencyLink(String parent, String child, long callCount)","zipkin.DependencyLink.<init>(Ljava/lang/String;Ljava/lang/String;J)V","L2231","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\DependencyLink.java","39","3","43","4","0","0","0","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","5","5","3","3","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L13335","Builder toBuilder()","zipkin.DependencyLink.toBuilder()Lzipkin/DependencyLink$Builder;","L2231","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\DependencyLink.java","45","3","47","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L2849","Builder builder()","zipkin.DependencyLink.builder()Lzipkin/DependencyLink$Builder;","L2231","L103","D:\PR_assignment_src\zipkin\zipkin\src\main\java\zipkin\DependencyLink.java","49","3","51","4","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
