"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L19986","long getSessionId()","org.apache.zookeeper.ClientCnxn.getSessionId()J","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","204","5","206","6","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L19988","byte[] getSessionPasswd()","org.apache.zookeeper.ClientCnxn.getSessionPasswd()[B","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","208","5","210","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L19990","int getSessionTimeout()","org.apache.zookeeper.ClientCnxn.getSessionTimeout()I","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","212","5","214","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L19992","String toString()","org.apache.zookeeper.ClientCnxn.toString()Ljava/lang/String;","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","216","5","235","6","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","18","20","5","0","18","20","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L20066","ClientCnxn(String chrootPath, HostProvider hostProvider, int sessionTimeout, ZooKeeper zooKeeper, ClientWatchManager watcher, ClientCnxnSocket clientCnxnSocket, boolean canBeReadOnly)","org.apache.zookeeper.ClientCnxn.<init>(Ljava/lang/String;Lorg/apache/zookeeper/client/HostProvider;ILorg/apache/zookeeper/ZooKeeper;Lorg/apache/zookeeper/ClientWatchManager;Lorg/apache/zookeeper/ClientCnxnSocket;Z)V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","350","5","355","6","0","0","0","0","0","0","0","0","1","0","0","2","1","0.769231","20","20","0.769231","20","6","6","1","7","6","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L20078","ClientCnxn(String chrootPath, HostProvider hostProvider, int sessionTimeout, ZooKeeper zooKeeper, ClientWatchManager watcher, ClientCnxnSocket clientCnxnSocket, long sessionId, byte[] sessionPasswd, boolean canBeReadOnly)","org.apache.zookeeper.ClientCnxn.<init>(Ljava/lang/String;Lorg/apache/zookeeper/client/HostProvider;ILorg/apache/zookeeper/ZooKeeper;Lorg/apache/zookeeper/ClientWatchManager;Lorg/apache/zookeeper/ClientCnxnSocket;J[BZ)V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","379","5","397","6","0","0","0","0","0","0","0","0","1","0","0","2","4","0.564103","22","22","0.564103","22","17","19","13","9","17","19","13","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L20106","void start()","org.apache.zookeeper.ClientCnxn.start()V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","399","5","402","6","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","4","4","2","0","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L20116","String makeThreadName(String suffix)","org.apache.zookeeper.ClientCnxn.makeThreadName(Ljava/lang/String;)Ljava/lang/String;","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","421","5","425","6","0","0","0","0","0","0","0","0","1","0","0","2","0","0.5","5","5","0.5","5","5","5","2","1","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20196","void finishPacket(Packet p)","org.apache.zookeeper.ClientCnxn.finishPacket(Lorg/apache/zookeeper/ClientCnxn$Packet;)V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","673","5","713","6","0","0","0","0","0","0","0","0","8","4","4","2","7","0.1","4","0","0.1","4","36","41","22","1","36","41","22","0","0","3","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L20206","void queueEvent(String clientPath, int err, Set<Watcher> materializedWatchers, EventType eventType)","org.apache.zookeeper.ClientCnxn.queueEvent(Ljava/lang/String;ILjava/util/Set;Lorg/apache/zookeeper/Watcher$Event$EventType;)V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","715","5","725","6","0","0","0","0","0","0","0","0","3","1","1","1","3","0","0","0","0","0","11","11","5","4","11","11","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L20222","void queueCallback(AsyncCallback cb, int rc, String path, Object ctx)","org.apache.zookeeper.ClientCnxn.queueCallback(Lorg/apache/zookeeper/AsyncCallback;ILjava/lang/String;Ljava/lang/Object;)V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","727","5","729","6","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","3","1","4","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L20228","void conLossPacket(Packet p)","org.apache.zookeeper.ClientCnxn.conLossPacket(Lorg/apache/zookeeper/ClientCnxn$Packet;)V","L19790","L103","D:\PR_assignment_src\zookeeper\src\java\main\org\apache\zookeeper\ClientCnxn.java","731","5","746","6","0","0","0","0","0","0","0","0","4","1","1","2","2","0","0","0","0","0","16","16","9","1","16","16","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
